Input Number, Run_Number, Result@ 100, F, X1, A, B, C, PO, D, CO, Y, PE, CE, E
INVAR-1, Run: 001, P, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 002, P, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 003, P, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 004, P, 45, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 005, P, 46, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 006, P, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 007, P, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 008, P, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 009, P, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 010, P, 36, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 011, P, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 012, P, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 013, P, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 014, P, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 015, P, 43, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 016, P, 72, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 017, P, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 018, P, 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 019, P, 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 020, P, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 021, P, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 022, P, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 023, P, 34, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 024, P, 46, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 025, P, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 026, P, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 027, P, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 028, P, 33, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
