Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A
1, Run: 001, F, 12, 0, 1, 0, 0, 0, 0, 0, 21, 9, 25
1, Run: 002, F, 11, 0, 1, 0, 0, 0, 0, 0, 18, 9, 30
1, Run: 003, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
1, Run: 004, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
1, Run: 005, F, 23, 0, 0, 0, 0, 0, 0, 0, 27, 9, 23
1, Run: 006, F, 41, 0, 0, 0, 0, 0, 0, 0, 47, 9, 1
1, Run: 007, F, 16, 0, 1, 0, 0, 0, 0, 0, 23, 9, 25
1, Run: 008, P, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
1, Run: 009, F, 3, 0, 1, 0, 0, 0, 0, 1, 7, 8, 46
1, Run: 010, F, 16, 0, 1, 0, 0, 0, 0, 0, 23, 9, 25
1, Run: 011, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
1, Run: 012, F, 37, 0, 1, 0, 0, 0, 0, 0, 42, 9, 8
1, Run: 013, F, 26, 0, 0, 0, 0, 0, 0, 0, 30, 9, 20
1, Run: 014, F, 9, 0, 1, 0, 0, 0, 0, 0, 14, 9, 36
1, Run: 015, F, 10, 0, 1, 0, 0, 0, 0, 2, 17, 7, 35
1, Run: 016, F, 11, 0, 1, 0, 0, 0, 0, 0, 18, 9, 30
1, Run: 017, F, 3, 0, 1, 0, 0, 0, 0, 0, 10, 9, 38
1, Run: 018, P, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49
1, Run: 019, F, 3, 0, 0, 0, 0, 0, 0, 1, 10, 8, 39
1, Run: 020, F, 4, 0, 1, 0, 0, 0, 0, 1, 12, 8, 37
1, Run: 021, F, 18, 0, 1, 0, 0, 0, 0, 0, 21, 9, 31
1, Run: 022, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
1, Run: 023, F, 22, 0, 0, 0, 0, 0, 0, 0, 28, 9, 20
1, Run: 024, F, 22, 0, 1, 0, 0, 0, 0, 0, 27, 9, 23
1, Run: 025, F, 24, 0, 0, 0, 0, 0, 0, 0, 30, 9, 18
1, Run: 026, F, 12, 0, 0, 0, 0, 0, 0, 0, 16, 9, 34
1, Run: 027, F, 9, 0, 0, 0, 0, 0, 0, 0, 15, 9, 33
1, Run: 028, F, 30, 0, 0, 0, 0, 0, 0, 0, 36, 9, 12
1, Run: 029, F, 2, 0, 0, 0, 0, 0, 0, 1, 9, 8, 40
1, Run: 030, F, 13, 0, 0, 0, 0, 0, 0, 0, 19, 9, 29
1, Run: 031, F, 15, 0, 1, 0, 0, 0, 0, 0, 22, 9, 26
1, Run: 032, P, 0, 1, 0, 0, 0, 0, 0, 9, 11, 0, 50
1, Run: 033, F, 17, 0, 0, 0, 0, 0, 0, 0, 23, 9, 25
1, Run: 034, P, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49
1, Run: 035, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
1, Run: 036, F, 9, 0, 1, 0, 0, 0, 0, 0, 14, 9, 36
1, Run: 037, F, 26, 0, 1, 0, 0, 0, 0, 0, 31, 9, 19
1, Run: 038, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
1, Run: 039, F, 24, 0, 1, 0, 0, 0, 0, 0, 31, 9, 17
1, Run: 040, F, 7, 0, 1, 0, 0, 0, 0, 1, 15, 8, 34
1, Run: 041, F, 11, 0, 0, 0, 0, 0, 0, 0, 17, 9, 31
1, Run: 042, F, 9, 0, 1, 0, 0, 0, 0, 0, 16, 9, 32
1, Run: 043, P, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
1, Run: 044, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
1, Run: 045, F, 2, 0, 1, 0, 0, 0, 0, 1, 10, 8, 39
1, Run: 046, F, 5, 0, 0, 0, 0, 0, 0, 0, 11, 9, 37
1, Run: 047, F, 22, 0, 0, 0, 0, 0, 0, 0, 28, 9, 20
1, Run: 048, F, 3, 0, 0, 0, 0, 0, 0, 1, 8, 8, 43
1, Run: 049, F, 2, 0, 1, 0, 0, 0, 0, 2, 7, 7, 47
1, Run: 050, F, 2, 0, 0, 0, 0, 0, 0, 0, 8, 9, 40
1, Run: 051, F, 7, 0, 0, 0, 0, 0, 0, 2, 15, 7, 35
1, Run: 052, F, 1, 0, 1, 0, 0, 0, 0, 1, 9, 8, 40
1, Run: 053, F, 7, 0, 0, 0, 0, 0, 0, 1, 12, 8, 39
1, Run: 054, F, 28, 0, 0, 0, 0, 0, 0, 0, 32, 9, 18
1, Run: 055, F, 1, 0, 1, 0, 0, 0, 0, 1, 7, 8, 44
1, Run: 056, F, 19, 0, 1, 0, 0, 0, 0, 1, 23, 8, 30
1, Run: 057, F, 13, 0, 1, 0, 0, 0, 0, 0, 18, 9, 32
1, Run: 058, F, 39, 0, 0, 0, 0, 0, 0, 0, 45, 9, 3
1, Run: 059, F, 11, 0, 1, 0, 0, 0, 0, 3, 21, 6, 30
1, Run: 060, F, 12, 0, 1, 0, 0, 0, 0, 0, 19, 9, 29
1, Run: 061, F, 13, 0, 0, 0, 0, 0, 0, 0, 19, 9, 29
1, Run: 062, F, 6, 0, 0, 0, 0, 0, 0, 1, 15, 8, 32
1, Run: 063, F, 13, 0, 1, 0, 0, 0, 0, 1, 21, 8, 28
1, Run: 064, P, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
1, Run: 065, F, 8, 0, 0, 0, 0, 0, 0, 0, 14, 9, 34
1, Run: 066, F, 18, 0, 0, 0, 0, 0, 0, 0, 24, 9, 24
1, Run: 067, F, 21, 0, 1, 0, 0, 0, 0, 1, 29, 8, 20
1, Run: 068, F, 22, 0, 0, 0, 0, 0, 0, 0, 28, 9, 20
1, Run: 069, F, 19, 0, 0, 0, 0, 0, 0, 0, 23, 9, 27
1, Run: 070, F, 6, 0, 1, 0, 0, 0, 0, 0, 11, 9, 39
1, Run: 071, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
1, Run: 072, F, 3, 0, 1, 0, 0, 0, 0, 2, 8, 7, 46
1, Run: 073, F, 23, 0, 0, 0, 0, 0, 0, 0, 29, 9, 19
1, Run: 074, F, 7, 0, 1, 0, 0, 0, 0, 0, 12, 9, 38
1, Run: 075, F, 10, 0, 0, 0, 0, 0, 0, 2, 18, 7, 32
1, Run: 076, F, 21, 0, 0, 0, 0, 0, 0, 0, 25, 9, 25
1, Run: 077, F, 28, 0, 1, 0, 0, 0, 0, 0, 33, 9, 17
1, Run: 078, F, 5, 0, 1, 0, 0, 0, 0, 1, 11, 8, 40
1, Run: 079, F, 32, 0, 0, 0, 0, 0, 0, 0, 36, 9, 14
1, Run: 080, P, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49
1, Run: 081, P, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
1, Run: 082, P, 0, 1, 0, 0, 0, 0, 0, 9, 11, 0, 50
1, Run: 083, F, 10, 0, 0, 0, 0, 0, 0, 0, 18, 9, 28
1, Run: 084, P, 0, 1, 1, 0, 0, 0, 0, 9, 10, 0, 53
1, Run: 085, F, 8, 0, 0, 0, 0, 0, 0, 1, 11, 8, 42
1, Run: 086, F, 21, 0, 1, 0, 0, 0, 0, 0, 26, 9, 24
1, Run: 087, F, 7, 0, 0, 0, 0, 0, 0, 0, 13, 9, 35
1, Run: 088, F, 19, 0, 1, 0, 0, 0, 0, 0, 26, 9, 22
1, Run: 089, P, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
