Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A
5, Run: 005, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 006, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 007, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 008, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 009, F, 125, 0, 0, 0, 1, 0, 1, 0, 142, 26, 0
5, Run: 010, F, 128, 0, 1, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 011, F, 144, 0, 1, 0, 1, 0, 1, 0, 152, 26, 0
5, Run: 012, F, 137, 0, 0, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 013, F, 140, 0, 1, 0, 1, 0, 1, 0, 150, 26, 0
5, Run: 014, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 015, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 016, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 017, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 018, F, 137, 0, 0, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 019, F, 137, 0, 0, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 020, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 021, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 022, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 023, F, 128, 0, 1, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 024, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 025, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 026, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 027, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 028, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 029, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 030, F, 137, 0, 0, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 031, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 032, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 033, F, 128, 0, 1, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 034, F, 125, 0, 0, 0, 1, 0, 1, 0, 142, 26, 0
5, Run: 035, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 036, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 037, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 038, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 039, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 040, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 041, F, 125, 0, 0, 0, 1, 0, 1, 0, 142, 26, 0
5, Run: 042, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 043, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 044, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 045, F, 128, 0, 1, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 046, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 047, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 048, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 049, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 050, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 051, F, 137, 0, 0, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 052, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 053, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 054, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 055, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 056, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 057, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 058, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 059, F, 125, 0, 0, 0, 1, 0, 1, 0, 142, 26, 0
5, Run: 060, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 061, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 062, F, 137, 0, 0, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 063, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 064, F, 137, 0, 0, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 065, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 066, F, 140, 0, 1, 0, 1, 0, 1, 0, 150, 26, 0
5, Run: 067, F, 137, 0, 0, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 068, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 069, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 070, F, 137, 0, 0, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 071, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 072, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 073, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 074, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 075, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 076, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 077, F, 121, 0, 0, 0, 1, 0, 1, 0, 140, 26, 0
5, Run: 078, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 079, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 080, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 081, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 082, F, 128, 0, 1, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 083, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 084, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 085, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 086, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 087, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 088, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 089, F, 128, 0, 1, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 090, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 091, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 092, F, 132, 0, 1, 0, 1, 0, 1, 0, 146, 26, 0
5, Run: 093, F, 129, 0, 0, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 094, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 095, F, 128, 0, 1, 0, 1, 0, 1, 0, 144, 26, 0
5, Run: 096, F, 137, 0, 0, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 097, F, 140, 0, 1, 0, 1, 0, 1, 0, 150, 26, 0
5, Run: 098, F, 137, 0, 0, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 099, F, 136, 0, 1, 0, 1, 0, 1, 0, 148, 26, 0
5, Run: 100, F, 133, 0, 0, 0, 1, 0, 1, 0, 146, 26, 0
6, Run: 001, F, 431, 0, 0, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 002, F, 450, 0, 1, 0, 1, 0, 1, 0, 488, 87, 0
6, Run: 003, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 004, F, 439, 0, 0, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 005, F, 450, 0, 1, 0, 1, 0, 1, 0, 488, 87, 0
6, Run: 006, F, 450, 0, 1, 0, 1, 0, 1, 0, 488, 87, 0
6, Run: 007, F, 430, 0, 1, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 008, F, 439, 0, 0, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 009, F, 442, 0, 1, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 010, F, 450, 0, 1, 0, 1, 0, 1, 0, 488, 87, 0
6, Run: 011, F, 450, 0, 1, 0, 1, 0, 1, 0, 488, 87, 0
6, Run: 012, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 013, F, 434, 0, 1, 0, 1, 0, 1, 0, 480, 87, 0
6, Run: 014, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 015, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 016, F, 438, 0, 1, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 017, F, 430, 0, 1, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 018, F, 431, 0, 0, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 019, F, 446, 0, 1, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 020, F, 439, 0, 0, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 021, F, 438, 0, 1, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 022, F, 438, 0, 1, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 023, F, 434, 0, 1, 0, 1, 0, 1, 0, 480, 87, 0
6, Run: 024, F, 447, 0, 0, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 025, F, 431, 0, 0, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 026, F, 438, 0, 1, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 027, F, 451, 0, 0, 0, 1, 0, 1, 0, 488, 87, 0
6, Run: 028, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 029, F, 438, 0, 1, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 030, F, 442, 0, 1, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 031, F, 446, 0, 1, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 032, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 033, F, 439, 0, 0, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 034, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 035, F, 431, 0, 0, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 036, F, 435, 0, 0, 0, 1, 0, 1, 0, 480, 87, 0
6, Run: 037, F, 434, 0, 1, 0, 1, 0, 1, 0, 480, 87, 0
6, Run: 038, F, 450, 0, 1, 0, 1, 0, 1, 0, 488, 87, 0
6, Run: 039, F, 447, 0, 0, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 040, F, 439, 0, 0, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 041, F, 438, 0, 1, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 042, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 043, F, 431, 0, 0, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 044, F, 434, 0, 1, 0, 1, 0, 1, 0, 480, 87, 0
6, Run: 045, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 046, F, 442, 0, 1, 0, 1, 0, 1, 0, 484, 87, 0
