Input Number, Run_Number, Result@ 100, prey_mrna595, prey_g594, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532
INVAR-1, Run: 031, F, 67348, 163663, 1, 0, 0, 2, 3, 1, 0, 0, 2, 3, 0, 1, 0, 0, 4, 47753, 1, 0, 5, 0, 0, 0, 2, 0, 1
INVAR-1, Run: 032, F, 67498, 163393, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47446, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 033, F, 67847, 163602, 1, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 4, 48050, 1, 2, 4, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 034, F, 67596, 163210, 1, 2, 0, 3, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 47861, 1, 1, 1, 0, 0, 1, 0, 0, 1
INVAR-1, Run: 035, F, 67932, 163520, 1, 3, 0, 1, 2, 1, 1, 0, 1, 0, 0, 2, 0, 0, 5, 47716, 1, 2, 1, 0, 0, 0, 3, 0, 1
INVAR-1, Run: 036, F, 67564, 163070, 1, 1, 0, 0, 1, 1, 1, 0, 2, 3, 0, 1, 0, 0, 7, 47707, 1, 1, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 037, F, 68238, 163785, 1, 2, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48290, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 038, F, 67459, 163066, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 48170, 1, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 039, F, 67615, 163391, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47862, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 040, F, 67629, 163312, 1, 3, 0, 0, 0, 1, 1, 1, 1, 0, 0, 5, 0, 0, 2, 47782, 1, 2, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 041, F, 67844, 163413, 1, 6, 0, 0, 0, 1, 1, 0, 2, 1, 0, 8, 0, 0, 8, 47940, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 042, F, 67940, 163329, 1, 1, 0, 2, 2, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 47789, 1, 3, 5, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 043, F, 67806, 163642, 1, 4, 0, 0, 1, 1, 1, 1, 3, 2, 0, 3, 0, 0, 1, 47691, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 044, F, 67497, 163403, 1, 0, 0, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 47952, 1, 1, 1, 0, 0, 2, 1, 0, 1
INVAR-1, Run: 045, F, 67678, 163120, 1, 1, 0, 4, 2, 1, 1, 0, 2, 0, 0, 1, 0, 0, 4, 47676, 1, 1, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 046, F, 67544, 163903, 1, 1, 0, 0, 0, 1, 3, 1, 0, 0, 0, 3, 0, 0, 0, 48239, 1, 2, 4, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 047, F, 67855, 162832, 1, 1, 1, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 2, 47834, 1, 0, 0, 0, 0, 1, 1, 0, 0
INVAR-1, Run: 048, F, 67853, 163431, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 47878, 1, 1, 0, 0, 0, 1, 0, 0, 1
INVAR-1, Run: 049, F, 67864, 163746, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 48113, 1, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 050, F, 67551, 163490, 1, 0, 0, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 47440, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 051, F, 67547, 163446, 1, 1, 0, 3, 1, 1, 0, 0, 5, 2, 0, 3, 0, 0, 6, 47939, 1, 2, 1, 0, 0, 1, 3, 0, 1
INVAR-1, Run: 052, F, 67587, 163645, 1, 0, 0, 1, 4, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 48047, 1, 2, 1, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 053, F, 67492, 162351, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47801, 1, 1, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 054, F, 67671, 163205, 1, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 3, 47560, 1, 0, 0, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 055, F, 67664, 163431, 1, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 3, 47589, 1, 1, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 056, F, 67549, 163448, 1, 1, 0, 1, 0, 1, 2, 2, 1, 0, 0, 0, 0, 0, 2, 47963, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 057, F, 67628, 163614, 1, 0, 0, 0, 1, 1, 3, 2, 0, 0, 0, 0, 0, 0, 2, 47868, 1, 2, 1, 0, 0, 0, 0, 0, 1
