Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 30, 9, 35, 0, 24, 0, 18, 2, 5, 9, 3, 1, 9, 18, 27, 2, 35
INVAR-1, Run: 002, F, 0, 0, 0, 0, 0, 45, 9, 52, 0, 9, 0, 18, 0, 7, 9, 2, 0, 9, 18, 27, 0, 52
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 27, 9, 34, 0, 27, 0, 18, 1, 7, 9, 1, 1, 9, 18, 27, 1, 34
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 50, 9, 58, 0, 4, 0, 18, 0, 8, 9, 1, 0, 9, 18, 27, 0, 58
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 36, 9, 45, 0, 18, 0, 18, 0, 9, 9, 0, 0, 9, 18, 27, 0, 45
INVAR-1, Run: 006, F, 0, 0, 0, 0, 0, 48, 9, 55, 0, 6, 0, 18, 1, 7, 9, 0, 2, 9, 18, 27, 1, 55
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 43, 9, 50, 0, 11, 0, 18, 0, 7, 9, 1, 1, 9, 18, 27, 0, 50
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 40, 9, 48, 0, 14, 0, 18, 1, 8, 9, 1, 0, 9, 18, 27, 1, 48
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 49, 9, 56, 0, 5, 0, 18, 6, 7, 9, 2, 0, 9, 18, 27, 6, 56
INVAR-1, Run: 010, F, 0, 0, 0, 0, 0, 42, 9, 48, 0, 12, 0, 18, 2, 6, 9, 3, 0, 9, 18, 27, 2, 48
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 35, 9, 44, 0, 19, 0, 18, 2, 9, 9, 0, 0, 9, 18, 27, 2, 44
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 36, 9, 43, 0, 18, 0, 18, 0, 7, 9, 2, 0, 9, 18, 27, 0, 43
INVAR-1, Run: 013, F, 0, 0, 0, 0, 0, 40, 9, 49, 0, 14, 0, 18, 1, 9, 9, 0, 0, 9, 18, 27, 1, 49
INVAR-1, Run: 014, F, 0, 0, 0, 0, 0, 44, 9, 48, 0, 10, 0, 18, 1, 4, 9, 3, 2, 9, 18, 27, 1, 48
INVAR-1, Run: 015, F, 0, 0, 0, 0, 0, 33, 9, 42, 0, 21, 0, 18, 1, 9, 9, 0, 0, 9, 18, 27, 1, 42
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 29, 9, 37, 0, 25, 0, 18, 1, 8, 9, 1, 0, 9, 18, 27, 1, 37
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 39, 9, 47, 0, 15, 0, 18, 0, 8, 9, 1, 0, 9, 18, 27, 0, 47
