Input Number, Run_Number, Result@ 100, Y, X2, Reaction1, Reaction2
INVAR-1, Run: 001, P, 67, 0, 91, 24
INVAR-1, Run: 002, P, 83, 0, 107, 24
INVAR-1, Run: 003, P, 70, 0, 94, 24
INVAR-1, Run: 004, P, 64, 0, 88, 24
INVAR-1, Run: 005, P, 86, 0, 110, 24
INVAR-1, Run: 006, P, 79, 0, 103, 24
INVAR-1, Run: 007, P, 71, 0, 95, 24
INVAR-1, Run: 008, P, 65, 0, 89, 24
INVAR-1, Run: 009, P, 75, 0, 99, 24
INVAR-1, Run: 010, P, 86, 0, 110, 24
INVAR-1, Run: 011, P, 69, 0, 93, 24
INVAR-1, Run: 012, P, 64, 0, 88, 24
INVAR-1, Run: 013, P, 78, 0, 102, 24
INVAR-1, Run: 014, P, 72, 0, 96, 24
INVAR-1, Run: 015, P, 78, 0, 102, 24
INVAR-1, Run: 016, P, 81, 0, 105, 24
INVAR-1, Run: 017, P, 89, 0, 113, 24
INVAR-1, Run: 018, P, 85, 0, 109, 24
INVAR-1, Run: 019, P, 71, 0, 95, 24
INVAR-1, Run: 020, P, 66, 0, 90, 24
INVAR-1, Run: 021, P, 64, 0, 88, 24
INVAR-1, Run: 022, P, 68, 0, 92, 24
INVAR-1, Run: 023, P, 96, 0, 120, 24
INVAR-1, Run: 024, P, 71, 0, 95, 24
INVAR-1, Run: 025, P, 68, 0, 92, 24
INVAR-1, Run: 026, P, 75, 0, 99, 24
INVAR-1, Run: 027, P, 91, 0, 115, 24
INVAR-1, Run: 028, P, 88, 0, 112, 24
INVAR-1, Run: 029, P, 76, 0, 100, 24
INVAR-1, Run: 030, P, 90, 0, 114, 24
INVAR-1, Run: 031, P, 68, 0, 92, 24
INVAR-1, Run: 032, P, 83, 0, 107, 24
INVAR-1, Run: 033, P, 67, 0, 91, 24
INVAR-1, Run: 034, P, 72, 0, 96, 24
INVAR-1, Run: 035, P, 70, 0, 94, 24
INVAR-1, Run: 036, P, 91, 0, 115, 24
INVAR-1, Run: 037, P, 85, 0, 109, 24
INVAR-1, Run: 038, P, 72, 0, 96, 24
INVAR-1, Run: 039, P, 83, 0, 107, 24
INVAR-1, Run: 040, P, 88, 0, 112, 24
INVAR-1, Run: 041, P, 81, 0, 105, 24
INVAR-1, Run: 042, P, 58, 0, 82, 24
INVAR-1, Run: 043, P, 73, 0, 97, 24
INVAR-1, Run: 044, P, 78, 0, 102, 24
INVAR-1, Run: 045, P, 66, 0, 90, 24
INVAR-1, Run: 046, P, 84, 0, 108, 24
INVAR-1, Run: 047, P, 55, 0, 79, 24
INVAR-1, Run: 048, P, 101, 0, 125, 24
INVAR-1, Run: 049, P, 61, 0, 85, 24
INVAR-1, Run: 050, P, 64, 0, 88, 24
INVAR-1, Run: 051, P, 82, 0, 106, 24
INVAR-1, Run: 052, P, 64, 0, 88, 24
INVAR-1, Run: 053, P, 60, 0, 84, 24
INVAR-1, Run: 054, P, 66, 0, 90, 24
INVAR-1, Run: 055, P, 87, 0, 111, 24
INVAR-1, Run: 056, P, 78, 0, 102, 24
INVAR-1, Run: 057, P, 81, 0, 105, 24
INVAR-1, Run: 058, P, 75, 0, 99, 24
INVAR-1, Run: 059, P, 82, 0, 106, 24
INVAR-1, Run: 060, P, 65, 0, 89, 24
INVAR-1, Run: 061, P, 85, 0, 109, 24
INVAR-1, Run: 062, P, 76, 0, 100, 24
INVAR-1, Run: 063, P, 67, 0, 91, 24
INVAR-1, Run: 064, P, 98, 0, 122, 24
INVAR-1, Run: 065, P, 61, 0, 85, 24
INVAR-1, Run: 066, P, 76, 0, 100, 24
INVAR-1, Run: 067, P, 77, 0, 101, 24
INVAR-1, Run: 068, P, 59, 0, 83, 24
INVAR-1, Run: 069, P, 65, 0, 89, 24
INVAR-1, Run: 070, P, 75, 0, 99, 24
INVAR-1, Run: 071, P, 60, 0, 84, 24
INVAR-1, Run: 072, P, 98, 0, 122, 24
INVAR-1, Run: 073, P, 87, 0, 111, 24
INVAR-1, Run: 074, P, 81, 0, 105, 24
INVAR-1, Run: 075, P, 68, 0, 92, 24
INVAR-1, Run: 076, P, 88, 0, 112, 24
INVAR-1, Run: 077, P, 68, 0, 92, 24
INVAR-1, Run: 078, P, 85, 0, 109, 24
INVAR-1, Run: 079, P, 73, 0, 97, 24
INVAR-1, Run: 080, P, 75, 0, 99, 24
INVAR-1, Run: 081, P, 68, 0, 92, 24
INVAR-1, Run: 082, P, 75, 0, 99, 24
INVAR-1, Run: 083, P, 77, 0, 101, 24
INVAR-1, Run: 084, P, 68, 0, 92, 24
INVAR-1, Run: 085, P, 77, 0, 101, 24
INVAR-1, Run: 086, P, 60, 0, 84, 24
INVAR-1, Run: 087, P, 65, 0, 89, 24
INVAR-1, Run: 088, P, 78, 0, 102, 24
INVAR-1, Run: 089, P, 75, 0, 99, 24
INVAR-1, Run: 090, P, 73, 0, 97, 24
INVAR-1, Run: 091, P, 53, 0, 77, 24
INVAR-1, Run: 092, P, 60, 0, 84, 24
INVAR-1, Run: 093, P, 79, 0, 103, 24
INVAR-1, Run: 094, P, 62, 0, 86, 24
INVAR-1, Run: 095, P, 79, 0, 103, 24
INVAR-1, Run: 096, P, 82, 0, 106, 24
INVAR-1, Run: 097, P, 72, 0, 96, 24
INVAR-1, Run: 098, P, 85, 0, 109, 24
INVAR-1, Run: 099, P, 73, 0, 97, 24
