Input Number, Run_Number, Result@ 100, Y, X2, Reaction1, Reaction2
INVAR-1, Run: 100, P, 81, 0, 105, 24
INVAR-10, Run: 001, P, 67, 0, 109, 42
INVAR-10, Run: 002, P, 57, 0, 99, 42
INVAR-10, Run: 003, P, 55, 0, 97, 42
INVAR-10, Run: 004, P, 53, 0, 95, 42
INVAR-10, Run: 005, P, 57, 0, 99, 42
INVAR-10, Run: 006, P, 64, 0, 106, 42
INVAR-10, Run: 007, P, 68, 0, 110, 42
INVAR-10, Run: 008, P, 49, 0, 91, 42
INVAR-10, Run: 009, P, 65, 0, 107, 42
INVAR-10, Run: 010, P, 49, 0, 91, 42
INVAR-10, Run: 011, P, 71, 0, 113, 42
INVAR-10, Run: 012, P, 47, 0, 89, 42
INVAR-10, Run: 013, P, 64, 0, 106, 42
INVAR-10, Run: 014, P, 44, 0, 86, 42
INVAR-10, Run: 015, P, 52, 0, 94, 42
INVAR-10, Run: 016, P, 51, 0, 93, 42
INVAR-10, Run: 017, P, 69, 0, 111, 42
INVAR-10, Run: 018, P, 64, 0, 106, 42
INVAR-10, Run: 019, P, 49, 0, 91, 42
INVAR-10, Run: 020, P, 43, 0, 85, 42
INVAR-10, Run: 021, P, 53, 0, 95, 42
INVAR-10, Run: 022, P, 67, 0, 109, 42
INVAR-10, Run: 023, P, 47, 0, 89, 42
INVAR-10, Run: 024, P, 53, 0, 95, 42
INVAR-10, Run: 025, P, 71, 0, 113, 42
INVAR-10, Run: 026, P, 34, 0, 76, 42
INVAR-10, Run: 027, P, 66, 0, 108, 42
INVAR-10, Run: 028, P, 54, 0, 96, 42
INVAR-10, Run: 029, P, 59, 0, 101, 42
INVAR-10, Run: 030, P, 76, 0, 118, 42
INVAR-10, Run: 031, P, 45, 0, 87, 42
INVAR-10, Run: 032, P, 49, 0, 91, 42
INVAR-10, Run: 033, P, 52, 0, 94, 42
INVAR-10, Run: 034, P, 74, 0, 116, 42
INVAR-10, Run: 035, P, 48, 0, 90, 42
INVAR-10, Run: 036, P, 73, 0, 115, 42
INVAR-10, Run: 037, P, 56, 0, 98, 42
INVAR-10, Run: 038, P, 62, 0, 104, 42
INVAR-10, Run: 039, P, 74, 0, 116, 42
INVAR-10, Run: 040, P, 49, 0, 91, 42
INVAR-10, Run: 041, P, 61, 0, 103, 42
INVAR-10, Run: 042, P, 65, 0, 107, 42
INVAR-10, Run: 043, P, 40, 0, 82, 42
INVAR-10, Run: 044, P, 71, 0, 113, 42
INVAR-10, Run: 045, P, 42, 0, 84, 42
INVAR-10, Run: 046, P, 62, 0, 104, 42
INVAR-10, Run: 047, P, 66, 0, 108, 42
INVAR-10, Run: 048, P, 46, 0, 88, 42
INVAR-10, Run: 049, P, 71, 0, 113, 42
INVAR-10, Run: 050, P, 58, 0, 100, 42
INVAR-10, Run: 051, P, 67, 0, 109, 42
INVAR-10, Run: 052, P, 60, 0, 102, 42
INVAR-10, Run: 053, P, 45, 0, 87, 42
INVAR-10, Run: 054, P, 66, 0, 108, 42
INVAR-10, Run: 055, P, 43, 0, 85, 42
INVAR-10, Run: 056, P, 53, 0, 95, 42
INVAR-10, Run: 057, P, 66, 0, 108, 42
INVAR-10, Run: 058, P, 45, 0, 87, 42
INVAR-10, Run: 059, P, 44, 0, 86, 42
INVAR-10, Run: 060, P, 59, 0, 101, 42
INVAR-10, Run: 061, P, 49, 0, 91, 42
INVAR-10, Run: 062, P, 64, 0, 106, 42
INVAR-10, Run: 063, P, 63, 0, 105, 42
INVAR-10, Run: 064, P, 56, 0, 98, 42
INVAR-10, Run: 065, P, 51, 0, 93, 42
INVAR-10, Run: 066, P, 84, 0, 126, 42
INVAR-10, Run: 067, P, 62, 0, 104, 42
INVAR-10, Run: 068, P, 60, 0, 102, 42
INVAR-10, Run: 069, P, 59, 0, 101, 42
INVAR-10, Run: 070, P, 63, 0, 105, 42
INVAR-10, Run: 071, P, 59, 0, 101, 42
INVAR-10, Run: 072, P, 75, 0, 117, 42
INVAR-10, Run: 073, P, 70, 0, 112, 42
INVAR-10, Run: 074, P, 44, 0, 86, 42
INVAR-10, Run: 075, P, 61, 0, 103, 42
INVAR-10, Run: 076, P, 45, 0, 87, 42
INVAR-10, Run: 077, P, 70, 0, 112, 42
INVAR-10, Run: 078, P, 66, 0, 108, 42
INVAR-10, Run: 079, P, 60, 0, 102, 42
INVAR-10, Run: 080, P, 53, 0, 95, 42
INVAR-10, Run: 081, P, 70, 0, 112, 42
INVAR-10, Run: 082, P, 58, 0, 100, 42
INVAR-10, Run: 083, P, 64, 0, 106, 42
INVAR-10, Run: 084, P, 54, 0, 96, 42
INVAR-10, Run: 085, P, 46, 0, 88, 42
INVAR-10, Run: 086, P, 60, 0, 102, 42
INVAR-10, Run: 087, P, 41, 0, 83, 42
INVAR-10, Run: 088, P, 61, 0, 103, 42
INVAR-10, Run: 089, P, 49, 0, 91, 42
INVAR-10, Run: 090, P, 54, 0, 96, 42
INVAR-10, Run: 091, P, 63, 0, 105, 42
INVAR-10, Run: 092, P, 37, 0, 79, 42
INVAR-10, Run: 093, P, 63, 0, 105, 42
INVAR-10, Run: 094, P, 46, 0, 88, 42
INVAR-10, Run: 095, P, 66, 0, 108, 42
INVAR-10, Run: 096, P, 61, 0, 103, 42
INVAR-10, Run: 097, P, 62, 0, 104, 42
INVAR-10, Run: 098, P, 61, 0, 103, 42
INVAR-10, Run: 099, P, 58, 0, 100, 42
INVAR-10, Run: 100, P, 51, 0, 93, 42
INVAR-11, Run: 001, P, 36, 0, 94, 58
INVAR-11, Run: 002, P, 27, 0, 85, 58
INVAR-11, Run: 003, P, 35, 0, 93, 58
INVAR-11, Run: 004, P, 38, 0, 96, 58
INVAR-11, Run: 005, P, 32, 0, 90, 58
INVAR-11, Run: 006, P, 40, 0, 98, 58
INVAR-11, Run: 007, P, 58, 0, 116, 58
INVAR-11, Run: 008, P, 30, 0, 88, 58
INVAR-11, Run: 009, P, 48, 0, 106, 58
INVAR-11, Run: 010, P, 57, 0, 115, 58
INVAR-11, Run: 011, P, 33, 0, 91, 58
INVAR-11, Run: 012, P, 34, 0, 92, 58
INVAR-11, Run: 013, P, 50, 0, 108, 58
INVAR-11, Run: 014, P, 35, 0, 93, 58
INVAR-11, Run: 015, P, 39, 0, 97, 58
INVAR-11, Run: 016, P, 28, 0, 86, 58
INVAR-11, Run: 017, P, 40, 0, 98, 58
INVAR-11, Run: 018, P, 38, 0, 96, 58
INVAR-11, Run: 019, P, 50, 0, 108, 58
INVAR-11, Run: 020, P, 40, 0, 98, 58
INVAR-11, Run: 021, P, 44, 0, 102, 58
INVAR-11, Run: 022, P, 41, 0, 99, 58
INVAR-11, Run: 023, P, 47, 0, 105, 58
INVAR-11, Run: 024, P, 42, 0, 100, 58
INVAR-11, Run: 025, P, 52, 0, 110, 58
INVAR-11, Run: 026, P, 55, 0, 113, 58
INVAR-11, Run: 027, P, 47, 0, 105, 58
INVAR-11, Run: 028, P, 37, 0, 95, 58
INVAR-11, Run: 029, P, 47, 0, 105, 58
INVAR-11, Run: 030, P, 35, 0, 93, 58
INVAR-11, Run: 031, P, 40, 0, 98, 58
INVAR-11, Run: 032, P, 54, 0, 112, 58
INVAR-11, Run: 033, P, 40, 0, 98, 58
INVAR-11, Run: 034, P, 21, 0, 79, 58
INVAR-11, Run: 035, P, 40, 0, 98, 58
INVAR-11, Run: 036, P, 31, 0, 89, 58
INVAR-11, Run: 037, P, 42, 0, 100, 58
INVAR-11, Run: 038, P, 33, 0, 91, 58
INVAR-11, Run: 039, P, 49, 0, 107, 58
INVAR-11, Run: 040, P, 45, 0, 103, 58
INVAR-11, Run: 041, P, 42, 0, 100, 58
INVAR-11, Run: 042, P, 41, 0, 99, 58
INVAR-11, Run: 043, P, 39, 0, 97, 58
INVAR-11, Run: 044, P, 46, 0, 104, 58
INVAR-11, Run: 045, P, 44, 0, 102, 58
INVAR-11, Run: 046, P, 36, 0, 94, 58
INVAR-11, Run: 047, P, 36, 0, 94, 58
INVAR-11, Run: 048, P, 43, 0, 101, 58
INVAR-11, Run: 049, P, 44, 0, 102, 58
INVAR-11, Run: 050, P, 47, 0, 105, 58
INVAR-11, Run: 051, P, 46, 0, 104, 58
INVAR-11, Run: 052, P, 29, 0, 87, 58
INVAR-11, Run: 053, P, 19, 0, 77, 58
INVAR-11, Run: 054, P, 46, 0, 104, 58
INVAR-11, Run: 055, P, 51, 0, 109, 58
INVAR-11, Run: 056, P, 44, 0, 102, 58
INVAR-11, Run: 057, P, 47, 0, 105, 58
INVAR-11, Run: 058, P, 56, 0, 114, 58
INVAR-11, Run: 059, P, 35, 0, 93, 58
INVAR-11, Run: 060, P, 54, 0, 112, 58
INVAR-11, Run: 061, P, 37, 0, 95, 58
INVAR-11, Run: 062, P, 18, 0, 76, 58
INVAR-11, Run: 063, P, 39, 0, 97, 58
INVAR-11, Run: 064, P, 40, 0, 98, 58
INVAR-11, Run: 065, P, 64, 0, 122, 58
INVAR-11, Run: 066, P, 41, 0, 99, 58
INVAR-11, Run: 067, P, 34, 0, 92, 58
INVAR-11, Run: 068, P, 41, 0, 99, 58
INVAR-11, Run: 069, P, 43, 0, 101, 58
INVAR-11, Run: 070, P, 41, 0, 99, 58
INVAR-11, Run: 071, P, 42, 0, 100, 58
INVAR-11, Run: 072, P, 49, 0, 107, 58
INVAR-11, Run: 073, P, 32, 0, 90, 58
INVAR-11, Run: 074, P, 49, 0, 107, 58
INVAR-11, Run: 075, P, 39, 0, 97, 58
INVAR-11, Run: 076, P, 48, 0, 106, 58
INVAR-11, Run: 077, P, 43, 0, 101, 58
INVAR-11, Run: 078, P, 50, 0, 108, 58
INVAR-11, Run: 079, P, 41, 0, 99, 58
INVAR-11, Run: 080, P, 32, 0, 90, 58
INVAR-11, Run: 081, P, 51, 0, 109, 58
INVAR-11, Run: 082, P, 36, 0, 94, 58
INVAR-11, Run: 083, P, 40, 0, 98, 58
INVAR-11, Run: 084, P, 26, 0, 84, 58
INVAR-11, Run: 085, P, 27, 0, 85, 58
INVAR-11, Run: 086, P, 51, 0, 109, 58
INVAR-11, Run: 087, P, 56, 0, 114, 58
INVAR-11, Run: 088, P, 51, 0, 109, 58
INVAR-11, Run: 089, P, 39, 0, 97, 58
INVAR-11, Run: 090, P, 43, 0, 101, 58
INVAR-11, Run: 091, P, 31, 0, 89, 58
INVAR-11, Run: 092, P, 30, 0, 88, 58
INVAR-11, Run: 093, P, 43, 0, 101, 58
INVAR-11, Run: 094, P, 30, 0, 88, 58
INVAR-11, Run: 095, P, 53, 0, 111, 58
INVAR-11, Run: 096, P, 55, 0, 113, 58
INVAR-11, Run: 097, P, 43, 0, 101, 58
INVAR-11, Run: 098, P, 38, 0, 96, 58
INVAR-11, Run: 099, P, 41, 0, 99, 58
INVAR-11, Run: 100, P, 49, 0, 107, 58
INVAR-12, Run: 001, P, 0, 41, 89, 89
INVAR-12, Run: 002, P, 0, 5, 125, 125
INVAR-12, Run: 003, P, 0, 29, 101, 101
INVAR-12, Run: 004, P, 0, 38, 92, 92
INVAR-12, Run: 005, P, 1, 26, 105, 104
INVAR-12, Run: 006, P, 0, 17, 113, 113
INVAR-12, Run: 007, P, 0, 50, 80, 80
INVAR-12, Run: 008, P, 1, 24, 107, 106
INVAR-12, Run: 009, P, 0, 45, 85, 85
INVAR-12, Run: 010, P, 0, 17, 113, 113
INVAR-12, Run: 011, P, 0, 29, 101, 101
INVAR-12, Run: 012, P, 0, 37, 93, 93
INVAR-12, Run: 013, P, 0, 35, 95, 95
INVAR-12, Run: 014, P, 0, 34, 96, 96
INVAR-12, Run: 015, P, 0, 38, 92, 92
INVAR-12, Run: 016, P, 0, 36, 94, 94
INVAR-12, Run: 017, P, 0, 44, 86, 86
INVAR-12, Run: 018, P, 0, 31, 99, 99
INVAR-12, Run: 019, P, 1, 22, 109, 108
INVAR-12, Run: 020, P, 0, 39, 91, 91
INVAR-12, Run: 021, P, 0, 31, 99, 99
INVAR-12, Run: 022, P, 0, 38, 92, 92
INVAR-12, Run: 023, P, 0, 40, 90, 90
INVAR-12, Run: 024, P, 0, 9, 121, 121
INVAR-12, Run: 025, P, 0, 37, 93, 93
INVAR-12, Run: 026, P, 0, 27, 103, 103
INVAR-12, Run: 027, P, 0, 11, 119, 119
INVAR-12, Run: 028, P, 0, 25, 105, 105
INVAR-12, Run: 029, P, 0, 33, 97, 97
INVAR-12, Run: 030, P, 0, 25, 105, 105
INVAR-12, Run: 031, P, 0, 24, 106, 106
INVAR-12, Run: 032, P, 0, 7, 123, 123
INVAR-12, Run: 033, P, 0, 26, 104, 104
INVAR-12, Run: 034, P, 0, 52, 78, 78
INVAR-12, Run: 035, P, 0, 44, 86, 86
INVAR-12, Run: 036, P, 0, 50, 80, 80
INVAR-12, Run: 037, P, 0, 27, 103, 103
INVAR-12, Run: 038, P, 0, 34, 96, 96
INVAR-12, Run: 039, P, 0, 18, 112, 112
INVAR-12, Run: 040, P, 0, 18, 112, 112
INVAR-12, Run: 041, P, 0, 33, 97, 97
INVAR-12, Run: 042, P, 0, 46, 84, 84
INVAR-12, Run: 043, P, 0, 36, 94, 94
INVAR-12, Run: 044, P, 1, 26, 105, 104
INVAR-12, Run: 045, P, 0, 15, 115, 115
INVAR-12, Run: 046, P, 0, 52, 78, 78
INVAR-12, Run: 047, P, 0, 26, 104, 104
INVAR-12, Run: 048, P, 0, 33, 97, 97
INVAR-12, Run: 049, P, 0, 43, 87, 87
INVAR-12, Run: 050, P, 0, 37, 93, 93
INVAR-12, Run: 051, P, 0, 36, 94, 94
INVAR-12, Run: 052, P, 0, 14, 116, 116
INVAR-12, Run: 053, P, 0, 34, 96, 96
INVAR-12, Run: 054, P, 0, 29, 101, 101
INVAR-12, Run: 055, P, 0, 29, 101, 101
INVAR-12, Run: 056, P, 0, 21, 109, 109
INVAR-12, Run: 057, P, 0, 37, 93, 93
INVAR-12, Run: 058, P, 0, 37, 93, 93
INVAR-12, Run: 059, P, 0, 34, 96, 96
INVAR-12, Run: 060, P, 0, 40, 90, 90
INVAR-12, Run: 061, P, 0, 27, 103, 103
INVAR-12, Run: 062, P, 0, 49, 81, 81
INVAR-12, Run: 063, P, 0, 45, 85, 85
INVAR-12, Run: 064, P, 0, 34, 96, 96
INVAR-12, Run: 065, P, 0, 33, 97, 97
INVAR-12, Run: 066, P, 0, 25, 105, 105
INVAR-12, Run: 067, P, 0, 21, 109, 109
INVAR-12, Run: 068, P, 0, 42, 88, 88
INVAR-12, Run: 069, P, 0, 30, 100, 100
INVAR-12, Run: 070, P, 0, 11, 119, 119
INVAR-12, Run: 071, P, 0, 28, 102, 102
INVAR-12, Run: 072, P, 0, 28, 102, 102
INVAR-12, Run: 073, P, 0, 23, 107, 107
INVAR-12, Run: 074, P, 0, 22, 108, 108
INVAR-12, Run: 075, P, 0, 31, 99, 99
INVAR-12, Run: 076, P, 0, 11, 119, 119
INVAR-12, Run: 077, P, 0, 21, 109, 109
INVAR-12, Run: 078, P, 0, 39, 91, 91
INVAR-12, Run: 079, P, 0, 39, 91, 91
INVAR-12, Run: 080, P, 0, 15, 115, 115
INVAR-12, Run: 081, P, 0, 36, 94, 94
INVAR-12, Run: 082, P, 0, 27, 103, 103
INVAR-12, Run: 083, P, 0, 20, 110, 110
INVAR-12, Run: 084, P, 0, 20, 110, 110
INVAR-12, Run: 085, P, 0, 28, 102, 102
INVAR-12, Run: 086, P, 0, 39, 91, 91
INVAR-12, Run: 087, P, 0, 22, 108, 108
INVAR-12, Run: 088, P, 0, 21, 109, 109
INVAR-12, Run: 089, P, 0, 39, 91, 91
INVAR-12, Run: 090, P, 0, 27, 103, 103
INVAR-12, Run: 091, P, 0, 32, 98, 98
INVAR-12, Run: 092, P, 0, 25, 105, 105
INVAR-12, Run: 093, P, 0, 35, 95, 95
INVAR-12, Run: 094, P, 0, 20, 110, 110
INVAR-12, Run: 095, P, 0, 38, 92, 92
INVAR-12, Run: 096, P, 0, 13, 117, 117
INVAR-12, Run: 097, P, 0, 20, 110, 110
INVAR-12, Run: 098, P, 0, 39, 91, 91
INVAR-12, Run: 099, P, 0, 15, 115, 115
INVAR-12, Run: 100, P, 0, 43, 87, 87
INVAR-13, Run: 001, P, 75, 0, 80, 5
INVAR-13, Run: 002, P, 88, 0, 93, 5
INVAR-13, Run: 003, P, 79, 0, 84, 5
INVAR-13, Run: 004, P, 104, 0, 109, 5
INVAR-13, Run: 005, P, 105, 0, 110, 5
INVAR-13, Run: 006, P, 79, 0, 84, 5
INVAR-13, Run: 007, P, 77, 0, 82, 5
INVAR-13, Run: 008, P, 92, 0, 97, 5
INVAR-13, Run: 009, P, 98, 0, 103, 5
INVAR-13, Run: 010, P, 111, 0, 116, 5
INVAR-13, Run: 011, P, 97, 0, 102, 5
INVAR-13, Run: 012, P, 96, 0, 101, 5
INVAR-13, Run: 013, P, 90, 0, 95, 5
INVAR-13, Run: 014, P, 92, 0, 97, 5
INVAR-13, Run: 015, P, 87, 0, 92, 5
INVAR-13, Run: 016, P, 89, 0, 94, 5
INVAR-13, Run: 017, P, 108, 0, 113, 5
INVAR-13, Run: 018, P, 91, 0, 96, 5
INVAR-13, Run: 019, P, 80, 0, 85, 5
INVAR-13, Run: 020, P, 97, 0, 102, 5
INVAR-13, Run: 021, P, 103, 0, 108, 5
INVAR-13, Run: 022, P, 104, 0, 109, 5
INVAR-13, Run: 023, P, 94, 0, 99, 5
INVAR-13, Run: 024, P, 101, 0, 106, 5
INVAR-13, Run: 025, P, 102, 0, 107, 5
INVAR-13, Run: 026, P, 84, 0, 89, 5
INVAR-13, Run: 027, P, 88, 0, 93, 5
INVAR-13, Run: 028, P, 93, 0, 98, 5
INVAR-13, Run: 029, P, 95, 0, 100, 5
INVAR-13, Run: 030, P, 102, 0, 107, 5
INVAR-13, Run: 031, P, 77, 0, 82, 5
INVAR-13, Run: 032, P, 88, 0, 93, 5
INVAR-13, Run: 033, P, 97, 0, 102, 5
INVAR-13, Run: 034, P, 88, 0, 93, 5
INVAR-13, Run: 035, P, 106, 0, 111, 5
INVAR-13, Run: 036, P, 101, 0, 106, 5
INVAR-13, Run: 037, P, 102, 0, 107, 5
INVAR-13, Run: 038, P, 91, 0, 96, 5
INVAR-13, Run: 039, P, 104, 0, 109, 5
INVAR-13, Run: 040, P, 98, 0, 103, 5
INVAR-13, Run: 041, P, 79, 0, 84, 5
INVAR-13, Run: 042, P, 114, 0, 119, 5
INVAR-13, Run: 043, P, 105, 0, 110, 5
INVAR-13, Run: 044, P, 91, 0, 96, 5
INVAR-13, Run: 045, P, 89, 0, 94, 5
INVAR-13, Run: 046, P, 93, 0, 98, 5
INVAR-13, Run: 047, P, 92, 0, 97, 5
INVAR-13, Run: 048, P, 76, 0, 81, 5
INVAR-13, Run: 049, P, 105, 0, 110, 5
INVAR-13, Run: 050, P, 87, 0, 92, 5
INVAR-13, Run: 051, P, 79, 0, 84, 5
INVAR-13, Run: 052, P, 92, 0, 97, 5
INVAR-13, Run: 053, P, 87, 0, 92, 5
INVAR-13, Run: 054, P, 108, 0, 113, 5
INVAR-13, Run: 055, P, 119, 0, 124, 5
INVAR-13, Run: 056, P, 99, 0, 104, 5
INVAR-13, Run: 057, P, 87, 0, 92, 5
INVAR-13, Run: 058, P, 102, 0, 107, 5
INVAR-13, Run: 059, P, 98, 0, 103, 5
INVAR-13, Run: 060, P, 86, 0, 91, 5
INVAR-13, Run: 061, P, 91, 0, 96, 5
INVAR-13, Run: 062, P, 100, 0, 105, 5
INVAR-13, Run: 063, P, 97, 0, 102, 5
INVAR-13, Run: 064, P, 90, 0, 95, 5
INVAR-13, Run: 065, P, 92, 0, 97, 5
INVAR-13, Run: 066, P, 79, 0, 84, 5
INVAR-13, Run: 067, P, 88, 0, 93, 5
INVAR-13, Run: 068, P, 101, 0, 106, 5
INVAR-13, Run: 069, P, 107, 0, 112, 5
INVAR-13, Run: 070, P, 102, 0, 107, 5
INVAR-13, Run: 071, P, 97, 0, 102, 5
INVAR-13, Run: 072, P, 96, 0, 101, 5
INVAR-13, Run: 073, P, 77, 0, 82, 5
INVAR-13, Run: 074, P, 78, 0, 83, 5
INVAR-13, Run: 075, P, 75, 0, 80, 5
INVAR-13, Run: 076, P, 107, 0, 112, 5
INVAR-13, Run: 077, P, 108, 0, 113, 5
INVAR-13, Run: 078, P, 82, 0, 87, 5
INVAR-13, Run: 079, P, 98, 0, 103, 5
INVAR-13, Run: 080, P, 105, 0, 110, 5
INVAR-13, Run: 081, P, 93, 0, 98, 5
INVAR-13, Run: 082, P, 83, 0, 88, 5
INVAR-13, Run: 083, P, 110, 0, 115, 5
INVAR-13, Run: 084, P, 94, 0, 99, 5
INVAR-13, Run: 085, P, 94, 0, 99, 5
INVAR-13, Run: 086, P, 100, 0, 105, 5
INVAR-13, Run: 087, P, 86, 0, 91, 5
INVAR-13, Run: 088, P, 102, 0, 107, 5
INVAR-13, Run: 089, P, 89, 0, 94, 5
INVAR-13, Run: 090, P, 73, 0, 78, 5
INVAR-13, Run: 091, P, 102, 0, 107, 5
INVAR-13, Run: 092, P, 100, 0, 105, 5
INVAR-13, Run: 093, P, 74, 0, 79, 5
INVAR-13, Run: 094, P, 88, 0, 93, 5
INVAR-13, Run: 095, P, 75, 0, 80, 5
INVAR-13, Run: 096, P, 96, 0, 101, 5
INVAR-13, Run: 097, P, 108, 0, 113, 5
INVAR-13, Run: 098, P, 87, 0, 92, 5
INVAR-13, Run: 099, P, 100, 0, 105, 5
INVAR-13, Run: 100, P, 94, 0, 99, 5
INVAR-14, Run: 001, P, 19, 0, 105, 86
INVAR-14, Run: 002, P, 18, 0, 104, 86
INVAR-14, Run: 003, P, 18, 0, 104, 86
INVAR-14, Run: 004, P, 19, 0, 105, 86
INVAR-14, Run: 005, P, 25, 0, 111, 86
INVAR-14, Run: 006, P, 14, 0, 100, 86
INVAR-14, Run: 007, P, 9, 0, 95, 86
INVAR-14, Run: 008, P, 4, 0, 90, 86
INVAR-14, Run: 009, P, 22, 0, 108, 86
INVAR-14, Run: 010, P, 12, 0, 98, 86
INVAR-14, Run: 011, P, 17, 0, 103, 86
INVAR-14, Run: 012, P, 20, 0, 106, 86
INVAR-14, Run: 013, P, 9, 0, 95, 86
INVAR-14, Run: 014, P, 2, 0, 88, 86
INVAR-14, Run: 015, P, 17, 0, 103, 86
