Input Number, Run_Number, Result@ 100, F, Y, CE, X1, A, B, C, PO, D, CO, PE, E
4, Run: 060, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 061, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 062, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 063, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 064, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 065, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 066, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 067, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 068, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 132, 0, 27
4, Run: 069, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 070, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 071, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 072, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 073, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 124, 0, 23
4, Run: 074, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 124, 0, 23
4, Run: 075, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 076, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 124, 0, 23
4, Run: 077, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 078, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 079, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 080, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 081, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 082, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 083, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 084, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 085, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 086, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 087, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 088, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 132, 0, 27
4, Run: 089, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 090, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 091, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 092, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
