Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F
4, Run: 001, F, 118, 11137, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 002, F, 118, 11369, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 003, F, 118, 11283, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 004, F, 118, 11116, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 005, F, 118, 11227, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 006, F, 118, 11123, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 007, F, 118, 11491, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 008, F, 118, 11252, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 009, F, 118, 11199, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 010, F, 118, 11146, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 011, F, 118, 11200, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 012, F, 118, 11331, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 013, F, 118, 11074, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 014, F, 118, 11129, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 015, F, 118, 11080, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 016, F, 118, 11363, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 017, F, 118, 11131, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 018, F, 118, 11210, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 019, F, 118, 11286, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 020, F, 118, 11107, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 021, F, 118, 11302, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 022, F, 118, 11372, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 023, F, 118, 11144, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 024, F, 118, 11234, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 025, F, 118, 11017, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 026, F, 118, 11204, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 027, F, 118, 11091, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 028, F, 118, 11171, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 029, F, 118, 11017, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 030, F, 118, 11056, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 031, F, 118, 11178, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 032, F, 118, 11037, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 033, F, 118, 11100, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 034, F, 118, 11259, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 035, F, 118, 11203, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 036, F, 118, 11129, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 037, F, 118, 11062, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 038, F, 118, 11015, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 039, F, 118, 10954, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 040, F, 118, 11215, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 041, F, 118, 11140, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 042, F, 118, 11387, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 043, F, 118, 11292, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 044, F, 118, 11508, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 045, F, 118, 11396, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 046, F, 118, 11137, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 047, F, 118, 11147, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 048, F, 118, 11271, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 049, F, 118, 11233, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 050, F, 118, 11073, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 051, F, 118, 11296, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 052, F, 118, 11266, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 053, F, 118, 11529, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 054, F, 118, 11277, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 055, F, 118, 10978, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 056, F, 118, 11128, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 057, F, 118, 11250, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 058, F, 118, 11178, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
4, Run: 059, F, 118, 11396, 0, 1, 0, 0, 1, 0, 0, 0, 78, 1
