Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F
1, Run: 001, P, 22, 2122, 0, 0, 0, 0, 0, 32, 0, 1, 20, 0
1, Run: 002, P, 38, 3597, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0
1, Run: 003, P, 50, 4752, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
1, Run: 004, P, 30, 2847, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0
1, Run: 005, P, 12, 1085, 0, 0, 0, 0, 0, 42, 0, 1, 15, 0
1, Run: 006, P, 2, 220, 0, 0, 0, 0, 0, 52, 0, 1, 10, 0
1, Run: 007, P, 54, 5168, 0, 0, 0, 0, 0, 0, 0, 1, 36, 0
1, Run: 008, P, 48, 4659, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
1, Run: 009, P, 2, 206, 0, 0, 0, 0, 0, 52, 0, 1, 10, 0
1, Run: 010, P, 12, 1154, 0, 0, 0, 0, 0, 42, 0, 1, 15, 0
1, Run: 011, P, 48, 4532, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
1, Run: 012, P, 46, 4166, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0
1, Run: 013, P, 46, 4397, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0
1, Run: 014, P, 30, 2885, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0
1, Run: 015, P, 24, 2302, 0, 0, 0, 0, 0, 30, 0, 1, 21, 0
1, Run: 016, P, 24, 2329, 0, 0, 0, 0, 0, 30, 0, 1, 21, 0
1, Run: 017, P, 52, 4971, 0, 0, 0, 0, 0, 2, 0, 1, 35, 0
1, Run: 018, P, 20, 1931, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
1, Run: 019, P, 2, 208, 0, 0, 0, 0, 0, 52, 0, 1, 10, 0
1, Run: 020, P, 10, 973, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0
1, Run: 021, P, 36, 3409, 0, 0, 0, 0, 0, 18, 0, 1, 27, 0
1, Run: 022, P, 44, 4170, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
1, Run: 023, P, 10, 1009, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0
1, Run: 024, P, 48, 4629, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
1, Run: 025, P, 14, 1381, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0
1, Run: 026, P, 48, 4600, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
1, Run: 027, P, 46, 4313, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0
1, Run: 028, P, 16, 1564, 0, 0, 0, 0, 0, 38, 0, 1, 17, 0
1, Run: 029, P, 22, 2123, 0, 0, 0, 0, 0, 32, 0, 1, 20, 0
1, Run: 030, P, 48, 4549, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
1, Run: 031, P, 26, 2517, 0, 0, 0, 0, 0, 28, 0, 1, 22, 0
1, Run: 032, P, 8, 786, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0
1, Run: 033, P, 12, 1175, 0, 0, 0, 0, 0, 42, 0, 1, 15, 0
1, Run: 034, P, 38, 3621, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0
1, Run: 035, P, 28, 2753, 0, 0, 0, 0, 0, 26, 0, 1, 23, 0
1, Run: 036, P, 28, 2631, 0, 0, 0, 0, 0, 26, 0, 1, 23, 0
1, Run: 037, P, 20, 1936, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
1, Run: 038, P, 44, 4259, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
1, Run: 039, P, 10, 990, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0
