Input Number, Run_Number, Result@ 100, U, X1, X2, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, F, 0, 214, 0, 88, 15, 113, 1, 11
INVAR-1, Run: 002, F, 0, 256, 0, 109, 17, 132, 3, 9
INVAR-1, Run: 003, F, 0, 186, 0, 74, 22, 107, 8, 19
INVAR-1, Run: 004, F, 0, 234, 0, 98, 24, 131, 10, 19
INVAR-1, Run: 005, F, 0, 244, 0, 103, 34, 159, 20, 42
INVAR-1, Run: 006, F, 0, 236, 0, 99, 20, 132, 6, 19
INVAR-1, Run: 007, F, 0, 0, 242, 102, 167, 25, 395, 151
INVAR-1, Run: 008, F, 0, 224, 0, 93, 22, 127, 8, 20
INVAR-1, Run: 009, F, 0, 262, 0, 112, 16, 135, 2, 9
INVAR-1, Run: 010, F, 0, 252, 0, 107, 14, 132, 0, 11
INVAR-1, Run: 011, F, 0, 236, 0, 99, 20, 133, 6, 20
INVAR-1, Run: 012, F, 0, 252, 0, 107, 30, 158, 16, 37
INVAR-1, Run: 013, F, 0, 0, 240, 101, 143, 24, 369, 149
INVAR-1, Run: 014, F, 0, 246, 0, 104, 17, 133, 3, 15
INVAR-1, Run: 015, F, 0, 238, 0, 100, 19, 130, 5, 16
INVAR-1, Run: 016, F, 0, 260, 0, 111, 24, 149, 10, 24
INVAR-1, Run: 017, F, 0, 248, 0, 105, 18, 133, 4, 14
INVAR-1, Run: 018, F, 0, 224, 0, 93, 19, 121, 5, 14
INVAR-1, Run: 019, F, 0, 214, 0, 88, 20, 117, 6, 15
INVAR-1, Run: 020, F, 0, 246, 0, 104, 26, 139, 12, 21
INVAR-1, Run: 021, F, 0, 242, 0, 102, 26, 137, 12, 21
INVAR-1, Run: 022, F, 0, 258, 0, 110, 30, 177, 16, 53
INVAR-1, Run: 023, F, 0, 206, 0, 84, 22, 114, 8, 16
INVAR-1, Run: 024, F, 0, 224, 0, 93, 15, 119, 1, 12
INVAR-1, Run: 025, F, 0, 246, 0, 104, 17, 135, 3, 17
INVAR-1, Run: 026, F, 0, 218, 0, 90, 22, 128, 8, 24
INVAR-1, Run: 027, F, 0, 262, 0, 112, 20, 138, 6, 12
INVAR-1, Run: 028, F, 0, 250, 0, 106, 22, 141, 8, 21
INVAR-1, Run: 029, F, 0, 234, 0, 98, 18, 131, 4, 19
INVAR-1, Run: 030, F, 0, 234, 0, 98, 14, 122, 0, 10
INVAR-1, Run: 031, F, 0, 246, 0, 104, 15, 131, 1, 13
INVAR-1, Run: 032, F, 0, 256, 0, 109, 18, 136, 4, 13
INVAR-1, Run: 033, F, 0, 238, 0, 100, 17, 128, 3, 14
INVAR-1, Run: 034, F, 0, 244, 0, 103, 17, 143, 3, 26
INVAR-1, Run: 035, F, 0, 240, 0, 101, 19, 138, 5, 23
INVAR-1, Run: 036, F, 0, 232, 0, 97, 34, 147, 20, 36
INVAR-1, Run: 037, F, 0, 246, 0, 104, 27, 142, 13, 24
INVAR-1, Run: 038, F, 0, 260, 0, 111, 22, 149, 8, 24
INVAR-1, Run: 039, F, 0, 226, 0, 94, 18, 115, 4, 7
INVAR-1, Run: 040, F, 0, 272, 0, 117, 16, 148, 2, 17
INVAR-1, Run: 041, F, 0, 0, 252, 107, 156, 30, 394, 161
INVAR-1, Run: 042, F, 0, 216, 0, 89, 17, 121, 3, 18
INVAR-1, Run: 043, F, 0, 242, 0, 102, 20, 141, 6, 25
INVAR-1, Run: 044, F, 0, 0, 252, 107, 133, 16, 371, 147
INVAR-1, Run: 045, F, 0, 222, 0, 92, 18, 123, 4, 17
INVAR-1, Run: 046, F, 0, 234, 0, 98, 15, 123, 1, 11
INVAR-1, Run: 047, F, 0, 198, 0, 80, 17, 111, 3, 17
INVAR-1, Run: 048, F, 0, 260, 0, 111, 32, 161, 18, 36
INVAR-1, Run: 049, F, 0, 238, 0, 100, 17, 124, 3, 10
INVAR-1, Run: 050, F, 0, 226, 0, 94, 19, 127, 5, 19
INVAR-1, Run: 051, F, 0, 246, 0, 104, 17, 129, 3, 11
INVAR-1, Run: 052, F, 0, 264, 0, 113, 19, 144, 5, 17
INVAR-1, Run: 053, F, 0, 242, 0, 102, 32, 146, 18, 30
INVAR-1, Run: 054, F, 0, 190, 0, 76, 38, 124, 24, 34
INVAR-1, Run: 055, F, 0, 264, 0, 113, 17, 143, 3, 16
INVAR-1, Run: 056, F, 0, 246, 0, 104, 23, 139, 9, 21
INVAR-1, Run: 057, F, 0, 256, 0, 109, 17, 140, 3, 17
INVAR-1, Run: 058, F, 0, 220, 0, 91, 18, 129, 4, 24
INVAR-1, Run: 059, F, 0, 268, 0, 115, 21, 153, 7, 24
INVAR-1, Run: 060, F, 0, 230, 0, 96, 24, 129, 10, 19
INVAR-1, Run: 061, F, 0, 266, 0, 114, 16, 135, 2, 7
