Input Number, Run_Number, Result@ 100, Y, A, X1, B, C, PO, D, CO, PE, CE, E, F
1, Run: 001, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 0, 16, 0
1, Run: 002, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 3, 13, 0
1, Run: 003, P, 0, 0, 0, 0, 0, 0, 12, 42, 1, 0, 30, 0
1, Run: 004, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 2, 14, 0
1, Run: 005, P, 0, 0, 0, 0, 0, 0, 18, 36, 1, 0, 27, 0
1, Run: 006, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 2, 16, 0
1, Run: 007, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 2, 16, 0
1, Run: 008, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 13, 0
1, Run: 009, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0
1, Run: 010, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 3, 20, 0
1, Run: 011, P, 0, 0, 0, 0, 0, 0, 26, 28, 1, 1, 23, 0
1, Run: 012, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 1, 13, 0
1, Run: 013, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 3, 12, 0
1, Run: 014, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 2, 13, 0
1, Run: 015, P, 0, 0, 0, 0, 0, 0, 30, 24, 1, 0, 21, 0
1, Run: 016, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 3, 14, 0
1, Run: 017, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 2, 13, 0
1, Run: 018, P, 0, 0, 0, 0, 0, 0, 24, 30, 1, 0, 24, 0
1, Run: 019, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 1, 14, 0
1, Run: 020, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 2, 13, 0
1, Run: 021, P, 0, 0, 0, 0, 0, 0, 4, 50, 1, 1, 34, 0
1, Run: 022, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 2, 15, 0
1, Run: 023, P, 0, 0, 0, 0, 0, 0, 22, 32, 1, 2, 25, 0
