Input Number, Run_Number, Result@ 100, X, V, Y
1, Run: 001, P, 0, 0, 2
1, Run: 002, P, 0, 0, 2
1, Run: 003, F, 0, 5, 0
1, Run: 004, P, 0, 0, 2
1, Run: 005, F, 0, 1, 0
1, Run: 006, P, 0, 0, 1
1, Run: 007, F, 0, 7, 0
1, Run: 008, P, 0, 0, 2
1, Run: 009, P, 0, 0, 1
1, Run: 010, F, 0, 3, 0
1, Run: 011, P, 0, 0, 2
1, Run: 012, P, 0, 0, 1
1, Run: 013, P, 0, 0, 1
1, Run: 014, F, 0, 13, 0
1, Run: 015, P, 0, 0, 2
1, Run: 016, P, 0, 0, 1
1, Run: 017, F, 0, 13, 0
1, Run: 018, P, 0, 0, 1
1, Run: 019, F, 0, 1, 0
1, Run: 020, P, 0, 0, 2
1, Run: 021, P, 0, 0, 2
1, Run: 022, P, 0, 0, 2
1, Run: 023, P, 0, 0, 2
1, Run: 024, F, 0, 2, 0
1, Run: 025, P, 0, 0, 1
1, Run: 026, F, 0, 6, 0
1, Run: 027, P, 0, 0, 1
1, Run: 028, P, 0, 0, 2
1, Run: 029, P, 0, 0, 1
1, Run: 030, P, 0, 0, 1
1, Run: 031, P, 0, 0, 2
1, Run: 032, P, 0, 0, 1
1, Run: 033, P, 0, 0, 2
1, Run: 034, P, 0, 0, 2
1, Run: 035, P, 0, 0, 1
1, Run: 036, F, 0, 3, 0
1, Run: 037, F, 0, 10, 0
1, Run: 038, F, 0, 10, 0
1, Run: 039, P, 0, 0, 2
1, Run: 040, F, 0, 12, 0
1, Run: 041, P, 0, 0, 2
1, Run: 042, P, 0, 0, 2
1, Run: 043, P, 0, 0, 1
1, Run: 044, P, 0, 0, 2
1, Run: 045, F, 0, 7, 0
1, Run: 046, F, 0, 11, 0
1, Run: 047, P, 0, 0, 1
1, Run: 048, P, 0, 0, 2
1, Run: 049, P, 0, 0, 1
1, Run: 050, P, 0, 0, 1
1, Run: 051, P, 0, 0, 1
1, Run: 052, P, 0, 0, 2
1, Run: 053, P, 0, 0, 1
1, Run: 054, F, 0, 2, 0
1, Run: 055, P, 0, 0, 1
1, Run: 056, P, 0, 0, 1
1, Run: 057, F, 0, 5, 0
1, Run: 058, P, 0, 0, 2
1, Run: 059, F, 0, 10, 0
1, Run: 060, P, 0, 0, 2
1, Run: 061, F, 0, 15, 0
1, Run: 062, P, 0, 0, 2
1, Run: 063, P, 0, 0, 2
1, Run: 064, P, 0, 0, 2
1, Run: 065, F, 0, 4, 0
1, Run: 066, P, 0, 0, 1
1, Run: 067, F, 0, 1, 0
1, Run: 068, F, 0, 4, 0
1, Run: 069, F, 0, 15, 0
1, Run: 070, P, 0, 0, 1
1, Run: 071, P, 0, 0, 2
