Input Number, Run_Number, Result@ 100, H, B, PE, X1, M, PO, CE, Y, D, CO, A
4, Run: 001, F, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0
4, Run: 002, F, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0
4, Run: 003, F, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0
4, Run: 004, F, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0
4, Run: 005, F, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0
4, Run: 006, F, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0
4, Run: 007, F, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0
4, Run: 008, F, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0
4, Run: 009, F, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0
4, Run: 010, F, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0
4, Run: 011, F, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0
4, Run: 012, F, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0
4, Run: 013, F, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0
4, Run: 014, F, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0
4, Run: 015, F, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0
4, Run: 016, F, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0
4, Run: 017, F, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0
4, Run: 018, F, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0
4, Run: 019, F, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0
4, Run: 020, F, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0
4, Run: 021, F, 0, 0, 0, 0, 0, 1, 0, 102, 12, 102, 0
4, Run: 022, F, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0
4, Run: 023, F, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0
4, Run: 024, F, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0
