Input Number, Run_Number, Result@ 100, Y, X, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 066, F, 1, 0, 1, 83, 8, 40, 0, 4, 43
INVAR-1, Run: 067, F, 2, 0, 0, 96, 7, 43, 3, 8, 45
INVAR-1, Run: 068, F, 1, 0, 1, 95, 7, 43, 3, 8, 44
INVAR-1, Run: 069, F, 2, 0, 0, 93, 8, 43, 0, 9, 42
INVAR-1, Run: 070, F, 1, 0, 0, 116, 7, 50, 3, 13, 47
INVAR-1, Run: 071, F, 1, 0, 1, 101, 7, 45, 3, 10, 44
INVAR-1, Run: 072, F, 1, 0, 1, 107, 7, 47, 3, 15, 41
INVAR-1, Run: 073, F, 1, 0, 1, 95, 7, 43, 3, 11, 41
INVAR-1, Run: 074, F, 1, 0, 1, 101, 7, 45, 3, 12, 42
INVAR-1, Run: 075, F, 0, 0, 1, 106, 7, 47, 3, 18, 38
INVAR-1, Run: 076, F, 0, 0, 1, 115, 7, 50, 3, 16, 43
INVAR-1, Run: 077, F, 0, 0, 1, 100, 7, 45, 3, 4, 50
INVAR-1, Run: 078, F, 2, 0, 0, 108, 7, 47, 3, 12, 45
INVAR-1, Run: 079, F, 0, 0, 1, 88, 7, 41, 3, 8, 42
INVAR-1, Run: 080, F, 1, 0, 1, 92, 7, 42, 3, 15, 36
INVAR-1, Run: 081, F, 2, 0, 0, 108, 7, 47, 3, 9, 48
INVAR-1, Run: 082, F, 1, 0, 1, 95, 7, 43, 3, 13, 39
INVAR-1, Run: 083, F, 1, 0, 1, 116, 7, 50, 3, 11, 48
INVAR-1, Run: 084, F, 2, 0, 0, 93, 7, 42, 3, 6, 46
INVAR-1, Run: 085, F, 0, 0, 2, 79, 7, 38, 3, 8, 38
INVAR-1, Run: 086, F, 0, 0, 1, 91, 8, 43, 0, 1, 49
INVAR-1, Run: 087, F, 1, 0, 1, 92, 7, 42, 3, 11, 40
INVAR-1, Run: 088, F, 1, 0, 0, 128, 7, 54, 3, 11, 53
INVAR-1, Run: 089, F, 0, 0, 1, 85, 7, 40, 3, 6, 43
INVAR-1, Run: 090, F, 1, 0, 0, 116, 7, 50, 3, 19, 41
INVAR-1, Run: 091, F, 2, 0, 0, 105, 7, 46, 3, 17, 39
INVAR-1, Run: 092, F, 2, 0, 0, 96, 7, 43, 3, 7, 46
INVAR-1, Run: 093, F, 1, 0, 0, 92, 7, 42, 3, 11, 41
INVAR-1, Run: 094, F, 1, 0, 1, 116, 7, 50, 3, 6, 53
INVAR-1, Run: 095, F, 0, 0, 2, 112, 7, 49, 3, 15, 42
INVAR-1, Run: 096, F, 1, 0, 0, 98, 7, 44, 3, 14, 40
