Input Number, Run_Number, Result@ 100, cpd00079_c0_, cpd00089_c0_, cpd00008_c0_, cpd00061_c0_, cpd00067_c0_, cpd00002_c0_, cpd00020_c0_, cpd00009_c0_, cpd00022_c0_, cpd00010_c0_, cpd00029_c0_, cpd00169_c0_, cpd11620_c0_, cpd00001_c0_, cpd00102_c0_, cpd11621_c0_, cpd00072_c0_, cpd00290_c0_, cpd00095_c0_, cpd00003_c0_, cpd00004_c0_, cpd00203_c0_, cpd00482_c0_, Reaction1, Reaction10, Reaction11, Reaction12, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 030, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 031, E, 0, 27, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 23, 0, 0, 50, 0, 0, 0, 27, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 032, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 033, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 034, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 035, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 036, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 037, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 038, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 039, E, 0, 27, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 23, 0, 0, 50, 0, 0, 0, 27, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 040, E, 0, 27, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 23, 0, 0, 50, 0, 0, 0, 27, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 041, E, 0, 18, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 32, 0, 0, 50, 0, 0, 0, 18, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 042, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 043, E, 0, 30, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 20, 0, 0, 50, 0, 0, 0, 30, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 044, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 045, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 046, E, 0, 14, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 36, 0, 0, 50, 0, 0, 0, 14, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 047, E, 0, 22, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 0, 50, 0, 0, 0, 22, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 048, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 049, E, 0, 22, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 0, 50, 0, 0, 0, 22, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 050, E, 0, 20, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 30, 0, 0, 50, 0, 0, 0, 20, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 051, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 052, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 053, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 054, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 055, E, 0, 18, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 32, 0, 0, 50, 0, 0, 0, 18, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 056, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 057, E, 0, 27, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 23, 0, 0, 50, 0, 0, 0, 27, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 058, E, 0, 14, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 36, 0, 0, 50, 0, 0, 0, 14, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 059, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 060, E, 0, 30, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 20, 0, 0, 50, 0, 0, 0, 30, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 061, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 062, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 063, E, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 064, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 065, E, 0, 22, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 0, 50, 0, 0, 0, 22, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 066, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 067, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 068, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 069, E, 0, 22, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 0, 50, 0, 0, 0, 22, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 070, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 071, E, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 072, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 073, E, 0, 29, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 21, 0, 0, 50, 0, 0, 0, 29, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 074, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 075, E, 0, 18, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 32, 0, 0, 50, 0, 0, 0, 18, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 076, E, 0, 20, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 30, 0, 0, 50, 0, 0, 0, 20, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 077, E, 0, 29, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 21, 0, 0, 50, 0, 0, 0, 29, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 078, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 079, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 080, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 081, E, 0, 30, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 20, 0, 0, 50, 0, 0, 0, 30, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 082, E, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 083, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 084, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 085, E, 0, 15, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 35, 0, 0, 50, 0, 0, 0, 15, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 086, E, 0, 29, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 21, 0, 0, 50, 0, 0, 0, 29, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 087, E, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 088, E, 0, 22, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 28, 0, 0, 50, 0, 0, 0, 22, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 089, E, 0, 17, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 33, 0, 0, 50, 0, 0, 0, 17, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 090, E, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 091, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 092, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 093, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 094, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 095, E, 0, 20, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 30, 0, 0, 50, 0, 0, 0, 20, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 096, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 097, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 098, E, 0, 21, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 29, 0, 0, 50, 0, 0, 0, 21, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 099, E, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 100, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 001, E, 0, 28, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 2078, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 002, E, 0, 27, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 23, 0, 0, 2078, 0, 0, 0, 27, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 003, E, 0, 26, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 2078, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 004, E, 0, 23, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 2078, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 005, E, 0, 18, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 32, 0, 0, 2078, 0, 0, 0, 18, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 006, E, 0, 20, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 30, 0, 0, 2078, 0, 0, 0, 20, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 007, E, 0, 24, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 2078, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 008, E, 0, 27, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 23, 0, 0, 2078, 0, 0, 0, 27, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 009, E, 0, 26, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 2078, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 010, E, 0, 23, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 2078, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 011, E, 0, 23, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 2078, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 012, E, 0, 27, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 23, 0, 0, 2078, 0, 0, 0, 27, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 013, E, 0, 25, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 2078, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-2, Run: 014, E, 0, 26, 0, 0, 0, 0, 0, 200, 600, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 2078, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
