Input Number, Run_Number, Result@ 100, cpd00079_c0_, cpd00089_c0_, cpd00008_c0_, cpd00061_c0_, cpd00067_c0_, cpd00002_c0_, cpd00020_c0_, cpd00009_c0_, cpd00022_c0_, cpd00010_c0_, cpd00029_c0_, cpd00169_c0_, cpd11620_c0_, cpd00001_c0_, cpd00102_c0_, cpd11621_c0_, cpd00072_c0_, cpd00290_c0_, cpd00095_c0_, cpd00003_c0_, cpd00004_c0_, cpd00203_c0_, cpd00482_c0_, Reaction1, Reaction10, Reaction11, Reaction12, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 002, E, 0, 29, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 21, 0, 0, 50, 0, 0, 0, 29, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 003, E, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 004, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 005, E, 0, 32, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 18, 0, 0, 50, 0, 0, 0, 32, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 006, E, 0, 21, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 29, 0, 0, 50, 0, 0, 0, 21, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 007, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 008, E, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 009, E, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 010, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 011, E, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 012, E, 0, 24, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 26, 0, 0, 50, 0, 0, 0, 24, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 013, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 014, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 015, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 016, E, 0, 28, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 22, 0, 0, 50, 0, 0, 0, 28, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 017, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 018, E, 0, 20, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 30, 0, 0, 50, 0, 0, 0, 20, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 019, E, 0, 29, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 21, 0, 0, 50, 0, 0, 0, 29, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 020, E, 0, 20, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 30, 0, 0, 50, 0, 0, 0, 20, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 021, E, 0, 25, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 25, 0, 0, 50, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 022, E, 0, 19, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 31, 0, 0, 50, 0, 0, 0, 19, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 023, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 024, E, 0, 21, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 29, 0, 0, 50, 0, 0, 0, 21, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 025, E, 0, 29, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 21, 0, 0, 50, 0, 0, 0, 29, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 026, E, 0, 27, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 23, 0, 0, 50, 0, 0, 0, 27, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 027, E, 0, 23, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 27, 0, 0, 50, 0, 0, 0, 23, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 028, E, 0, 21, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 29, 0, 0, 50, 0, 0, 0, 21, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 029, E, 0, 26, 0, 0, 0, 0, 0, 50, 50, 0, 0, 0, 50, 0, 0, 0, 24, 0, 0, 50, 0, 0, 0, 26, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
