Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F
INVAR-1, Run: 001, P, 20, 1983, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
INVAR-1, Run: 002, P, 36, 3449, 0, 0, 0, 0, 0, 18, 0, 1, 27, 0
INVAR-1, Run: 003, P, 16, 1530, 0, 0, 0, 0, 0, 38, 0, 1, 17, 0
INVAR-1, Run: 004, P, 50, 4907, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
INVAR-1, Run: 005, P, 10, 942, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0
INVAR-1, Run: 006, P, 26, 2521, 0, 0, 0, 0, 0, 28, 0, 1, 22, 0
INVAR-1, Run: 007, P, 8, 778, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0
INVAR-1, Run: 008, P, 6, 539, 0, 0, 0, 0, 0, 48, 0, 1, 12, 0
INVAR-1, Run: 009, P, 50, 4679, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
INVAR-1, Run: 010, P, 6, 583, 0, 0, 0, 0, 0, 48, 0, 1, 12, 0
INVAR-1, Run: 011, P, 52, 4961, 0, 0, 0, 0, 0, 2, 0, 1, 35, 0
INVAR-1, Run: 012, P, 46, 4370, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0
INVAR-1, Run: 013, P, 26, 2474, 0, 0, 0, 0, 0, 28, 0, 1, 22, 0
INVAR-1, Run: 014, P, 14, 1323, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0
INVAR-1, Run: 015, P, 38, 3675, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0
INVAR-1, Run: 016, P, 42, 4076, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
INVAR-1, Run: 017, P, 42, 4019, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
INVAR-1, Run: 018, P, 36, 3447, 0, 0, 0, 0, 0, 18, 0, 1, 27, 0
INVAR-1, Run: 019, P, 34, 3247, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 020, P, 26, 2503, 0, 0, 0, 0, 0, 28, 0, 1, 22, 0
INVAR-1, Run: 021, P, 32, 3026, 0, 0, 0, 0, 0, 22, 0, 1, 25, 0
INVAR-1, Run: 022, P, 16, 1553, 0, 0, 0, 0, 0, 38, 0, 1, 17, 0
INVAR-1, Run: 023, P, 34, 3125, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 024, P, 48, 4636, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
INVAR-1, Run: 025, P, 4, 386, 0, 0, 0, 0, 0, 50, 0, 1, 11, 0
INVAR-1, Run: 026, P, 38, 3634, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0
INVAR-1, Run: 027, P, 38, 3727, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0
INVAR-1, Run: 028, P, 30, 2947, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0
INVAR-1, Run: 029, P, 16, 1555, 0, 0, 0, 0, 0, 38, 0, 1, 17, 0
INVAR-1, Run: 030, P, 38, 3559, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0
INVAR-1, Run: 031, P, 44, 4168, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
INVAR-1, Run: 032, P, 32, 3084, 0, 0, 0, 0, 0, 22, 0, 1, 25, 0
INVAR-1, Run: 033, P, 30, 2996, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0
INVAR-1, Run: 034, P, 46, 4480, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0
INVAR-1, Run: 035, P, 20, 2015, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
INVAR-1, Run: 036, P, 14, 1322, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0
INVAR-1, Run: 037, P, 44, 4167, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
INVAR-1, Run: 038, P, 48, 4518, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
INVAR-1, Run: 039, P, 42, 3954, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
INVAR-1, Run: 040, P, 44, 4223, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
INVAR-1, Run: 041, P, 44, 4147, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
INVAR-1, Run: 042, P, 34, 3241, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 043, P, 46, 4243, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0
INVAR-1, Run: 044, P, 44, 4241, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0
INVAR-1, Run: 045, P, 12, 1133, 0, 0, 0, 0, 0, 42, 0, 1, 15, 0
INVAR-1, Run: 046, P, 48, 4597, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
INVAR-1, Run: 047, P, 40, 3764, 0, 0, 0, 0, 0, 14, 0, 1, 29, 0
INVAR-1, Run: 048, P, 6, 596, 0, 0, 0, 0, 0, 48, 0, 1, 12, 0
INVAR-1, Run: 049, P, 48, 4562, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0
INVAR-1, Run: 050, P, 42, 3985, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
INVAR-1, Run: 051, P, 30, 2931, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0
INVAR-1, Run: 052, P, 14, 1356, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0
INVAR-1, Run: 053, P, 20, 1983, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
INVAR-1, Run: 054, P, 38, 3753, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0
INVAR-1, Run: 055, P, 16, 1574, 0, 0, 0, 0, 0, 38, 0, 1, 17, 0
INVAR-1, Run: 056, P, 16, 1589, 0, 0, 0, 0, 0, 38, 0, 1, 17, 0
INVAR-1, Run: 057, P, 36, 3477, 0, 0, 0, 0, 0, 18, 0, 1, 27, 0
INVAR-1, Run: 058, P, 24, 2324, 0, 0, 0, 0, 0, 30, 0, 1, 21, 0
INVAR-1, Run: 059, P, 34, 3233, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0
INVAR-1, Run: 060, P, 42, 4072, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
INVAR-1, Run: 061, P, 28, 2633, 0, 0, 0, 0, 0, 26, 0, 1, 23, 0
INVAR-1, Run: 062, P, 36, 3379, 0, 0, 0, 0, 0, 18, 0, 1, 27, 0
INVAR-1, Run: 063, P, 50, 4652, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0
INVAR-1, Run: 064, P, 24, 2333, 0, 0, 0, 0, 0, 30, 0, 1, 21, 0
INVAR-1, Run: 065, P, 10, 945, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0
INVAR-1, Run: 066, P, 20, 1974, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0
INVAR-1, Run: 067, P, 42, 4073, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0
