Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, CO, D, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 4, 2, 0, 9, 5, 3, 8, 9, 18, 140, 70
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 8, 6, 0, 9, 7, 1, 8, 9, 18, 232, 116
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 4, 2, 0, 9, 7, 1, 8, 9, 18, 212, 106
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 12, 10, 0, 9, 4, 4, 8, 9, 18, 438, 219
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 8, 6, 0, 9, 5, 3, 8, 9, 18, 252, 126
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 9, 7, 0, 9, 5, 3, 8, 9, 18, 156, 78
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 12, 10, 0, 9, 5, 3, 8, 9, 18, 82, 41
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 2, 2, 0, 9, 6, 2, 9, 9, 18, 126, 63
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 0, 0, 0, 9, 6, 2, 9, 9, 18, 212, 106
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 6, 6, 0, 9, 6, 2, 9, 9, 18, 270, 135
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 8, 6, 0, 9, 8, 0, 8, 9, 18, 144, 72
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 1, 1, 0, 9, 6, 2, 9, 9, 18, 426, 213
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 9, 7, 0, 9, 4, 4, 8, 9, 18, 312, 156
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 6, 4, 0, 9, 4, 4, 8, 9, 18, 114, 57
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 3, 3, 0, 9, 6, 2, 9, 9, 18, 294, 147
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 10, 10, 0, 9, 4, 4, 9, 9, 18, 208, 104
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 5, 3, 9, 9, 18, 350, 175
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 6, 4, 0, 9, 5, 3, 8, 9, 18, 230, 115
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 2, 2, 0, 9, 7, 1, 9, 9, 18, 194, 97
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 5, 5, 0, 9, 5, 3, 9, 9, 18, 114, 57
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 0, 0, 0, 9, 8, 0, 9, 9, 18, 122, 61
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 3, 1, 0, 9, 3, 5, 8, 9, 18, 62, 31
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 5, 5, 0, 9, 6, 2, 9, 9, 18, 248, 124
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 6, 4, 0, 9, 2, 6, 8, 9, 18, 74, 37
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 6, 4, 0, 9, 7, 1, 8, 9, 18, 170, 85
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 7, 7, 0, 9, 5, 3, 9, 9, 18, 242, 121
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 8, 8, 0, 9, 7, 1, 9, 9, 18, 50, 25
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 6, 2, 9, 9, 18, 314, 157
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 7, 7, 0, 9, 6, 2, 9, 9, 18, 72, 36
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 5, 5, 0, 9, 5, 3, 9, 9, 18, 196, 98
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 0, 5, 3, 0, 9, 4, 4, 8, 9, 18, 164, 82
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 8, 8, 0, 9, 6, 2, 9, 9, 18, 162, 81
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 5, 3, 9, 9, 18, 338, 169
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 12, 12, 0, 9, 7, 1, 9, 9, 18, 158, 79
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 11, 11, 0, 9, 5, 3, 9, 9, 18, 208, 104
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 18, 0, 4, 4, 0, 9, 6, 2, 9, 9, 18, 180, 90
