Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9, NEW_REACTION
INVAR-1, Run: 001, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 33, 71, 9, 3, 5, 14, 7, 10, 47, 71, 11
INVAR-1, Run: 002, P, 0, 0, 0, 0, 15, 15, 0, 0, 1, 18, 0, 18, 33, 35, 9, 3, 5, 15, 6, 9, 48, 35, 12
INVAR-1, Run: 003, P, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0, 18, 13, 78, 9, 5, 3, 12, 12, 18, 25, 78, 6
INVAR-1, Run: 004, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0, 18, 8, 35, 9, 5, 3, 13, 10, 15, 21, 35, 8
INVAR-1, Run: 005, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1, 18, 18, 26, 9, 5, 3, 13, 9, 13, 31, 26, 9
INVAR-1, Run: 006, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0, 18, 22, 38, 9, 5, 3, 14, 8, 12, 36, 38, 10
INVAR-1, Run: 007, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1, 18, 35, 101, 9, 5, 3, 13, 9, 13, 48, 101, 9
INVAR-1, Run: 008, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1, 18, 25, 74, 9, 6, 2, 13, 9, 13, 38, 74, 9
INVAR-1, Run: 009, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0, 18, 6, 31, 9, 6, 2, 14, 8, 12, 20, 31, 10
INVAR-1, Run: 010, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 36, 79, 9, 3, 5, 14, 7, 10, 50, 79, 11
INVAR-1, Run: 011, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1, 18, 30, 65, 9, 5, 3, 13, 9, 13, 43, 65, 9
INVAR-1, Run: 012, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1, 18, 17, 51, 9, 5, 3, 13, 9, 13, 30, 51, 9
INVAR-1, Run: 013, P, 0, 0, 0, 0, 16, 16, 0, 0, 1, 12, 0, 18, 38, 46, 9, 3, 5, 16, 4, 6, 54, 46, 14
INVAR-1, Run: 014, P, 0, 0, 0, 0, 15, 15, 0, 0, 1, 18, 0, 18, 20, 54, 9, 8, 0, 15, 6, 9, 35, 54, 12
INVAR-1, Run: 015, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1, 18, 21, 72, 9, 6, 2, 13, 9, 13, 34, 72, 9
INVAR-1, Run: 016, P, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0, 18, 11, 48, 9, 3, 5, 12, 12, 18, 23, 48, 6
INVAR-1, Run: 017, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 21, 83, 9, 7, 1, 14, 7, 10, 35, 83, 11
INVAR-1, Run: 018, P, 0, 1, 0, 0, 11, 11, 0, 0, 1, 40, 1, 18, 21, 81, 9, 5, 3, 11, 13, 19, 32, 81, 5
INVAR-1, Run: 019, P, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0, 18, 12, 60, 9, 5, 3, 12, 12, 18, 24, 60, 6
INVAR-1, Run: 020, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0, 18, 8, 39, 9, 5, 3, 13, 10, 15, 21, 39, 8
INVAR-1, Run: 021, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0, 18, 22, 33, 9, 3, 5, 14, 8, 12, 36, 33, 10
INVAR-1, Run: 022, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 30, 39, 9, 5, 3, 14, 7, 10, 44, 39, 11
INVAR-1, Run: 023, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0, 18, 10, 52, 9, 5, 3, 13, 10, 15, 23, 52, 8
INVAR-1, Run: 024, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0, 18, 27, 120, 9, 4, 4, 13, 10, 15, 40, 120, 8
INVAR-1, Run: 025, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1, 18, 10, 67, 9, 4, 4, 12, 11, 16, 22, 67, 7
INVAR-1, Run: 026, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0, 18, 21, 64, 9, 5, 3, 14, 8, 12, 35, 64, 10
INVAR-1, Run: 027, P, 0, 1, 0, 0, 15, 15, 0, 0, 1, 16, 1, 18, 31, 32, 9, 7, 1, 15, 5, 7, 46, 32, 13
INVAR-1, Run: 028, P, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0, 18, 20, 34, 9, 5, 3, 12, 12, 18, 32, 34, 6
INVAR-1, Run: 029, P, 0, 0, 0, 0, 15, 15, 0, 0, 1, 18, 0, 18, 42, 65, 9, 8, 0, 15, 6, 9, 57, 65, 12
INVAR-1, Run: 030, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1, 18, 12, 64, 9, 7, 1, 12, 11, 16, 24, 64, 7
INVAR-1, Run: 031, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 35, 52, 9, 6, 2, 14, 7, 10, 49, 52, 11
INVAR-1, Run: 032, P, 0, 1, 0, 0, 10, 10, 0, 0, 1, 46, 1, 18, 7, 107, 9, 6, 2, 10, 15, 22, 17, 107, 3
INVAR-1, Run: 033, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 20, 33, 9, 7, 1, 14, 7, 10, 34, 33, 11
INVAR-1, Run: 034, P, 0, 0, 0, 0, 15, 15, 0, 0, 1, 18, 0, 18, 22, 34, 9, 6, 2, 15, 6, 9, 37, 34, 12
INVAR-1, Run: 035, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1, 18, 18, 87, 9, 7, 1, 12, 11, 16, 30, 87, 7
INVAR-1, Run: 036, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1, 18, 76, 243, 9, 6, 2, 12, 11, 16, 88, 243, 7
INVAR-1, Run: 037, P, 0, 0, 0, 0, 15, 15, 0, 0, 1, 18, 0, 18, 2, 32, 9, 7, 1, 15, 6, 9, 17, 32, 12
INVAR-1, Run: 038, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0, 18, 36, 134, 9, 7, 1, 13, 10, 15, 49, 134, 8
INVAR-1, Run: 039, P, 0, 0, 0, 0, 15, 15, 0, 0, 1, 18, 0, 18, 31, 45, 9, 5, 3, 15, 6, 9, 46, 45, 12
INVAR-1, Run: 040, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 11, 61, 9, 8, 0, 14, 7, 10, 25, 61, 11
INVAR-1, Run: 041, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 18, 51, 9, 4, 4, 14, 7, 10, 32, 51, 11
INVAR-1, Run: 042, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0, 18, 17, 58, 9, 5, 3, 13, 10, 15, 30, 58, 8
INVAR-1, Run: 043, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0, 18, 14, 42, 9, 6, 2, 14, 8, 12, 28, 42, 10
INVAR-1, Run: 044, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0, 18, 29, 81, 9, 4, 4, 14, 8, 12, 43, 81, 10
INVAR-1, Run: 045, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 37, 52, 9, 6, 2, 14, 7, 10, 51, 52, 11
INVAR-1, Run: 046, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1, 18, 32, 70, 9, 5, 3, 14, 7, 10, 46, 70, 11
