Input Number, Run_Number, Result@ 100, Y, X2
In01, Run: 001, E, 85, 0
In01, Run: 002, E, 85, 0
In01, Run: 003, E, 80, 0
In01, Run: 004, E, 83, 0
In01, Run: 005, E, 53, 0
In01, Run: 006, E, 71, 0
In01, Run: 007, E, 73, 0
In01, Run: 008, E, 92, 0
In01, Run: 009, E, 67, 0
In01, Run: 010, E, 80, 0
In01, Run: 011, E, 82, 0
In01, Run: 012, E, 75, 0
In01, Run: 013, E, 86, 0
In01, Run: 014, E, 65, 0
In01, Run: 015, E, 56, 0
In01, Run: 016, E, 80, 0
In01, Run: 017, E, 80, 0
In01, Run: 018, E, 71, 0
In01, Run: 019, E, 63, 0
In01, Run: 020, E, 76, 0
In01, Run: 021, E, 66, 0
In01, Run: 022, E, 71, 0
In01, Run: 023, E, 92, 0
In01, Run: 024, E, 68, 0
In01, Run: 025, E, 79, 0
In01, Run: 026, E, 81, 0
In01, Run: 027, E, 82, 0
In01, Run: 028, E, 77, 0
In01, Run: 029, E, 86, 0
In01, Run: 030, E, 72, 0
In01, Run: 031, E, 68, 0
In01, Run: 032, E, 77, 0
In01, Run: 033, E, 68, 0
In01, Run: 034, E, 72, 0
In01, Run: 035, E, 63, 0
In01, Run: 036, E, 82, 0
In01, Run: 037, E, 80, 0
In01, Run: 038, E, 54, 0
In01, Run: 039, E, 63, 0
In01, Run: 040, E, 74, 0
In01, Run: 041, E, 70, 0
In01, Run: 042, E, 66, 0
In01, Run: 043, E, 65, 0
In01, Run: 044, E, 80, 0
In01, Run: 045, E, 74, 0
In01, Run: 046, E, 76, 0
In01, Run: 047, E, 89, 0
In01, Run: 048, E, 79, 0
In01, Run: 049, E, 90, 0
In01, Run: 050, E, 84, 0
In01, Run: 051, E, 87, 0
In01, Run: 052, E, 82, 0
In01, Run: 053, E, 69, 0
In01, Run: 054, E, 71, 0
In01, Run: 055, E, 50, 0
In01, Run: 056, E, 66, 0
In01, Run: 057, E, 59, 0
In01, Run: 058, E, 70, 0
