Input Number, Run_Number, Result@ 100, Y, X2
In02, Run: 064, E, 30, 0
In02, Run: 065, E, 36, 0
In02, Run: 066, E, 25, 0
In02, Run: 067, E, 47, 0
In02, Run: 068, E, 31, 0
In02, Run: 069, E, 29, 0
In02, Run: 070, E, 42, 0
In02, Run: 071, E, 20, 0
In02, Run: 072, E, 35, 0
In02, Run: 073, E, 34, 0
In02, Run: 074, E, 28, 0
In02, Run: 075, E, 53, 0
In02, Run: 076, E, 38, 0
In02, Run: 077, E, 46, 0
In02, Run: 078, E, 34, 0
In02, Run: 079, E, 17, 0
In02, Run: 080, E, 22, 0
In02, Run: 081, E, 34, 0
In02, Run: 082, E, 28, 0
In02, Run: 083, E, 26, 0
In02, Run: 084, E, 42, 0
In02, Run: 085, E, 25, 0
In02, Run: 086, E, 22, 0
In02, Run: 087, E, 40, 0
In02, Run: 088, E, 16, 0
In02, Run: 089, E, 18, 0
In02, Run: 090, E, 32, 0
In02, Run: 091, E, 33, 0
In02, Run: 092, E, 14, 0
In02, Run: 093, E, 46, 0
In02, Run: 094, E, 36, 0
In02, Run: 095, E, 41, 0
In02, Run: 096, E, 36, 0
In02, Run: 097, E, 35, 0
In02, Run: 098, E, 15, 0
In02, Run: 099, E, 22, 0
In02, Run: 100, E, 38, 0
In03, Run: 001, E, 0, 30
In03, Run: 002, E, 0, 16
In03, Run: 003, E, 0, 31
In03, Run: 004, E, 1, 29
In03, Run: 005, E, 0, 17
In03, Run: 006, E, 1, 30
In03, Run: 007, E, 0, 20
In03, Run: 008, E, 0, 20
In03, Run: 009, E, 0, 19
In03, Run: 010, E, 0, 12
In03, Run: 011, E, 0, 38
In03, Run: 012, E, 0, 29
In03, Run: 013, E, 3, 0
In03, Run: 014, E, 0, 20
In03, Run: 015, E, 0, 25
In03, Run: 016, E, 0, 9
In03, Run: 017, E, 0, 7
In03, Run: 018, E, 0, 6
In03, Run: 019, E, 0, 32
In03, Run: 020, E, 0, 30
In03, Run: 021, E, 0, 20
In03, Run: 022, E, 0, 26
In03, Run: 023, E, 0, 8
In03, Run: 024, E, 0, 26
In03, Run: 025, E, 0, 35
In03, Run: 026, E, 0, 28
In03, Run: 027, E, 0, 9
In03, Run: 028, E, 0, 14
In03, Run: 029, E, 0, 3
In03, Run: 030, E, 0, 27
In03, Run: 031, E, 0, 21
In03, Run: 032, E, 0, 30
In03, Run: 033, E, 4, 0
In03, Run: 034, E, 0, 20
In03, Run: 035, E, 0, 21
In03, Run: 036, E, 0, 40
In03, Run: 037, E, 0, 5
In03, Run: 038, E, 0, 18
In03, Run: 039, E, 0, 15
In03, Run: 040, E, 0, 23
In03, Run: 041, E, 0, 37
In03, Run: 042, E, 0, 16
In03, Run: 043, E, 0, 28
In03, Run: 044, E, 0, 33
In03, Run: 045, E, 0, 17
In03, Run: 046, E, 0, 25
In03, Run: 047, E, 0, 26
In03, Run: 048, E, 0, 19
In03, Run: 049, E, 0, 25
In03, Run: 050, E, 0, 32
In03, Run: 051, E, 0, 28
In03, Run: 052, E, 0, 26
In03, Run: 053, E, 0, 25
In03, Run: 054, E, 0, 30
In03, Run: 055, E, 0, 6
In03, Run: 056, E, 0, 7
In03, Run: 057, E, 0, 9
In03, Run: 058, E, 0, 31
In03, Run: 059, E, 0, 12
In03, Run: 060, E, 0, 29
In03, Run: 061, E, 0, 25
In03, Run: 062, E, 0, 16
In03, Run: 063, E, 0, 16
In03, Run: 064, E, 0, 33
In03, Run: 065, E, 0, 22
In03, Run: 066, E, 0, 7
In03, Run: 067, E, 0, 32
In03, Run: 068, E, 0, 15
In03, Run: 069, E, 0, 19
In03, Run: 070, E, 0, 9
In03, Run: 071, E, 0, 12
In03, Run: 072, E, 0, 32
In03, Run: 073, E, 0, 28
In03, Run: 074, E, 1, 31
In03, Run: 075, E, 0, 27
In03, Run: 076, E, 0, 31
In03, Run: 077, E, 0, 34
In03, Run: 078, E, 0, 23
In03, Run: 079, E, 0, 28
In03, Run: 080, E, 0, 19
In03, Run: 081, E, 1, 12
In03, Run: 082, E, 0, 17
In03, Run: 083, E, 0, 20
In03, Run: 084, E, 0, 27
In03, Run: 085, E, 0, 15
In03, Run: 086, E, 0, 17
In03, Run: 087, E, 0, 15
In03, Run: 088, E, 0, 20
In03, Run: 089, E, 0, 13
In03, Run: 090, E, 0, 24
In03, Run: 091, E, 0, 25
In03, Run: 092, E, 2, 2
In03, Run: 093, E, 0, 34
In03, Run: 094, E, 1, 22
In03, Run: 095, E, 0, 25
In03, Run: 096, E, 0, 23
In03, Run: 097, E, 0, 11
In03, Run: 098, E, 0, 29
In03, Run: 099, E, 0, 34
In03, Run: 100, E, 1, 3
In04, Run: 001, E, 40, 0
In04, Run: 002, E, 41, 0
In04, Run: 003, E, 60, 0
In04, Run: 004, E, 53, 0
In04, Run: 005, E, 57, 0
In04, Run: 006, E, 54, 0
In04, Run: 007, E, 40, 0
In04, Run: 008, E, 53, 0
In04, Run: 009, E, 59, 0
In04, Run: 010, E, 53, 0
In04, Run: 011, E, 46, 0
In04, Run: 012, E, 60, 0
In04, Run: 013, E, 44, 0
In04, Run: 014, E, 31, 0
In04, Run: 015, E, 57, 0
In04, Run: 016, E, 58, 0
In04, Run: 017, E, 42, 0
In04, Run: 018, E, 51, 0
In04, Run: 019, E, 34, 0
In04, Run: 020, E, 52, 0
In04, Run: 021, E, 44, 0
In04, Run: 022, E, 47, 0
In04, Run: 023, E, 57, 0
In04, Run: 024, E, 56, 0
In04, Run: 025, E, 49, 0
In04, Run: 026, E, 39, 0
In04, Run: 027, E, 57, 0
In04, Run: 028, E, 60, 0
In04, Run: 029, E, 46, 0
In04, Run: 030, E, 57, 0
In04, Run: 031, E, 45, 0
In04, Run: 032, E, 53, 0
In04, Run: 033, E, 45, 0
In04, Run: 034, E, 47, 0
In04, Run: 035, E, 46, 0
In04, Run: 036, E, 68, 0
In04, Run: 037, E, 55, 0
In04, Run: 038, E, 70, 0
In04, Run: 039, E, 61, 0
In04, Run: 040, E, 67, 0
In04, Run: 041, E, 67, 0
In04, Run: 042, E, 44, 0
In04, Run: 043, E, 49, 0
In04, Run: 044, E, 66, 0
In04, Run: 045, E, 41, 0
In04, Run: 046, E, 40, 0
In04, Run: 047, E, 65, 0
In04, Run: 048, E, 34, 0
In04, Run: 049, E, 33, 0
In04, Run: 050, E, 57, 0
In04, Run: 051, E, 44, 0
In04, Run: 052, E, 65, 0
In04, Run: 053, E, 55, 0
In04, Run: 054, E, 54, 0
In04, Run: 055, E, 54, 0
In04, Run: 056, E, 48, 0
In04, Run: 057, E, 46, 0
In04, Run: 058, E, 62, 0
In04, Run: 059, E, 59, 0
In04, Run: 060, E, 43, 0
In04, Run: 061, E, 49, 0
In04, Run: 062, E, 49, 0
In04, Run: 063, E, 49, 0
In04, Run: 064, E, 61, 0
In04, Run: 065, E, 49, 0
In04, Run: 066, E, 50, 0
In04, Run: 067, E, 58, 0
In04, Run: 068, E, 43, 0
In04, Run: 069, E, 51, 0
In04, Run: 070, E, 63, 0
In04, Run: 071, E, 58, 0
In04, Run: 072, E, 61, 0
In04, Run: 073, E, 60, 0
In04, Run: 074, E, 38, 0
In04, Run: 075, E, 45, 0
In04, Run: 076, E, 51, 0
In04, Run: 077, E, 56, 0
In04, Run: 078, E, 57, 0
In04, Run: 079, E, 37, 0
In04, Run: 080, E, 59, 0
In04, Run: 081, E, 67, 0
In04, Run: 082, E, 52, 0
In04, Run: 083, E, 58, 0
In04, Run: 084, E, 27, 0
In04, Run: 085, E, 56, 0
In04, Run: 086, E, 54, 0
In04, Run: 087, E, 66, 0
In04, Run: 088, E, 60, 0
In04, Run: 089, E, 61, 0
In04, Run: 090, E, 48, 0
In04, Run: 091, E, 32, 0
In04, Run: 092, E, 60, 0
In04, Run: 093, E, 51, 0
In04, Run: 094, E, 38, 0
In04, Run: 095, E, 45, 0
In04, Run: 096, E, 43, 0
In04, Run: 097, E, 43, 0
In04, Run: 098, E, 61, 0
In04, Run: 099, E, 41, 0
In04, Run: 100, E, 54, 0
