Input Number, Run_Number, Result@ 100, Y, X2, Y*, X2*
In01, Run: 001, F, 85, 0
In01, Run: 002, F, 85, 0
In01, Run: 003, F, 80, 0
In01, Run: 004, F, 83, 0
In01, Run: 005, F, 53, 0
In01, Run: 006, F, 71, 0
In01, Run: 007, F, 73, 0
In01, Run: 008, F, 92, 0
In01, Run: 009, F, 67, 0
In01, Run: 010, F, 80, 0
In01, Run: 011, F, 82, 0
In01, Run: 012, F, 75, 0
In01, Run: 013, F, 86, 0
In01, Run: 014, F, 65, 0
In01, Run: 015, F, 56, 0
In01, Run: 016, F, 80, 0
In01, Run: 017, F, 80, 0
In01, Run: 018, F, 71, 0
In01, Run: 019, F, 63, 0
In01, Run: 020, F, 76, 0
In01, Run: 021, F, 66, 0
In01, Run: 022, F, 71, 0
In01, Run: 023, F, 92, 0
In01, Run: 024, F, 68, 0
In01, Run: 025, F, 79, 0
In01, Run: 026, F, 81, 0
In01, Run: 027, F, 82, 0
In01, Run: 028, F, 77, 0
In01, Run: 029, F, 86, 0
In01, Run: 030, F, 72, 0
In01, Run: 031, F, 68, 0
In01, Run: 032, F, 77, 0
In01, Run: 033, F, 68, 0
In01, Run: 034, F, 72, 0
In01, Run: 035, F, 63, 0
In01, Run: 036, F, 82, 0
In01, Run: 037, F, 80, 0
In01, Run: 038, F, 54, 0
In01, Run: 039, F, 63, 0
In01, Run: 040, F, 74, 0
In01, Run: 041, F, 70, 0
In01, Run: 042, F, 66, 0
In01, Run: 043, F, 65, 0
In01, Run: 044, F, 80, 0
In01, Run: 045, F, 74, 0
In01, Run: 046, F, 76, 0
In01, Run: 047, F, 89, 0
In01, Run: 048, F, 79, 0
In01, Run: 049, F, 90, 0
In01, Run: 050, F, 84, 0
In01, Run: 051, F, 87, 0
In01, Run: 052, F, 82, 0
In01, Run: 053, F, 69, 0
In01, Run: 054, F, 71, 0
In01, Run: 055, F, 50, 0
In01, Run: 056, F, 66, 0
In01, Run: 057, F, 59, 0
In01, Run: 058, F, 70, 0
In01, Run: 059, F, 66, 0
In01, Run: 060, F, 72, 0
In01, Run: 061, F, 74, 0
In01, Run: 062, F, 89, 0
In01, Run: 063, F, 88, 0
In01, Run: 064, F, 82, 0
In01, Run: 065, F, 87, 0
In01, Run: 066, F, 82, 0
In01, Run: 067, F, 55, 0
In01, Run: 068, F, 81, 0
In01, Run: 069, F, 79, 0
In01, Run: 070, F, 65, 0
In01, Run: 071, F, 78, 0
In01, Run: 072, F, 64, 0
In01, Run: 073, F, 76, 0
In01, Run: 074, F, 94, 0
In01, Run: 075, F, 71, 0
In01, Run: 076, F, 78, 0
In01, Run: 077, F, 90, 0
In01, Run: 078, F, 84, 0
In01, Run: 079, F, 81, 0
In01, Run: 080, F, 78, 0
In01, Run: 081, F, 74, 0
In01, Run: 082, F, 92, 0
In01, Run: 083, F, 79, 0
In01, Run: 084, F, 75, 0
In01, Run: 085, F, 90, 0
In01, Run: 086, F, 86, 0
In01, Run: 087, F, 69, 0
In01, Run: 088, F, 59, 0
In01, Run: 089, F, 91, 0
In01, Run: 090, F, 94, 0
In01, Run: 091, F, 90, 0
In01, Run: 092, F, 64, 0
In01, Run: 093, F, 63, 0
In01, Run: 094, F, 69, 0
In01, Run: 095, F, 84, 0
In01, Run: 096, F, 82, 0
In01, Run: 097, F, 68, 0
In01, Run: 098, F, 69, 0
In01, Run: 099, F, 74, 0
In01, Run: 100, F, 81, 0
In02, Run: 001, F, 35, 0
In02, Run: 002, F, 40, 0
In02, Run: 003, F, 27, 0
In02, Run: 004, F, 56, 0
In02, Run: 005, F, 31, 0
In02, Run: 006, F, 48, 0
In02, Run: 007, F, 42, 0
In02, Run: 008, F, 35, 0
In02, Run: 009, F, 40, 0
In02, Run: 010, F, 50, 0
In02, Run: 011, F, 37, 0
In02, Run: 012, F, 36, 0
In02, Run: 013, F, 34, 0
In02, Run: 014, F, 48, 0
In02, Run: 015, F, 41, 0
In02, Run: 016, F, 30, 0
In02, Run: 017, F, 34, 0
In02, Run: 018, F, 43, 0
In02, Run: 019, F, 38, 0
In02, Run: 020, F, 48, 0
In02, Run: 021, F, 48, 0
In02, Run: 022, F, 35, 0
In02, Run: 023, F, 41, 0
In02, Run: 024, F, 30, 0
In02, Run: 025, F, 19, 0
In02, Run: 026, F, 41, 0
In02, Run: 027, F, 49, 0
In02, Run: 028, F, 34, 0
In02, Run: 029, F, 34, 0
In02, Run: 030, F, 40, 0
In02, Run: 031, F, 28, 0
In02, Run: 032, F, 31, 0
In02, Run: 033, F, 39, 0
In02, Run: 034, F, 30, 0
In02, Run: 035, F, 60, 0
In02, Run: 036, F, 42, 0
In02, Run: 037, F, 43, 0
In02, Run: 038, F, 44, 0
In02, Run: 039, F, 30, 0
In02, Run: 040, F, 42, 0
In02, Run: 041, F, 26, 0
In02, Run: 042, F, 24, 0
In02, Run: 043, F, 39, 0
In02, Run: 044, F, 61, 0
In02, Run: 045, F, 23, 0
In02, Run: 046, F, 46, 0
In02, Run: 047, F, 60, 0
In02, Run: 048, F, 37, 0
In02, Run: 049, F, 42, 0
In02, Run: 050, F, 39, 0
In02, Run: 051, F, 38, 0
In02, Run: 052, F, 52, 0
In02, Run: 053, F, 41, 0
In02, Run: 054, F, 27, 0
In02, Run: 055, F, 55, 0
In02, Run: 056, F, 36, 0
In02, Run: 057, F, 33, 0
In02, Run: 058, F, 37, 0
In02, Run: 059, F, 39, 0
In02, Run: 060, F, 44, 0
In02, Run: 061, F, 37, 0
In02, Run: 062, F, 55, 0
