Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
ASE3,In35,100,0,100,0,0,100
ASE3,In36,100,0,100,0,0,100
ASE3,In37,100,0,100,0,0,100
ASE3,In38,100,0,100,0,0,100
ASE3,In39,100,0,100,0,0,100
ASE3,In40,100,0,100,0,0,100
ASE3,In41,100,0,100,0,0,100
ASE3,In42,100,0,100,0,0,100
ASE3,In43,100,0,100,0,0,100
ASE4,In01,100,0,100,0,0,100
ASE4,In02,100,0,100,0,0,100
ASE4,In03,100,0,100,0,0,100
ASE4,In04,100,0,100,0,0,100
ASE4,In05,100,0,100,0,0,100
ASE4,In06,100,0,100,0,0,100
ASE4,In07,100,0,100,0,0,100
ASE4,In08,100,0,100,0,0,100
ASE4,In09,100,0,100,0,0,100
ASE4,In10,100,0,100,0,0,100
ASE4,In11,100,0,100,0,0,100
ASE4,In12,100,0,100,0,0,100
ASE4,In13,100,0,100,0,0,100
ASE4,In14,100,0,100,0,0,100
ASE4,In15,100,0,100,0,0,100
ASE4,In17,100,0,100,0,0,100
ASE4,In19,100,0,100,0,0,100
ASE4,In20,100,0,100,0,0,100
ASE4,In21,100,0,100,0,0,100
ASE4,In22,100,0,100,0,0,100
ASE4,In23,100,0,100,0,0,100
ASE4,In24,100,0,100,0,0,100
ASE4,In25,100,0,100,0,0,100
ASE4,In26,100,0,100,0,0,100
ASE4,In27,100,0,100,0,0,100
ASE4,In28,100,0,100,0,0,100
ASE4,In29,100,0,100,0,0,100
ASE4,In30,100,0,100,0,0,100
ASE4,In32,100,0,100,0,0,100
ASE4,In33,100,0,100,0,0,100
ASE4,In34,100,0,100,0,0,100
ASE4,In35,100,0,100,0,0,100
ASE4,In36,100,0,100,0,0,100
ASE4,In37,100,0,100,0,0,100
ASE4,In38,100,0,100,0,0,100
ASE4,In39,100,0,100,0,0,100
ASE4,In40,100,0,100,0,0,100
ASE4,In41,100,0,100,0,0,100
ASE4,In42,100,0,100,0,0,100
ASE4,In43,100,0,100,0,0,100
ASE5,In01,100,49,0,0,0,49
ASE5,In02,100,52,0,0,0,52
ASE5,In03,100,85,0,0,0,85
ASE5,In04,100,53,0,0,0,53
ASE5,In05,100,42,0,0,0,42
ASE5,In06,100,98,0,0,0,98
ASE5,In07,100,47,0,0,0,47
ASE5,In08,100,46,0,0,0,46
ASE5,In09,100,54,0,0,0,54
ASE5,In10,100,48,0,0,0,48
ASE5,In11,100,46,0,0,0,46
ASE5,In12,100,93,0,0,0,93
ASE5,In13,100,50,0,0,0,50
ASE5,In14,100,53,0,0,0,53
ASE5,In15,100,99,0,0,0,99
ASE5,In17,100,47,0,0,0,47
ASE5,In19,100,64,0,0,0,64
ASE5,In20,100,47,0,0,0,47
ASE5,In21,100,61,0,0,0,61
ASE5,In22,100,49,0,0,0,49
ASE5,In23,100,52,0,0,0,52
ASE5,In24,100,97,0,0,0,97
ASE5,In25,100,48,0,0,0,48
ASE5,In26,100,55,0,0,0,55
ASE5,In27,100,53,0,0,0,53
ASE5,In28,100,47,0,0,0,47
ASE5,In29,100,58,0,0,0,58
ASE5,In30,100,53,0,0,0,53
ASE5,In32,100,49,0,0,0,49
ASE5,In33,100,51,0,0,0,51
ASE5,In34,100,52,0,0,0,52
ASE5,In35,100,55,0,0,0,55
ASE5,In36,100,48,0,0,0,48
ASE5,In37,100,100,0,0,0,100
ASE5,In38,100,49,0,0,0,49
ASE5,In39,100,53,0,0,0,53
ASE5,In40,100,93,0,0,0,93
ASE5,In41,100,44,0,0,0,44
ASE5,In42,100,45,0,0,0,45
ASE5,In43,100,51,0,0,0,51
ASE6,In01,100,50,0,0,0,50
ASE6,In02,100,41,0,0,0,41
ASE6,In03,100,85,0,0,0,85
ASE6,In04,100,53,0,0,0,53
ASE6,In05,100,44,0,0,0,44
ASE6,In06,100,98,0,0,0,98
ASE6,In07,100,45,0,0,0,45
ASE6,In08,100,56,0,0,0,56
ASE6,In09,100,54,0,0,0,54
ASE6,In10,100,54,0,0,0,54
ASE6,In11,100,58,0,0,0,58
ASE6,In12,100,98,0,0,0,98
ASE6,In13,100,57,0,0,0,57
ASE6,In14,100,60,0,0,0,60
ASE6,In15,100,97,0,0,0,97
ASE6,In17,100,57,0,0,0,57
ASE6,In19,100,46,0,0,0,46
