Input Number, Run_Number, Result@ 100, U, X1, X2, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, P, 0, 0, 16, 11, 12, 8, 14, 21
INVAR-1, Run: 002, P, 0, 18, 0, 10, 17, 17, 3, 13
INVAR-1, Run: 003, P, 0, 10, 0, 14, 18, 22, 4, 22
INVAR-1, Run: 004, P, 0, 6, 0, 16, 20, 18, 6, 20
INVAR-1, Run: 005, P, 0, 18, 0, 10, 17, 11, 3, 7
INVAR-1, Run: 006, P, 0, 0, 16, 11, 21, 12, 23, 25
INVAR-1, Run: 007, P, 0, 0, 18, 10, 13, 3, 17, 17
INVAR-1, Run: 008, P, 0, 0, 4, 17, 17, 13, 7, 20
INVAR-1, Run: 009, P, 0, 0, 10, 14, 13, 8, 9, 18
INVAR-1, Run: 010, P, 0, 22, 0, 8, 15, 14, 1, 8
INVAR-1, Run: 011, P, 0, 20, 0, 9, 14, 16, 0, 11
INVAR-1, Run: 012, P, 0, 6, 0, 16, 18, 13, 4, 15
INVAR-1, Run: 013, P, 0, 16, 0, 11, 17, 17, 3, 14
INVAR-1, Run: 014, P, 0, 0, 18, 10, 13, 14, 17, 28
INVAR-1, Run: 015, P, 0, 0, 16, 11, 16, 12, 18, 25
INVAR-1, Run: 016, P, 0, 0, 14, 12, 18, 13, 18, 25
INVAR-1, Run: 017, P, 0, 4, 0, 17, 21, 26, 7, 29
INVAR-1, Run: 018, P, 0, 16, 0, 11, 19, 21, 5, 18
INVAR-1, Run: 019, P, 0, 6, 0, 16, 22, 20, 8, 22
INVAR-1, Run: 020, P, 0, 0, 10, 14, 13, 10, 9, 20
INVAR-1, Run: 021, P, 0, 0, 20, 9, 13, 7, 19, 22
INVAR-1, Run: 022, P, 0, 4, 0, 17, 22, 17, 8, 20
INVAR-1, Run: 023, P, 0, 16, 0, 11, 16, 14, 2, 11
INVAR-1, Run: 024, P, 0, 20, 0, 9, 17, 14, 3, 9
INVAR-1, Run: 025, P, 0, 18, 0, 10, 17, 21, 3, 17
INVAR-1, Run: 026, P, 0, 0, 22, 8, 10, 1, 18, 17
INVAR-1, Run: 027, P, 0, 0, 26, 6, 10, 6, 22, 24
INVAR-1, Run: 028, P, 0, 6, 0, 16, 18, 21, 4, 23
INVAR-1, Run: 029, P, 0, 16, 0, 11, 17, 15, 3, 12
INVAR-1, Run: 030, P, 0, 16, 0, 11, 16, 12, 2, 9
INVAR-1, Run: 031, P, 0, 16, 0, 11, 16, 20, 2, 17
INVAR-1, Run: 032, P, 0, 0, 12, 13, 15, 12, 13, 23
INVAR-1, Run: 033, P, 0, 6, 0, 16, 16, 11, 2, 13
INVAR-1, Run: 034, P, 0, 0, 6, 16, 17, 10, 9, 18
