Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 90, 5, 5, 90, 9, 7, 1, 9, 9, 18, 304, 152
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 76, 1, 1, 76, 9, 6, 2, 9, 9, 18, 144, 72
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 74, 5, 5, 74, 9, 7, 1, 9, 9, 18, 308, 154
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 103, 5, 3, 103, 9, 5, 3, 8, 9, 18, 98, 49
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 51, 2, 2, 51, 9, 3, 5, 9, 9, 18, 164, 82
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 99, 8, 8, 99, 9, 3, 5, 9, 9, 18, 34, 17
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 77, 5, 5, 77, 9, 3, 5, 9, 9, 18, 176, 88
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 105, 5, 5, 105, 9, 5, 3, 9, 9, 18, 138, 69
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 97, 3, 3, 97, 9, 6, 2, 9, 9, 18, 54, 27
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 68, 4, 4, 68, 9, 6, 2, 9, 9, 18, 72, 36
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 76, 6, 6, 76, 9, 7, 1, 9, 9, 18, 112, 56
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 144, 7, 7, 144, 9, 4, 4, 9, 9, 18, 122, 61
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 108, 5, 3, 108, 9, 7, 1, 8, 9, 18, 76, 38
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 80, 4, 4, 80, 9, 6, 2, 9, 9, 18, 140, 70
