Input Number, Run_Number, Result@ 100, X, XP, Z, YP, Reaction1, Reaction2, Reaction3
INVAR-1, Run: 001, P, 0, 0, 97, 73, 24, 97, 24
INVAR-1, Run: 002, P, 0, 0, 100, 76, 24, 100, 24
INVAR-1, Run: 003, P, 0, 0, 102, 78, 24, 102, 24
INVAR-1, Run: 004, P, 0, 0, 84, 60, 24, 84, 24
INVAR-1, Run: 005, P, 0, 0, 107, 83, 24, 107, 24
INVAR-1, Run: 006, P, 0, 0, 101, 77, 24, 101, 24
INVAR-1, Run: 007, P, 0, 0, 113, 89, 24, 113, 24
INVAR-1, Run: 008, P, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 009, P, 0, 0, 100, 76, 24, 100, 24
INVAR-1, Run: 010, P, 0, 0, 97, 73, 24, 97, 24
INVAR-1, Run: 011, P, 0, 0, 113, 89, 24, 113, 24
INVAR-1, Run: 012, P, 0, 0, 78, 54, 24, 78, 24
INVAR-1, Run: 013, P, 0, 0, 102, 78, 24, 102, 24
INVAR-1, Run: 014, P, 0, 0, 102, 78, 24, 102, 24
INVAR-1, Run: 015, P, 0, 0, 109, 85, 24, 109, 24
INVAR-1, Run: 016, P, 0, 0, 97, 73, 24, 97, 24
INVAR-1, Run: 017, P, 0, 0, 83, 59, 24, 83, 24
INVAR-1, Run: 018, P, 0, 0, 124, 100, 24, 124, 24
INVAR-1, Run: 019, P, 0, 0, 90, 66, 24, 90, 24
INVAR-1, Run: 020, P, 0, 0, 94, 70, 24, 94, 24
INVAR-1, Run: 021, P, 0, 0, 117, 93, 24, 117, 24
INVAR-1, Run: 022, P, 0, 0, 100, 76, 24, 100, 24
INVAR-1, Run: 023, P, 0, 0, 95, 71, 24, 95, 24
INVAR-1, Run: 024, P, 0, 0, 108, 84, 24, 108, 24
INVAR-1, Run: 025, P, 0, 0, 115, 91, 24, 115, 24
INVAR-1, Run: 026, P, 0, 0, 103, 79, 24, 103, 24
INVAR-1, Run: 027, P, 0, 0, 93, 69, 24, 93, 24
INVAR-1, Run: 028, P, 0, 0, 102, 78, 24, 102, 24
INVAR-1, Run: 029, P, 0, 0, 106, 82, 24, 106, 24
INVAR-1, Run: 030, P, 0, 0, 107, 83, 24, 107, 24
INVAR-1, Run: 031, P, 0, 0, 110, 86, 24, 110, 24
INVAR-1, Run: 032, P, 0, 0, 103, 79, 24, 103, 24
INVAR-1, Run: 033, P, 0, 0, 88, 64, 24, 88, 24
INVAR-1, Run: 034, P, 0, 0, 76, 52, 24, 76, 24
INVAR-1, Run: 035, P, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 036, P, 0, 0, 93, 69, 24, 93, 24
INVAR-1, Run: 037, P, 0, 0, 109, 85, 24, 109, 24
INVAR-1, Run: 038, P, 0, 0, 119, 95, 24, 119, 24
INVAR-1, Run: 039, P, 0, 0, 87, 63, 24, 87, 24
INVAR-1, Run: 040, P, 0, 0, 89, 65, 24, 89, 24
INVAR-1, Run: 041, P, 0, 0, 96, 72, 24, 96, 24
INVAR-1, Run: 042, P, 0, 0, 103, 79, 24, 103, 24
INVAR-1, Run: 043, P, 0, 0, 92, 68, 24, 92, 24
INVAR-1, Run: 044, P, 0, 0, 95, 71, 24, 95, 24
INVAR-1, Run: 045, P, 0, 0, 108, 84, 24, 108, 24
INVAR-1, Run: 046, P, 0, 0, 111, 87, 24, 111, 24
INVAR-1, Run: 047, P, 0, 0, 88, 64, 24, 88, 24
INVAR-1, Run: 048, P, 0, 0, 106, 82, 24, 106, 24
INVAR-1, Run: 049, P, 0, 0, 106, 82, 24, 106, 24
INVAR-1, Run: 050, P, 0, 0, 89, 65, 24, 89, 24
INVAR-1, Run: 051, P, 0, 0, 90, 66, 24, 90, 24
INVAR-1, Run: 052, P, 0, 0, 92, 68, 24, 92, 24
INVAR-1, Run: 053, P, 0, 0, 84, 60, 24, 84, 24
INVAR-1, Run: 054, P, 0, 0, 103, 79, 24, 103, 24
INVAR-1, Run: 055, P, 0, 0, 83, 59, 24, 83, 24
INVAR-1, Run: 056, P, 0, 0, 102, 78, 24, 102, 24
INVAR-1, Run: 057, P, 0, 0, 115, 91, 24, 115, 24
INVAR-1, Run: 058, P, 0, 0, 94, 70, 24, 94, 24
INVAR-1, Run: 059, P, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 060, P, 0, 0, 107, 83, 24, 107, 24
INVAR-1, Run: 061, P, 0, 0, 114, 90, 24, 114, 24
INVAR-1, Run: 062, P, 0, 0, 111, 87, 24, 111, 24
INVAR-1, Run: 063, P, 0, 0, 103, 79, 24, 103, 24
INVAR-1, Run: 064, P, 0, 0, 116, 92, 24, 116, 24
INVAR-1, Run: 065, P, 0, 0, 120, 96, 24, 120, 24
INVAR-1, Run: 066, P, 0, 0, 110, 86, 24, 110, 24
INVAR-1, Run: 067, P, 0, 0, 94, 70, 24, 94, 24
INVAR-1, Run: 068, P, 0, 0, 95, 71, 24, 95, 24
INVAR-1, Run: 069, P, 0, 0, 85, 61, 24, 85, 24
