Input Number, Run_Number, Result@ 100, F1P, A1, F1, A2, F2, F2P, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, P, 0, 22, 0, 34, 0, 0, 5, 2, 4, 1, 4, 1, 5
INVAR-1, Run: 002, P, 0, 21, 0, 33, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-1, Run: 003, P, 0, 20, 0, 33, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-1, Run: 004, P, 0, 20, 0, 33, 0, 0, 5, 0, 4, 1, 5, 0, 5
INVAR-1, Run: 005, P, 0, 21, 0, 33, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-1, Run: 006, P, 0, 19, 0, 33, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-1, Run: 007, P, 0, 23, 0, 33, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-1, Run: 008, P, 0, 19, 0, 33, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-1, Run: 009, P, 0, 22, 0, 33, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-1, Run: 010, P, 0, 19, 0, 33, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-1, Run: 011, P, 0, 21, 0, 34, 0, 0, 5, 1, 4, 1, 4, 1, 5
INVAR-1, Run: 012, P, 0, 20, 0, 33, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-1, Run: 013, P, 0, 21, 0, 34, 0, 0, 5, 2, 5, 0, 4, 1, 5
INVAR-1, Run: 014, P, 0, 22, 0, 34, 0, 0, 5, 3, 5, 0, 4, 1, 5
INVAR-1, Run: 015, P, 0, 20, 0, 33, 0, 0, 5, 0, 4, 1, 5, 0, 5
INVAR-1, Run: 016, P, 0, 23, 0, 33, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-1, Run: 017, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 018, P, 0, 19, 0, 33, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-1, Run: 019, P, 0, 21, 0, 34, 0, 0, 5, 2, 5, 0, 4, 1, 5
INVAR-1, Run: 020, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 021, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 022, P, 0, 22, 0, 33, 0, 0, 5, 1, 3, 2, 5, 0, 5
INVAR-1, Run: 023, P, 0, 20, 0, 33, 0, 0, 5, 0, 4, 1, 5, 0, 5
INVAR-1, Run: 024, P, 0, 19, 0, 34, 0, 0, 5, 0, 5, 0, 4, 1, 5
INVAR-1, Run: 025, P, 0, 21, 0, 34, 0, 0, 5, 1, 4, 1, 4, 1, 5
INVAR-1, Run: 026, P, 0, 27, 0, 33, 0, 0, 5, 7, 4, 1, 5, 0, 5
INVAR-1, Run: 027, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 028, P, 0, 21, 0, 33, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-1, Run: 029, P, 0, 25, 0, 33, 0, 0, 5, 6, 5, 0, 5, 0, 5
INVAR-1, Run: 030, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 031, P, 0, 19, 0, 33, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-1, Run: 032, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 033, P, 0, 25, 0, 33, 0, 0, 5, 4, 3, 2, 5, 0, 5
INVAR-1, Run: 034, P, 0, 23, 0, 33, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-1, Run: 035, P, 0, 20, 0, 33, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-1, Run: 036, P, 0, 20, 0, 34, 0, 0, 5, 1, 5, 0, 4, 1, 5
INVAR-1, Run: 037, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 038, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 039, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 040, P, 0, 24, 0, 33, 0, 0, 5, 4, 4, 1, 5, 0, 5
INVAR-1, Run: 041, P, 0, 26, 0, 34, 0, 0, 5, 6, 4, 1, 4, 1, 5
INVAR-1, Run: 042, P, 0, 22, 0, 33, 0, 0, 5, 2, 4, 1, 5, 0, 5
INVAR-1, Run: 043, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 044, P, 0, 23, 0, 33, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-1, Run: 045, P, 0, 24, 0, 34, 0, 0, 5, 4, 4, 1, 4, 1, 5
INVAR-1, Run: 046, P, 0, 20, 0, 33, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-1, Run: 047, P, 0, 20, 0, 34, 0, 0, 5, 1, 5, 0, 4, 1, 5
INVAR-1, Run: 048, P, 0, 23, 0, 33, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-1, Run: 049, P, 0, 23, 0, 33, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-1, Run: 050, P, 0, 22, 0, 33, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-1, Run: 051, P, 0, 23, 0, 34, 0, 0, 5, 3, 4, 1, 4, 1, 5
INVAR-1, Run: 052, P, 0, 20, 0, 33, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-1, Run: 053, P, 0, 26, 0, 33, 0, 0, 5, 7, 5, 0, 5, 0, 5
INVAR-1, Run: 054, P, 0, 22, 0, 33, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-1, Run: 055, P, 0, 23, 0, 33, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-1, Run: 056, P, 0, 20, 0, 33, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-1, Run: 057, P, 0, 21, 0, 33, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-1, Run: 058, P, 0, 22, 0, 33, 0, 0, 5, 2, 4, 1, 5, 0, 5
INVAR-1, Run: 059, P, 0, 22, 0, 33, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-1, Run: 060, P, 0, 25, 0, 33, 0, 0, 5, 6, 5, 0, 5, 0, 5
