Input Number, Run_Number, Result@ 100, F1P, A1, F1, A2, F2, F2P, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 061, P, 0, 22, 0, 33, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-1, Run: 062, P, 0, 29, 0, 33, 0, 0, 5, 8, 3, 2, 5, 0, 5
INVAR-1, Run: 063, P, 0, 20, 0, 33, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-1, Run: 064, P, 0, 22, 0, 33, 0, 0, 5, 0, 2, 3, 5, 0, 5
INVAR-1, Run: 065, P, 0, 20, 0, 33, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-1, Run: 066, P, 0, 23, 0, 33, 0, 0, 5, 3, 4, 1, 5, 0, 5
INVAR-1, Run: 067, P, 0, 23, 0, 34, 0, 0, 5, 4, 5, 0, 4, 1, 5
INVAR-1, Run: 068, P, 0, 24, 0, 33, 0, 0, 5, 5, 5, 0, 5, 0, 5
INVAR-1, Run: 069, P, 0, 24, 0, 33, 0, 0, 5, 4, 4, 1, 5, 0, 5
INVAR-1, Run: 070, P, 0, 22, 0, 33, 0, 0, 5, 2, 4, 1, 5, 0, 5
INVAR-1, Run: 071, P, 0, 25, 0, 34, 0, 0, 5, 6, 5, 0, 4, 1, 5
INVAR-1, Run: 072, P, 0, 22, 0, 33, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-1, Run: 073, P, 0, 24, 0, 34, 0, 0, 5, 4, 4, 1, 4, 1, 5
INVAR-1, Run: 074, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 075, P, 0, 22, 0, 33, 0, 0, 5, 2, 4, 1, 5, 0, 5
INVAR-1, Run: 076, P, 0, 25, 0, 33, 0, 0, 5, 5, 4, 1, 5, 0, 5
INVAR-1, Run: 077, P, 0, 23, 0, 33, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-1, Run: 078, P, 0, 19, 0, 33, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-1, Run: 079, P, 0, 21, 0, 33, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-1, Run: 080, P, 0, 22, 0, 33, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-1, Run: 081, P, 0, 20, 0, 33, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-1, Run: 082, P, 0, 22, 0, 34, 0, 0, 5, 2, 4, 1, 4, 1, 5
INVAR-1, Run: 083, P, 0, 19, 0, 34, 0, 0, 5, 0, 5, 0, 4, 1, 5
INVAR-1, Run: 084, P, 0, 22, 0, 34, 0, 0, 5, 3, 5, 0, 4, 1, 5
INVAR-1, Run: 085, P, 0, 23, 0, 33, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-1, Run: 086, P, 0, 19, 0, 33, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-1, Run: 087, P, 0, 22, 0, 33, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-1, Run: 088, P, 0, 23, 0, 33, 0, 0, 5, 2, 3, 2, 5, 0, 5
INVAR-1, Run: 089, P, 0, 22, 0, 33, 0, 0, 5, 2, 4, 1, 5, 0, 5
INVAR-1, Run: 090, P, 0, 20, 0, 34, 0, 0, 5, 0, 4, 1, 4, 1, 5
INVAR-1, Run: 091, P, 0, 22, 0, 34, 0, 0, 5, 2, 4, 1, 4, 1, 5
INVAR-1, Run: 092, P, 0, 23, 0, 34, 0, 0, 5, 3, 4, 1, 4, 1, 5
INVAR-1, Run: 093, P, 0, 20, 0, 33, 0, 0, 5, 0, 4, 1, 5, 0, 5
INVAR-1, Run: 094, P, 0, 25, 0, 33, 0, 0, 5, 6, 5, 0, 5, 0, 5
INVAR-1, Run: 095, P, 0, 19, 0, 33, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-1, Run: 096, P, 0, 28, 0, 33, 0, 0, 5, 8, 4, 1, 5, 0, 5
INVAR-1, Run: 097, P, 0, 26, 0, 34, 0, 0, 5, 7, 5, 0, 4, 1, 5
INVAR-1, Run: 098, P, 0, 21, 0, 33, 0, 0, 5, 0, 3, 2, 5, 0, 5
INVAR-1, Run: 099, P, 0, 24, 0, 33, 0, 0, 5, 4, 4, 1, 5, 0, 5
INVAR-1, Run: 100, P, 0, 21, 0, 33, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-10, Run: 001, P, 0, 4, 0, 13, 0, 0, 5, 3, 4, 1, 5, 0, 5
INVAR-10, Run: 002, P, 0, 4, 0, 13, 0, 0, 5, 2, 3, 2, 5, 0, 5
INVAR-10, Run: 003, P, 0, 3, 0, 13, 0, 0, 5, 1, 3, 2, 5, 0, 5
INVAR-10, Run: 004, P, 0, 2, 0, 14, 0, 0, 5, 1, 4, 1, 4, 1, 5
INVAR-10, Run: 005, P, 0, 5, 0, 13, 0, 0, 5, 3, 3, 2, 5, 0, 5
INVAR-10, Run: 006, P, 0, 3, 0, 13, 0, 0, 5, 2, 4, 1, 5, 0, 5
INVAR-10, Run: 007, P, 0, 3, 0, 14, 0, 0, 5, 1, 3, 2, 4, 1, 5
INVAR-10, Run: 008, P, 0, 5, 0, 13, 0, 0, 5, 2, 2, 3, 5, 0, 5
INVAR-10, Run: 009, P, 0, 1, 0, 13, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-10, Run: 010, P, 0, 5, 0, 13, 0, 0, 5, 4, 4, 1, 5, 0, 5
INVAR-10, Run: 011, P, 0, 5, 0, 13, 0, 0, 5, 5, 5, 0, 5, 0, 5
INVAR-10, Run: 012, P, 0, 3, 0, 14, 0, 0, 5, 2, 4, 1, 4, 1, 5
INVAR-10, Run: 013, P, 0, 3, 0, 14, 0, 0, 5, 2, 4, 1, 4, 1, 5
INVAR-10, Run: 014, P, 0, 3, 0, 13, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-10, Run: 015, P, 0, 1, 0, 15, 0, 0, 5, 1, 5, 0, 3, 2, 5
INVAR-10, Run: 016, P, 0, 1, 0, 14, 0, 0, 5, 1, 5, 0, 4, 1, 5
INVAR-10, Run: 017, P, 0, 5, 0, 14, 0, 0, 5, 3, 3, 2, 4, 1, 5
INVAR-10, Run: 018, P, 0, 1, 0, 13, 0, 0, 5, 0, 4, 1, 5, 0, 5
INVAR-10, Run: 019, P, 0, 6, 0, 13, 0, 0, 5, 4, 3, 2, 5, 0, 5
INVAR-10, Run: 020, P, 0, 6, 0, 16, 0, 0, 5, 5, 4, 1, 2, 3, 5
INVAR-10, Run: 021, P, 0, 4, 0, 13, 0, 0, 5, 2, 3, 2, 5, 0, 5
INVAR-10, Run: 022, P, 0, 2, 0, 14, 0, 0, 5, 1, 4, 1, 4, 1, 5
INVAR-10, Run: 023, P, 0, 2, 0, 13, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-10, Run: 024, P, 0, 2, 0, 13, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-10, Run: 025, P, 0, 9, 0, 14, 0, 0, 5, 7, 3, 2, 4, 1, 5
INVAR-10, Run: 026, P, 0, 3, 0, 14, 0, 0, 5, 1, 3, 2, 4, 1, 5
INVAR-10, Run: 027, P, 0, 5, 0, 14, 0, 0, 5, 3, 3, 2, 4, 1, 5
INVAR-10, Run: 028, P, 0, 2, 0, 14, 0, 0, 5, 1, 4, 1, 4, 1, 5
INVAR-10, Run: 029, P, 0, 0, 0, 13, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-10, Run: 030, P, 0, 7, 0, 14, 0, 0, 5, 5, 3, 2, 4, 1, 5
INVAR-10, Run: 031, P, 0, 6, 0, 13, 0, 0, 5, 4, 3, 2, 5, 0, 5
INVAR-10, Run: 032, P, 0, 2, 0, 13, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-10, Run: 033, P, 0, 3, 0, 14, 0, 0, 5, 2, 4, 1, 4, 1, 5
INVAR-10, Run: 034, P, 0, 4, 0, 14, 0, 0, 5, 3, 4, 1, 4, 1, 5
INVAR-10, Run: 035, P, 0, 8, 0, 14, 0, 0, 5, 7, 4, 1, 4, 1, 5
INVAR-10, Run: 036, P, 0, 4, 0, 13, 0, 0, 5, 2, 3, 2, 5, 0, 5
INVAR-10, Run: 037, P, 0, 2, 0, 16, 0, 0, 5, 2, 5, 0, 2, 3, 5
INVAR-10, Run: 038, P, 0, 2, 0, 13, 0, 0, 5, 0, 3, 2, 5, 0, 5
INVAR-10, Run: 039, P, 0, 7, 0, 14, 0, 0, 5, 6, 4, 1, 4, 1, 5
INVAR-10, Run: 040, P, 0, 3, 0, 13, 0, 0, 5, 1, 3, 2, 5, 0, 5
INVAR-10, Run: 041, P, 0, 1, 0, 13, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-10, Run: 042, P, 0, 6, 0, 13, 0, 0, 5, 4, 3, 2, 5, 0, 5
INVAR-10, Run: 043, P, 0, 3, 0, 13, 0, 0, 5, 2, 4, 1, 5, 0, 5
INVAR-10, Run: 044, P, 0, 2, 0, 15, 0, 0, 5, 1, 4, 1, 3, 2, 5
INVAR-10, Run: 045, P, 0, 6, 0, 13, 0, 0, 5, 4, 3, 2, 5, 0, 5
INVAR-10, Run: 046, P, 0, 1, 0, 14, 0, 0, 5, 1, 5, 0, 4, 1, 5
INVAR-10, Run: 047, P, 0, 6, 0, 13, 0, 0, 5, 5, 4, 1, 5, 0, 5
INVAR-10, Run: 048, P, 0, 4, 0, 15, 0, 0, 5, 4, 5, 0, 3, 2, 5
INVAR-10, Run: 049, P, 0, 2, 0, 13, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-10, Run: 050, P, 0, 2, 0, 13, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-10, Run: 051, P, 0, 4, 0, 13, 0, 0, 5, 2, 3, 2, 5, 0, 5
INVAR-10, Run: 052, P, 0, 5, 0, 15, 0, 0, 5, 2, 2, 3, 3, 2, 5
INVAR-10, Run: 053, P, 0, 2, 0, 13, 0, 0, 5, 0, 3, 2, 5, 0, 5
INVAR-10, Run: 054, P, 0, 3, 0, 15, 0, 0, 5, 2, 4, 1, 3, 2, 5
INVAR-10, Run: 055, P, 0, 10, 0, 13, 0, 0, 5, 6, 1, 4, 5, 0, 5
INVAR-10, Run: 056, P, 0, 3, 0, 13, 0, 0, 5, 2, 4, 1, 5, 0, 5
INVAR-10, Run: 057, P, 0, 2, 0, 13, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-10, Run: 058, P, 0, 2, 0, 13, 0, 0, 5, 0, 3, 2, 5, 0, 5
INVAR-10, Run: 059, P, 0, 1, 0, 14, 0, 0, 5, 0, 4, 1, 4, 1, 5
INVAR-10, Run: 060, P, 0, 2, 0, 13, 0, 0, 5, 0, 3, 2, 5, 0, 5
INVAR-10, Run: 061, P, 0, 4, 0, 13, 0, 0, 5, 3, 4, 1, 5, 0, 5
INVAR-10, Run: 062, P, 0, 3, 0, 13, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-10, Run: 063, P, 0, 4, 0, 13, 0, 0, 5, 3, 4, 1, 5, 0, 5
INVAR-10, Run: 064, P, 0, 1, 0, 13, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-10, Run: 065, P, 0, 5, 0, 14, 0, 0, 5, 3, 3, 2, 4, 1, 5
INVAR-10, Run: 066, P, 0, 3, 0, 14, 0, 0, 5, 2, 4, 1, 4, 1, 5
INVAR-10, Run: 067, P, 0, 4, 0, 13, 0, 0, 5, 1, 2, 3, 5, 0, 5
INVAR-10, Run: 068, P, 0, 2, 0, 13, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-10, Run: 069, P, 0, 2, 0, 14, 0, 0, 5, 1, 4, 1, 4, 1, 5
INVAR-10, Run: 070, P, 0, 5, 0, 13, 0, 0, 5, 4, 4, 1, 5, 0, 5
INVAR-10, Run: 071, P, 0, 3, 0, 13, 0, 0, 5, 1, 3, 2, 5, 0, 5
INVAR-10, Run: 072, P, 0, 2, 0, 13, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-10, Run: 073, P, 0, 3, 0, 14, 0, 0, 5, 3, 5, 0, 4, 1, 5
INVAR-10, Run: 074, P, 0, 4, 0, 13, 0, 0, 5, 3, 4, 1, 5, 0, 5
INVAR-10, Run: 075, P, 0, 2, 0, 14, 0, 0, 5, 0, 3, 2, 4, 1, 5
INVAR-10, Run: 076, P, 0, 6, 0, 13, 0, 0, 5, 5, 4, 1, 5, 0, 5
INVAR-10, Run: 077, P, 0, 6, 0, 13, 0, 0, 5, 4, 3, 2, 5, 0, 5
INVAR-10, Run: 078, P, 0, 3, 0, 14, 0, 0, 5, 2, 4, 1, 4, 1, 5
INVAR-10, Run: 079, P, 0, 2, 0, 13, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-10, Run: 080, P, 0, 5, 0, 13, 0, 0, 5, 3, 3, 2, 5, 0, 5
INVAR-10, Run: 081, P, 0, 5, 0, 14, 0, 0, 5, 3, 3, 2, 4, 1, 5
INVAR-10, Run: 082, P, 0, 2, 0, 13, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-10, Run: 083, P, 0, 5, 0, 14, 0, 0, 5, 3, 3, 2, 4, 1, 5
INVAR-10, Run: 084, P, 0, 7, 0, 15, 0, 0, 5, 5, 3, 2, 3, 2, 5
INVAR-10, Run: 085, P, 0, 2, 0, 15, 0, 0, 5, 1, 4, 1, 3, 2, 5
INVAR-10, Run: 086, P, 0, 6, 0, 13, 0, 0, 5, 4, 3, 2, 5, 0, 5
INVAR-10, Run: 087, P, 0, 5, 0, 14, 0, 0, 5, 4, 4, 1, 4, 1, 5
INVAR-10, Run: 088, P, 0, 0, 0, 13, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-10, Run: 089, P, 0, 4, 0, 13, 0, 0, 5, 2, 3, 2, 5, 0, 5
INVAR-10, Run: 090, P, 0, 4, 0, 13, 0, 0, 5, 2, 3, 2, 5, 0, 5
INVAR-10, Run: 091, P, 0, 6, 0, 14, 0, 0, 5, 5, 4, 1, 4, 1, 5
INVAR-10, Run: 092, P, 0, 6, 0, 14, 0, 0, 5, 3, 2, 3, 4, 1, 5
INVAR-10, Run: 093, P, 0, 0, 0, 13, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-10, Run: 094, P, 0, 2, 0, 14, 0, 0, 5, 1, 4, 1, 4, 1, 5
INVAR-10, Run: 095, P, 0, 3, 0, 13, 0, 0, 5, 1, 3, 2, 5, 0, 5
INVAR-10, Run: 096, P, 0, 7, 0, 13, 0, 0, 5, 6, 4, 1, 5, 0, 5
INVAR-10, Run: 097, P, 0, 1, 0, 13, 0, 0, 5, 0, 4, 1, 5, 0, 5
INVAR-10, Run: 098, P, 0, 6, 0, 13, 0, 0, 5, 4, 3, 2, 5, 0, 5
INVAR-10, Run: 099, P, 0, 4, 0, 15, 0, 0, 5, 3, 4, 1, 3, 2, 5
INVAR-10, Run: 100, P, 0, 4, 0, 13, 0, 0, 5, 2, 3, 2, 5, 0, 5
INVAR-11, Run: 001, P, 0, 92, 0, 81, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-11, Run: 002, P, 0, 95, 0, 82, 0, 0, 5, 7, 5, 0, 4, 1, 5
INVAR-11, Run: 003, P, 0, 90, 0, 81, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-11, Run: 004, P, 0, 92, 0, 81, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-11, Run: 005, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 006, P, 0, 90, 0, 81, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-11, Run: 007, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 008, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 009, P, 0, 89, 0, 81, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-11, Run: 010, P, 0, 90, 0, 81, 0, 0, 5, 1, 4, 1, 5, 0, 5
INVAR-11, Run: 011, P, 0, 89, 0, 81, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-11, Run: 012, P, 0, 89, 0, 81, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-11, Run: 013, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 014, P, 0, 89, 0, 81, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-11, Run: 015, P, 0, 89, 0, 81, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-11, Run: 016, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 017, P, 0, 95, 0, 81, 0, 0, 5, 6, 4, 1, 5, 0, 5
INVAR-11, Run: 018, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 019, P, 0, 90, 0, 81, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-11, Run: 020, P, 0, 89, 0, 81, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-11, Run: 021, P, 0, 95, 0, 81, 0, 0, 5, 7, 5, 0, 5, 0, 5
INVAR-11, Run: 022, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 023, P, 0, 92, 0, 81, 0, 0, 5, 4, 5, 0, 5, 0, 5
INVAR-11, Run: 024, P, 0, 89, 0, 82, 0, 0, 5, 1, 5, 0, 4, 1, 5
INVAR-11, Run: 025, P, 0, 92, 0, 82, 0, 0, 5, 4, 5, 0, 4, 1, 5
INVAR-11, Run: 026, P, 0, 90, 0, 81, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-11, Run: 027, P, 0, 92, 0, 81, 0, 0, 5, 3, 4, 1, 5, 0, 5
INVAR-11, Run: 028, P, 0, 89, 0, 81, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-11, Run: 029, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 030, P, 0, 90, 0, 82, 0, 0, 5, 1, 4, 1, 4, 1, 5
INVAR-11, Run: 031, P, 0, 91, 0, 81, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-11, Run: 032, P, 0, 91, 0, 81, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-11, Run: 033, P, 0, 91, 0, 82, 0, 0, 5, 3, 5, 0, 4, 1, 5
INVAR-11, Run: 034, P, 0, 94, 0, 81, 0, 0, 5, 6, 5, 0, 5, 0, 5
INVAR-11, Run: 035, P, 0, 95, 0, 81, 0, 0, 5, 7, 5, 0, 5, 0, 5
INVAR-11, Run: 036, P, 0, 98, 0, 81, 0, 0, 5, 10, 5, 0, 5, 0, 5
INVAR-11, Run: 037, P, 0, 89, 0, 81, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-11, Run: 038, P, 0, 90, 0, 81, 0, 0, 5, 2, 5, 0, 5, 0, 5
INVAR-11, Run: 039, P, 0, 89, 0, 81, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-11, Run: 040, P, 0, 95, 0, 81, 0, 0, 5, 7, 5, 0, 5, 0, 5
INVAR-11, Run: 041, P, 0, 91, 0, 81, 0, 0, 5, 2, 4, 1, 5, 0, 5
INVAR-11, Run: 042, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 043, P, 0, 91, 0, 81, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-11, Run: 044, P, 0, 91, 0, 81, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-11, Run: 045, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 046, P, 0, 94, 0, 81, 0, 0, 5, 6, 5, 0, 5, 0, 5
INVAR-11, Run: 047, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 048, P, 0, 93, 0, 81, 0, 0, 5, 5, 5, 0, 5, 0, 5
INVAR-11, Run: 049, P, 0, 89, 0, 81, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-11, Run: 050, P, 0, 93, 0, 82, 0, 0, 5, 5, 5, 0, 4, 1, 5
INVAR-11, Run: 051, P, 0, 89, 0, 81, 0, 0, 5, 1, 5, 0, 5, 0, 5
INVAR-11, Run: 052, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 053, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 054, P, 0, 91, 0, 81, 0, 0, 5, 3, 5, 0, 5, 0, 5
INVAR-11, Run: 055, P, 0, 88, 0, 81, 0, 0, 5, 0, 5, 0, 5, 0, 5
INVAR-11, Run: 056, P, 0, 92, 0, 81, 0, 0, 5, 3, 4, 1, 5, 0, 5
