Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 370, 1, 106, 18, 13, 186, 9, 6, 2, 9, 123, 184, 22, 186
INVAR-1, Run: 002, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0, 106, 18, 29, 210, 9, 5, 3, 9, 124, 186, 38, 210
INVAR-1, Run: 003, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 282, 0, 76, 18, 3, 67, 9, 5, 3, 9, 94, 141, 12, 67
INVAR-1, Run: 004, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 312, 0, 88, 18, 21, 119, 9, 2, 6, 9, 104, 156, 30, 119
INVAR-1, Run: 005, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1, 95, 18, 12, 132, 9, 8, 0, 9, 111, 166, 21, 132
INVAR-1, Run: 006, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 390, 0, 112, 18, 18, 77, 9, 4, 4, 9, 130, 195, 27, 77
INVAR-1, Run: 007, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 376, 1, 108, 18, 5, 30, 9, 4, 4, 9, 125, 187, 14, 30
INVAR-1, Run: 008, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 370, 1, 105, 18, 20, 73, 9, 8, 0, 9, 123, 184, 29, 73
INVAR-1, Run: 009, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 312, 0, 88, 18, 28, 208, 9, 5, 3, 9, 104, 156, 37, 208
INVAR-1, Run: 010, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0, 96, 18, 16, 132, 9, 8, 0, 9, 112, 168, 25, 132
INVAR-1, Run: 011, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 400, 1, 116, 18, 26, 155, 9, 5, 3, 9, 133, 199, 35, 155
INVAR-1, Run: 012, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1, 91, 18, 17, 71, 9, 7, 1, 9, 109, 163, 26, 71
INVAR-1, Run: 013, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 348, 0, 99, 18, 12, 79, 9, 8, 0, 9, 116, 174, 21, 79
INVAR-1, Run: 014, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 352, 1, 99, 18, 10, 119, 9, 4, 4, 9, 117, 175, 19, 119
INVAR-1, Run: 015, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0, 96, 18, 9, 87, 9, 7, 1, 9, 112, 168, 18, 87
INVAR-1, Run: 016, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 340, 1, 96, 18, 11, 122, 9, 4, 4, 9, 113, 169, 20, 122
INVAR-1, Run: 017, F, 4, 0, 0, 0, 9, 9, 0, 0, 1, 360, 0, 106, 18, 24, 229, 9, 4, 4, 9, 120, 180, 33, 229
INVAR-1, Run: 018, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0, 92, 18, 19, 189, 9, 5, 3, 9, 110, 165, 28, 189
INVAR-1, Run: 019, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 348, 0, 99, 18, 13, 152, 9, 4, 4, 9, 116, 174, 22, 152
INVAR-1, Run: 020, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 306, 0, 85, 18, 11, 106, 9, 7, 1, 9, 102, 153, 20, 106
INVAR-1, Run: 021, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1, 92, 18, 12, 94, 9, 7, 1, 9, 109, 163, 21, 94
INVAR-1, Run: 022, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0, 94, 18, 21, 158, 9, 5, 3, 9, 112, 168, 30, 158
INVAR-1, Run: 023, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 376, 1, 109, 18, 24, 328, 9, 5, 3, 9, 125, 187, 33, 328
INVAR-1, Run: 024, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 97, 18, 27, 254, 9, 8, 0, 9, 115, 172, 36, 254
INVAR-1, Run: 025, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 354, 0, 100, 18, 8, 50, 9, 6, 2, 9, 118, 177, 17, 50
INVAR-1, Run: 026, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 394, 1, 114, 18, 17, 159, 9, 7, 1, 9, 131, 196, 26, 159
INVAR-1, Run: 027, F, 3, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1, 94, 18, 15, 80, 9, 7, 1, 9, 109, 163, 24, 80
INVAR-1, Run: 028, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1, 102, 18, 9, 57, 9, 8, 0, 9, 119, 178, 18, 57
INVAR-1, Run: 029, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 98, 18, 15, 91, 9, 7, 1, 9, 115, 172, 24, 91
INVAR-1, Run: 030, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0, 104, 18, 14, 70, 9, 7, 1, 9, 122, 183, 23, 70
INVAR-1, Run: 031, F, 3, 0, 0, 0, 9, 9, 0, 0, 1, 306, 0, 87, 18, 8, 110, 9, 7, 1, 9, 102, 153, 17, 110
INVAR-1, Run: 032, F, 3, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1, 96, 18, 7, 59, 9, 5, 3, 9, 111, 166, 16, 59
INVAR-1, Run: 033, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1, 102, 18, 10, 84, 9, 4, 4, 9, 119, 178, 19, 84
INVAR-1, Run: 034, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 316, 1, 87, 18, 13, 132, 9, 4, 4, 9, 105, 157, 22, 132
INVAR-1, Run: 035, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 306, 0, 86, 18, 11, 85, 9, 6, 2, 9, 102, 153, 20, 85
INVAR-1, Run: 036, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 364, 1, 104, 18, 15, 155, 9, 6, 2, 9, 121, 181, 24, 155
INVAR-1, Run: 037, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 98, 18, 18, 92, 9, 8, 0, 9, 115, 172, 27, 92
INVAR-1, Run: 038, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 324, 0, 90, 18, 20, 71, 9, 4, 4, 9, 108, 162, 29, 71
INVAR-1, Run: 039, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1, 98, 18, 10, 112, 9, 6, 2, 9, 115, 172, 19, 112
INVAR-1, Run: 040, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 370, 1, 106, 18, 12, 124, 9, 7, 1, 9, 123, 184, 21, 124
INVAR-1, Run: 041, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 312, 0, 87, 18, 24, 164, 9, 2, 6, 9, 104, 156, 33, 164
INVAR-1, Run: 042, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 378, 0, 110, 18, 28, 223, 9, 7, 1, 9, 126, 189, 37, 223
INVAR-1, Run: 043, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 388, 1, 113, 18, 10, 116, 9, 8, 0, 9, 129, 193, 19, 116
INVAR-1, Run: 044, F, 8, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0, 100, 18, 9, 50, 9, 4, 4, 9, 110, 165, 18, 50
INVAR-1, Run: 045, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1, 93, 18, 21, 137, 9, 4, 4, 9, 109, 163, 30, 137
INVAR-1, Run: 046, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 328, 1, 91, 18, 11, 85, 9, 5, 3, 9, 109, 163, 20, 85
INVAR-1, Run: 047, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0, 94, 18, 20, 164, 9, 7, 1, 9, 110, 165, 29, 164
INVAR-1, Run: 048, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 384, 0, 112, 18, 28, 160, 9, 5, 3, 9, 128, 192, 37, 160
INVAR-1, Run: 049, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0, 104, 18, 9, 110, 9, 7, 1, 9, 122, 183, 18, 110
INVAR-1, Run: 050, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 406, 1, 117, 18, 8, 82, 9, 4, 4, 9, 135, 202, 17, 82
INVAR-1, Run: 051, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 348, 0, 100, 18, 12, 137, 9, 7, 1, 9, 116, 174, 21, 137
INVAR-1, Run: 052, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 340, 1, 95, 18, 11, 87, 9, 6, 2, 9, 113, 169, 20, 87
INVAR-1, Run: 053, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 382, 1, 111, 18, 7, 126, 9, 7, 1, 9, 127, 190, 16, 126
INVAR-1, Run: 054, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 384, 0, 111, 18, 30, 218, 9, 5, 3, 9, 128, 192, 39, 218
INVAR-1, Run: 055, F, 3, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1, 96, 18, 32, 170, 9, 3, 5, 9, 111, 166, 41, 170
INVAR-1, Run: 056, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1, 93, 18, 20, 76, 9, 5, 3, 9, 111, 166, 29, 76
INVAR-1, Run: 057, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 336, 0, 94, 18, 9, 111, 9, 5, 3, 9, 112, 168, 18, 111
INVAR-1, Run: 058, F, 1, 0, 0, 0, 9, 9, 0, 0, 1, 334, 1, 94, 18, 17, 173, 9, 3, 5, 9, 111, 166, 26, 173
INVAR-1, Run: 059, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 352, 1, 101, 18, 7, 76, 9, 6, 2, 9, 117, 175, 16, 76
INVAR-1, Run: 060, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 364, 1, 105, 18, 24, 108, 9, 6, 2, 9, 121, 181, 33, 108
INVAR-1, Run: 061, F, 2, 0, 0, 0, 9, 9, 0, 0, 1, 312, 0, 88, 18, 19, 121, 9, 7, 1, 9, 104, 156, 28, 121
INVAR-1, Run: 062, F, 0, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0, 106, 18, 22, 139, 9, 6, 2, 9, 124, 186, 31, 139
