Input Number, Run_Number, Result@ 100, H, X1, M, PO, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 037, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 22, 249, 9, 7, 1, 6, 18, 27, 28, 249
INVAR-1, Run: 038, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 14, 160, 9, 5, 3, 6, 18, 27, 20, 160
INVAR-1, Run: 039, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 15, 111, 9, 6, 2, 7, 18, 27, 22, 111
INVAR-1, Run: 040, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 14, 132, 9, 6, 2, 5, 18, 27, 19, 132
INVAR-1, Run: 041, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 15, 125, 9, 6, 2, 5, 18, 27, 20, 125
INVAR-1, Run: 042, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 16, 107, 9, 7, 1, 8, 18, 27, 24, 107
INVAR-1, Run: 043, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 10, 69, 9, 6, 2, 7, 18, 27, 17, 69
INVAR-1, Run: 044, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 8, 74, 9, 6, 2, 6, 18, 27, 14, 74
INVAR-1, Run: 045, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 9, 73, 9, 7, 1, 6, 18, 27, 15, 73
INVAR-1, Run: 046, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 13, 99, 9, 7, 1, 7, 18, 27, 20, 99
INVAR-1, Run: 047, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 7, 64, 9, 2, 6, 6, 18, 27, 13, 64
INVAR-1, Run: 048, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 7, 117, 9, 8, 0, 6, 18, 27, 13, 117
INVAR-1, Run: 049, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 8, 108, 9, 6, 2, 6, 18, 27, 14, 108
INVAR-1, Run: 050, P, 0, 0, 0, 0, 4, 4, 0, 0, 1, 54, 0, 10, 18, 10, 110, 9, 6, 2, 4, 18, 27, 14, 110
INVAR-1, Run: 051, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 11, 160, 9, 6, 2, 7, 18, 27, 18, 160
INVAR-1, Run: 052, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 8, 20, 9, 4, 4, 7, 18, 27, 15, 20
