Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, D, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, L3
INVAR-1, Run: 091, F, 10, 0, 0, 0, 0, 57, 0, 0, 88, 0, 1, 1, 1, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 092, F, 0, 10, 0, 0, 0, 72, 0, 0, 72, 1, 1, 0, 1, 3, 0, 1, 6, 0, 0
INVAR-1, Run: 093, F, 10, 0, 0, 0, 0, 77, 0, 0, 70, 1, 0, 2, 0, 0, 0, 1, 6, 0, 0
INVAR-1, Run: 094, F, 0, 10, 0, 0, 0, 69, 0, 0, 76, 2, 1, 1, 1, 0, 0, 1, 6, 0, 0
INVAR-1, Run: 095, F, 0, 0, 0, 10, 0, 70, 0, 0, 72, 1, 3, 3, 1, 0, 0, 1, 6, 0, 0
INVAR-1, Run: 096, F, 0, 0, 0, 10, 0, 80, 0, 0, 61, 2, 1, 1, 4, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 097, F, 0, 10, 0, 0, 0, 73, 0, 0, 69, 2, 1, 0, 0, 3, 2, 1, 6, 0, 0
INVAR-1, Run: 098, F, 10, 0, 0, 0, 0, 61, 0, 0, 86, 0, 0, 0, 1, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 099, F, 0, 10, 0, 0, 0, 80, 0, 0, 61, 1, 2, 1, 3, 0, 2, 1, 6, 0, 0
INVAR-1, Run: 100, F, 0, 10, 0, 0, 0, 72, 0, 0, 72, 1, 0, 3, 0, 0, 2, 1, 6, 0, 0
INVAR-2, Run: 001, F, 100, 0, 0, 0, 0, 67, 0, 0, 77, 0, 1, 1, 2, 0, 2, 1, 6, 0, 0
INVAR-2, Run: 002, F, 0, 0, 0, 100, 0, 68, 0, 0, 78, 0, 0, 0, 3, 0, 1, 1, 6, 0, 0
INVAR-2, Run: 003, F, 0, 0, 0, 100, 0, 79, 0, 0, 62, 0, 0, 2, 2, 4, 1, 1, 6, 0, 0
INVAR-2, Run: 004, F, 0, 100, 0, 0, 0, 72, 0, 0, 71, 2, 3, 1, 1, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 005, F, 0, 100, 0, 0, 0, 80, 0, 0, 65, 1, 0, 1, 1, 1, 1, 1, 6, 0, 0
INVAR-2, Run: 006, F, 0, 0, 0, 100, 0, 76, 0, 0, 69, 1, 1, 0, 1, 1, 1, 1, 6, 0, 0
INVAR-2, Run: 007, F, 0, 100, 0, 0, 0, 66, 0, 0, 81, 1, 0, 0, 1, 1, 0, 1, 6, 0, 0
INVAR-2, Run: 008, F, 0, 100, 0, 0, 0, 73, 0, 0, 70, 1, 2, 1, 3, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 009, F, 0, 0, 0, 100, 0, 67, 0, 0, 77, 1, 2, 1, 1, 0, 1, 1, 6, 0, 0
INVAR-2, Run: 010, F, 0, 100, 0, 0, 0, 72, 0, 0, 75, 0, 0, 0, 1, 1, 1, 1, 6, 0, 0
INVAR-2, Run: 011, F, 100, 0, 0, 0, 0, 72, 0, 0, 70, 3, 2, 1, 1, 0, 1, 1, 6, 0, 0
INVAR-2, Run: 012, F, 100, 0, 0, 0, 0, 57, 0, 0, 82, 0, 2, 2, 1, 1, 5, 1, 6, 0, 0
INVAR-2, Run: 013, F, 100, 0, 0, 0, 0, 71, 0, 0, 75, 0, 1, 0, 1, 1, 1, 1, 6, 0, 0
INVAR-2, Run: 014, F, 100, 0, 0, 0, 0, 81, 0, 0, 62, 2, 0, 2, 0, 0, 3, 1, 6, 0, 0
INVAR-2, Run: 015, F, 0, 0, 0, 100, 0, 61, 0, 0, 82, 0, 0, 1, 3, 1, 2, 1, 6, 0, 0
INVAR-2, Run: 016, F, 0, 0, 0, 100, 0, 77, 0, 0, 70, 0, 1, 1, 0, 1, 0, 1, 6, 0, 0
INVAR-2, Run: 017, F, 0, 100, 0, 0, 0, 69, 0, 0, 79, 0, 0, 0, 1, 1, 0, 1, 6, 0, 0
INVAR-2, Run: 018, F, 100, 0, 0, 0, 0, 65, 0, 0, 79, 1, 1, 1, 1, 2, 0, 1, 6, 0, 0
INVAR-2, Run: 019, F, 0, 100, 0, 0, 0, 89, 0, 0, 52, 0, 3, 3, 1, 1, 1, 1, 6, 0, 0
INVAR-2, Run: 020, F, 0, 100, 0, 0, 0, 75, 0, 0, 69, 2, 3, 0, 0, 1, 0, 1, 6, 0, 0
INVAR-2, Run: 021, F, 100, 0, 0, 0, 0, 77, 0, 0, 65, 1, 0, 0, 4, 3, 0, 1, 6, 0, 0
INVAR-2, Run: 022, F, 0, 0, 0, 100, 0, 78, 0, 0, 56, 5, 3, 3, 3, 2, 0, 1, 6, 0, 0
INVAR-2, Run: 023, F, 0, 100, 0, 0, 0, 71, 0, 0, 75, 0, 1, 0, 0, 2, 1, 1, 6, 0, 0
INVAR-2, Run: 024, F, 100, 0, 0, 0, 0, 73, 0, 0, 72, 1, 0, 0, 0, 2, 2, 1, 6, 0, 0
INVAR-2, Run: 025, F, 100, 0, 0, 0, 0, 69, 0, 0, 76, 1, 0, 1, 1, 1, 1, 1, 6, 0, 0
INVAR-2, Run: 026, F, 0, 0, 0, 100, 0, 75, 0, 0, 69, 1, 2, 1, 1, 0, 1, 1, 6, 0, 0
INVAR-2, Run: 027, F, 0, 0, 0, 100, 0, 79, 0, 0, 66, 1, 1, 0, 3, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 028, F, 100, 0, 0, 0, 0, 71, 0, 0, 71, 1, 1, 0, 0, 4, 2, 1, 6, 0, 0
INVAR-2, Run: 029, F, 0, 100, 0, 0, 0, 68, 0, 0, 77, 2, 0, 1, 2, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 030, F, 100, 0, 0, 0, 0, 63, 0, 0, 83, 0, 1, 1, 1, 0, 1, 1, 6, 0, 0
INVAR-2, Run: 031, F, 0, 100, 0, 0, 0, 86, 0, 0, 52, 3, 2, 2, 2, 2, 1, 1, 6, 0, 0
INVAR-2, Run: 032, F, 100, 0, 0, 0, 0, 68, 0, 0, 75, 0, 2, 1, 3, 1, 0, 1, 6, 0, 0
INVAR-2, Run: 033, F, 100, 0, 0, 0, 0, 71, 0, 0, 69, 4, 2, 1, 1, 2, 0, 1, 6, 0, 0
INVAR-2, Run: 034, F, 0, 0, 0, 100, 0, 85, 0, 0, 56, 2, 0, 4, 0, 1, 2, 1, 6, 0, 0
INVAR-2, Run: 035, F, 0, 0, 0, 100, 0, 70, 0, 0, 74, 2, 1, 1, 0, 1, 1, 1, 6, 0, 0
INVAR-2, Run: 036, F, 0, 0, 0, 100, 0, 72, 0, 0, 71, 1, 0, 2, 1, 0, 3, 1, 6, 0, 0
INVAR-2, Run: 037, F, 0, 100, 0, 0, 0, 68, 0, 0, 78, 1, 0, 1, 1, 1, 0, 1, 6, 0, 0
INVAR-2, Run: 038, F, 0, 0, 0, 100, 0, 80, 0, 0, 65, 0, 1, 0, 2, 2, 0, 1, 6, 0, 0
INVAR-2, Run: 039, F, 0, 0, 0, 100, 0, 89, 0, 0, 52, 1, 1, 1, 0, 2, 4, 1, 6, 0, 0
INVAR-2, Run: 040, F, 0, 100, 0, 0, 0, 76, 0, 0, 68, 0, 1, 2, 0, 2, 1, 1, 6, 0, 0
INVAR-2, Run: 041, F, 0, 100, 0, 0, 0, 75, 0, 0, 66, 1, 2, 1, 2, 2, 1, 1, 6, 0, 0
INVAR-2, Run: 042, F, 0, 0, 0, 100, 0, 71, 0, 0, 79, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 043, F, 0, 0, 0, 100, 0, 68, 0, 0, 79, 0, 2, 0, 0, 1, 0, 1, 6, 0, 0
INVAR-2, Run: 044, F, 0, 0, 0, 100, 0, 72, 0, 0, 77, 0, 0, 0, 0, 1, 0, 1, 6, 0, 0
INVAR-2, Run: 045, F, 0, 100, 0, 0, 0, 77, 0, 0, 67, 0, 1, 1, 1, 2, 1, 1, 6, 0, 0
INVAR-2, Run: 046, F, 100, 0, 0, 0, 0, 87, 0, 0, 57, 1, 0, 1, 4, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 047, F, 0, 0, 0, 100, 0, 62, 0, 0, 79, 4, 0, 0, 1, 2, 2, 1, 6, 0, 0
INVAR-2, Run: 048, F, 100, 0, 0, 0, 0, 73, 0, 0, 72, 1, 1, 1, 1, 1, 0, 1, 6, 0, 0
INVAR-2, Run: 049, F, 100, 0, 0, 0, 0, 64, 0, 0, 78, 1, 1, 0, 1, 3, 2, 1, 6, 0, 0
INVAR-2, Run: 050, F, 0, 0, 0, 100, 0, 76, 0, 0, 72, 1, 1, 0, 0, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 051, F, 0, 0, 0, 100, 0, 73, 0, 0, 72, 0, 0, 1, 1, 1, 2, 1, 6, 0, 0
INVAR-2, Run: 052, F, 0, 100, 0, 0, 0, 72, 0, 0, 75, 1, 0, 1, 1, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 053, F, 0, 100, 0, 0, 0, 78, 0, 0, 64, 0, 2, 2, 0, 3, 1, 1, 6, 0, 0
INVAR-2, Run: 054, F, 0, 0, 0, 100, 0, 62, 0, 0, 80, 1, 1, 2, 0, 0, 4, 1, 6, 0, 0
INVAR-2, Run: 055, F, 0, 0, 0, 100, 0, 64, 0, 0, 78, 2, 0, 3, 3, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 056, F, 0, 0, 0, 100, 0, 63, 0, 0, 82, 1, 1, 1, 1, 0, 1, 1, 6, 0, 0
INVAR-2, Run: 057, F, 100, 0, 0, 0, 0, 69, 0, 0, 77, 1, 1, 1, 0, 1, 0, 1, 6, 0, 0
INVAR-2, Run: 058, F, 0, 100, 0, 0, 0, 76, 0, 0, 70, 0, 0, 1, 1, 0, 2, 1, 6, 0, 0
INVAR-2, Run: 059, F, 100, 0, 0, 0, 0, 73, 0, 0, 71, 1, 1, 1, 1, 1, 1, 1, 6, 0, 0
INVAR-2, Run: 060, F, 100, 0, 0, 0, 0, 75, 0, 0, 70, 2, 1, 0, 1, 0, 1, 1, 6, 0, 0
INVAR-2, Run: 061, F, 0, 100, 0, 0, 0, 79, 0, 0, 66, 1, 0, 1, 0, 2, 1, 1, 6, 0, 0
INVAR-2, Run: 062, F, 0, 0, 0, 100, 0, 67, 0, 0, 79, 0, 1, 0, 0, 2, 1, 1, 6, 0, 0
INVAR-2, Run: 063, F, 0, 0, 0, 100, 0, 71, 0, 0, 76, 0, 0, 1, 0, 1, 1, 1, 6, 0, 0
INVAR-2, Run: 064, F, 0, 0, 0, 100, 0, 70, 0, 0, 73, 0, 2, 1, 1, 0, 3, 1, 6, 0, 0
INVAR-2, Run: 065, F, 0, 100, 0, 0, 0, 65, 0, 0, 79, 1, 1, 0, 1, 1, 2, 1, 6, 0, 0
INVAR-2, Run: 066, F, 100, 0, 0, 0, 0, 71, 0, 0, 70, 5, 0, 0, 0, 1, 3, 1, 6, 0, 0
INVAR-2, Run: 067, F, 0, 100, 0, 0, 0, 64, 0, 0, 75, 0, 2, 2, 4, 1, 2, 1, 6, 0, 0
INVAR-2, Run: 068, F, 0, 0, 0, 100, 0, 73, 0, 0, 75, 1, 0, 1, 0, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 069, F, 0, 100, 0, 0, 0, 71, 0, 0, 73, 0, 2, 1, 0, 0, 3, 1, 6, 0, 0
INVAR-2, Run: 070, F, 0, 100, 0, 0, 0, 78, 0, 0, 68, 2, 1, 0, 0, 1, 0, 1, 6, 0, 0
INVAR-2, Run: 071, F, 100, 0, 0, 0, 0, 70, 0, 0, 74, 1, 0, 1, 1, 1, 2, 1, 6, 0, 0
INVAR-2, Run: 072, F, 0, 0, 0, 100, 0, 69, 0, 0, 74, 3, 2, 0, 0, 2, 0, 1, 6, 0, 0
INVAR-2, Run: 073, F, 100, 0, 0, 0, 0, 75, 0, 0, 72, 0, 0, 3, 0, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 074, F, 0, 0, 0, 100, 0, 84, 0, 0, 50, 3, 1, 2, 2, 4, 4, 1, 6, 0, 0
INVAR-2, Run: 075, F, 0, 100, 0, 0, 0, 74, 0, 0, 69, 1, 3, 0, 0, 1, 2, 1, 6, 0, 0
INVAR-2, Run: 076, F, 0, 0, 0, 100, 0, 61, 0, 0, 81, 0, 1, 1, 4, 0, 2, 1, 6, 0, 0
INVAR-2, Run: 077, F, 0, 0, 0, 100, 0, 70, 0, 0, 76, 1, 0, 0, 0, 1, 2, 1, 6, 0, 0
INVAR-2, Run: 078, F, 0, 100, 0, 0, 0, 62, 0, 0, 81, 2, 1, 1, 1, 2, 0, 1, 6, 0, 0
INVAR-2, Run: 079, F, 100, 0, 0, 0, 0, 75, 0, 0, 65, 0, 3, 0, 2, 4, 1, 1, 6, 0, 0
INVAR-2, Run: 080, F, 0, 0, 0, 100, 0, 89, 0, 0, 51, 3, 1, 1, 2, 0, 3, 1, 6, 0, 0
INVAR-2, Run: 081, F, 0, 0, 0, 100, 0, 71, 0, 0, 69, 1, 0, 4, 3, 0, 2, 1, 6, 0, 0
INVAR-2, Run: 082, F, 0, 100, 0, 0, 0, 75, 0, 0, 70, 1, 1, 1, 2, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 083, F, 100, 0, 0, 0, 0, 72, 0, 0, 69, 1, 0, 2, 2, 3, 1, 1, 6, 0, 0
INVAR-2, Run: 084, F, 0, 0, 0, 100, 0, 78, 0, 0, 65, 1, 3, 0, 0, 2, 1, 1, 6, 0, 0
INVAR-2, Run: 085, F, 0, 100, 0, 0, 0, 70, 0, 0, 73, 1, 1, 2, 1, 2, 0, 1, 6, 0, 0
INVAR-2, Run: 086, F, 0, 0, 0, 100, 0, 66, 0, 0, 81, 1, 0, 1, 0, 0, 1, 1, 6, 0, 0
INVAR-2, Run: 087, F, 0, 100, 0, 0, 0, 73, 0, 0, 74, 1, 0, 0, 2, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 088, F, 0, 100, 0, 0, 0, 68, 0, 0, 76, 2, 0, 2, 2, 0, 0, 1, 6, 0, 0
INVAR-2, Run: 089, F, 0, 100, 0, 0, 0, 59, 0, 0, 84, 2, 0, 1, 1, 2, 1, 1, 6, 0, 0
INVAR-2, Run: 090, F, 0, 100, 0, 0, 0, 78, 0, 0, 61, 2, 2, 3, 1, 1, 2, 1, 6, 0, 0
INVAR-2, Run: 091, F, 0, 100, 0, 0, 0, 66, 0, 0, 77, 1, 0, 1, 1, 2, 2, 1, 6, 0, 0
