Input Number, Run_Number, Result@ 1000, A, B, H, C, T1, L3, L4, L1, L5, Y, T2, T3, T4, T5, T6, R, U, L2, D, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 021, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 1, 2, 0, 50, 0, 0, 0, 3956, 3925, 3887, 3852, 3819, 31, 100, 38, 35, 33, 22, 3797, 3797, 100, 150, 150, 150, 0, 0
INVAR-1, Run: 022, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 141, 76, 136, 3407, 3360, 3334, 3294, 3267, 47, 953, 26, 40, 27, 35, 3232, 3232, 651, 503, 362, 286, 302, 198
INVAR-1, Run: 023, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 123, 78, 117, 3518, 3487, 3454, 3417, 3394, 31, 946, 33, 37, 23, 19, 3375, 3375, 630, 468, 345, 267, 316, 212
INVAR-1, Run: 024, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 66, 34, 31, 3184, 3159, 3139, 3118, 3099, 25, 609, 20, 21, 19, 24, 3075, 3075, 346, 281, 215, 181, 263, 115
INVAR-1, Run: 025, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 1, 2, 0, 50, 0, 0, 0, 4677, 4637, 4607, 4566, 4535, 40, 100, 30, 41, 31, 39, 4496, 4496, 100, 150, 150, 150, 0, 0
INVAR-1, Run: 026, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 80, 44, 79, 3697, 3666, 3647, 3597, 3560, 31, 537, 19, 50, 37, 28, 3532, 3532, 391, 353, 273, 229, 146, 88
INVAR-1, Run: 027, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 63, 35, 34, 4026, 3986, 3953, 3917, 3889, 40, 495, 33, 36, 28, 36, 3853, 3853, 341, 282, 219, 184, 154, 109
INVAR-1, Run: 028, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 125, 86, 190, 2053, 2028, 2010, 1990, 1962, 25, 1048, 18, 20, 28, 19, 1943, 1943, 707, 551, 426, 340, 341, 206
INVAR-1, Run: 029, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 8, 9, 0, 8, 50, 48, 38, 34, 3957, 3922, 3881, 3856, 3833, 35, 471, 41, 25, 23, 27, 3806, 3806, 320, 270, 222, 184, 151, 100
INVAR-1, Run: 030, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 78, 35, 107, 2350, 2321, 2300, 2287, 2267, 29, 701, 21, 13, 20, 25, 2242, 2242, 474, 370, 292, 257, 227, 154
INVAR-1, Run: 031, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 196, 125, 237, 1750, 1720, 1698, 1680, 1664, 30, 1373, 22, 18, 16, 15, 1649, 1649, 930, 708, 512, 387, 443, 272
INVAR-1, Run: 032, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 93, 56, 174, 4309, 4269, 4224, 4196, 4162, 40, 755, 45, 28, 34, 29, 4133, 4133, 569, 473, 380, 324, 186, 146
INVAR-1, Run: 033, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 17, 18, 9, 17, 50, 165, 82, 65, 1925, 1901, 1878, 1859, 1846, 24, 1433, 23, 19, 13, 18, 1828, 1828, 766, 462, 297, 215, 667, 354
INVAR-1, Run: 034, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 68, 31, 51, 4245, 4211, 4187, 4157, 4121, 34, 515, 24, 30, 36, 38, 4083, 4083, 347, 300, 232, 201, 168, 97
INVAR-1, Run: 035, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 93, 46, 82, 3014, 2981, 2953, 2925, 2903, 33, 677, 28, 28, 22, 26, 2877, 2877, 481, 371, 278, 232, 196, 160
INVAR-1, Run: 036, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 155, 77, 100, 1884, 1853, 1836, 1814, 1786, 31, 1263, 17, 22, 28, 11, 1775, 1775, 729, 482, 327, 250, 534, 297
INVAR-1, Run: 037, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 103, 49, 85, 4004, 3962, 3925, 3888, 3863, 42, 812, 37, 37, 25, 30, 3833, 3833, 514, 387, 284, 235, 298, 177
INVAR-1, Run: 038, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 8, 9, 0, 8, 50, 73, 59, 83, 3066, 3036, 3003, 2982, 2963, 30, 658, 33, 21, 19, 31, 2932, 2932, 447, 365, 292, 233, 211, 132
INVAR-1, Run: 039, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 148, 80, 254, 3013, 2984, 2949, 2923, 2897, 29, 1086, 35, 26, 26, 23, 2874, 2874, 765, 632, 484, 404, 321, 183
INVAR-1, Run: 040, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 94, 35, 55, 3726, 3695, 3653, 3630, 3601, 31, 680, 42, 23, 29, 22, 3579, 3579, 429, 334, 240, 205, 251, 145
INVAR-1, Run: 041, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 74, 43, 82, 3692, 3652, 3620, 3592, 3563, 40, 572, 32, 28, 29, 28, 3535, 3535, 406, 349, 275, 232, 166, 107
INVAR-1, Run: 042, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 8, 9, 0, 8, 50, 115, 67, 210, 4427, 4380, 4342, 4296, 4251, 47, 869, 38, 46, 45, 24, 4227, 4227, 649, 542, 427, 360, 220, 157
INVAR-1, Run: 043, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 1, 2, 0, 50, 0, 0, 0, 5715, 5662, 5616, 5561, 5523, 53, 100, 46, 55, 38, 39, 5484, 5484, 100, 150, 150, 150, 0, 0
INVAR-1, Run: 044, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 63, 47, 63, 2580, 2545, 2527, 2504, 2481, 35, 570, 18, 23, 23, 22, 2459, 2459, 395, 323, 260, 213, 175, 122
INVAR-1, Run: 045, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 76, 53, 113, 3773, 3727, 3691, 3663, 3631, 46, 695, 36, 28, 32, 22, 3609, 3609, 458, 392, 316, 263, 237, 116
INVAR-1, Run: 046, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 149, 94, 218, 3724, 3692, 3658, 3615, 3588, 32, 1107, 34, 43, 27, 30, 3558, 3558, 802, 611, 462, 368, 305, 241
INVAR-1, Run: 047, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 81, 63, 78, 3021, 2980, 2945, 2918, 2890, 41, 654, 35, 27, 28, 24, 2866, 2866, 452, 372, 291, 228, 202, 130
INVAR-1, Run: 048, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 140, 108, 142, 2462, 2431, 2400, 2378, 2360, 31, 1007, 31, 22, 18, 13, 2347, 2347, 689, 540, 400, 292, 318, 199
INVAR-1, Run: 049, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 8, 9, 0, 8, 50, 85, 40, 39, 3605, 3567, 3525, 3497, 3468, 38, 702, 42, 28, 29, 31, 3437, 3437, 425, 314, 229, 189, 277, 161
INVAR-1, Run: 050, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 1, 6, 0, 1, 8, 9, 0, 8, 49, 32, 40, 43, 6236, 6183, 6129, 6086, 6043, 53, 372, 54, 43, 43, 58, 5985, 5984, 283, 264, 232, 192, 89, 68
INVAR-1, Run: 051, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 8, 9, 0, 8, 50, 47, 28, 55, 4848, 4814, 4774, 4726, 4688, 34, 396, 40, 48, 38, 32, 4656, 4656, 294, 280, 233, 205, 102, 64
INVAR-1, Run: 052, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 103, 70, 82, 5990, 5950, 5900, 5854, 5794, 40, 792, 50, 46, 60, 54, 5740, 5740, 528, 405, 302, 232, 264, 173
INVAR-1, Run: 053, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 86, 46, 74, 3115, 3091, 3062, 3037, 2999, 24, 718, 29, 25, 38, 35, 2964, 2964, 466, 356, 270, 224, 252, 160
INVAR-1, Run: 054, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 10, 1, 2, 10, 50, 93, 61, 133, 2886, 2864, 2848, 2821, 2793, 22, 795, 16, 27, 28, 28, 2765, 2765, 544, 437, 344, 283, 251, 157
INVAR-1, Run: 055, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 1, 2, 0, 50, 0, 0, 0, 5079, 5039, 5001, 4965, 4929, 40, 100, 38, 36, 36, 48, 4881, 4881, 100, 150, 150, 150, 0, 0
INVAR-1, Run: 056, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 1, 6, 0, 1, 9, 0, 1, 9, 49, 125, 94, 153, 3378, 3347, 3311, 3282, 3255, 31, 1051, 36, 29, 27, 29, 3226, 3225, 709, 521, 396, 302, 342, 237
INVAR-1, Run: 057, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 113, 81, 136, 2829, 2794, 2768, 2750, 2727, 35, 936, 26, 18, 23, 20, 2707, 2707, 637, 480, 367, 286, 299, 207
INVAR-1, Run: 058, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 129, 69, 133, 3973, 3936, 3904, 3857, 3831, 37, 844, 32, 47, 26, 48, 3783, 3783, 594, 481, 352, 283, 250, 163
INVAR-1, Run: 059, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 8, 9, 0, 8, 50, 71, 49, 64, 3587, 3553, 3523, 3489, 3463, 34, 551, 30, 34, 26, 25, 3438, 3438, 398, 334, 263, 214, 153, 114
INVAR-1, Run: 060, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 71, 52, 111, 5187, 5153, 5108, 5064, 5013, 34, 646, 45, 44, 51, 39, 4974, 4974, 453, 384, 313, 261, 193, 119
INVAR-1, Run: 061, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 98, 52, 82, 3872, 3835, 3797, 3762, 3735, 37, 777, 38, 35, 27, 30, 3705, 3705, 489, 382, 284, 232, 288, 157
INVAR-1, Run: 062, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 8, 9, 0, 8, 50, 70, 50, 74, 3830, 3802, 3770, 3739, 3713, 28, 687, 32, 31, 26, 23, 3690, 3690, 443, 344, 274, 224, 244, 149
INVAR-1, Run: 063, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 77, 38, 50, 4263, 4226, 4178, 4149, 4110, 37, 639, 48, 29, 39, 29, 4081, 4081, 408, 315, 238, 200, 231, 143
INVAR-1, Run: 064, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 59, 44, 50, 4065, 4027, 3987, 3949, 3927, 38, 575, 40, 38, 22, 24, 3903, 3903, 369, 303, 244, 200, 206, 116
INVAR-1, Run: 065, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 69, 42, 54, 3017, 2982, 2962, 2929, 2902, 35, 484, 20, 33, 27, 21, 2881, 2881, 356, 315, 246, 204, 128, 91
INVAR-1, Run: 066, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 91, 49, 68, 3873, 3830, 3795, 3756, 3728, 43, 615, 35, 39, 28, 36, 3692, 3692, 431, 358, 267, 218, 184, 123
INVAR-1, Run: 067, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 64, 22, 29, 2608, 2584, 2559, 2532, 2511, 24, 447, 25, 27, 21, 23, 2488, 2488, 298, 265, 201, 179, 149, 83
INVAR-1, Run: 068, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 90, 72, 124, 4323, 4283, 4253, 4224, 4195, 40, 807, 30, 29, 29, 25, 4170, 4170, 533, 436, 346, 274, 274, 147
INVAR-1, Run: 069, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 54, 28, 37, 3914, 3891, 3863, 3826, 3805, 23, 455, 28, 37, 21, 30, 3775, 3775, 300, 269, 215, 187, 155, 81
INVAR-1, Run: 070, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 46, 30, 22, 4078, 4049, 4023, 3994, 3959, 29, 477, 26, 29, 35, 32, 3927, 3927, 302, 248, 202, 172, 175, 104
INVAR-1, Run: 071, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 1, 2, 0, 50, 0, 0, 0, 5183, 5142, 5100, 5063, 5023, 41, 100, 42, 37, 40, 32, 4991, 4991, 100, 150, 150, 150, 0, 0
INVAR-1, Run: 072, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 135, 48, 82, 3721, 3678, 3644, 3607, 3580, 43, 991, 34, 37, 27, 35, 3545, 3545, 573, 415, 280, 232, 418, 208
INVAR-1, Run: 073, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 103, 58, 79, 3413, 3370, 3339, 3309, 3280, 43, 731, 31, 30, 29, 38, 3242, 3242, 480, 390, 287, 229, 251, 140
INVAR-1, Run: 074, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 108, 70, 105, 2836, 2809, 2779, 2756, 2741, 27, 970, 30, 23, 15, 27, 2714, 2714, 597, 433, 325, 255, 373, 214
INVAR-1, Run: 075, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 61, 32, 94, 3326, 3296, 3276, 3248, 3228, 30, 500, 20, 28, 20, 28, 3200, 3200, 354, 337, 276, 244, 146, 67
INVAR-1, Run: 076, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 1, 2, 0, 50, 0, 0, 0, 4456, 4429, 4391, 4368, 4328, 27, 100, 38, 23, 40, 33, 4295, 4295, 100, 150, 150, 150, 0, 0
INVAR-1, Run: 077, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 92, 83, 263, 3874, 3844, 3818, 3786, 3757, 30, 876, 26, 32, 29, 42, 3715, 3715, 659, 588, 496, 413, 217, 121
INVAR-1, Run: 078, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 109, 75, 147, 5070, 5029, 4977, 4931, 4890, 41, 893, 52, 46, 41, 41, 4849, 4849, 611, 481, 372, 297, 282, 180
INVAR-1, Run: 079, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 90, 66, 179, 3939, 3904, 3861, 3829, 3795, 35, 829, 43, 32, 34, 29, 3766, 3766, 594, 485, 395, 329, 235, 159
INVAR-1, Run: 080, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 115, 72, 124, 3791, 3767, 3726, 3693, 3660, 24, 828, 41, 33, 33, 31, 3629, 3629, 573, 461, 346, 274, 255, 162
INVAR-1, Run: 081, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 169, 127, 346, 4427, 4377, 4332, 4298, 4260, 50, 1374, 45, 34, 38, 40, 4220, 4220, 1020, 792, 623, 496, 354, 278
INVAR-1, Run: 082, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 122, 104, 326, 5308, 5265, 5223, 5191, 5143, 43, 1034, 42, 32, 48, 47, 5096, 5096, 798, 702, 580, 476, 236, 146
INVAR-1, Run: 083, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 71, 35, 62, 2559, 2536, 2503, 2471, 2457, 23, 543, 33, 32, 14, 18, 2439, 2439, 370, 318, 247, 212, 173, 102
