Input Number, Run_Number, Result@ 100, CO, X1, Y, H, M, PO, CE, D, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 7, 36, 7, 2, 4, 7, 14, 21, 14, 40
INVAR-1, Run: 002, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 7, 13, 6, 2, 4, 6, 13, 19, 7, 53
INVAR-1, Run: 003, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 11, 32, 6, 6, 0, 6, 13, 19, 11, 72
INVAR-1, Run: 004, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 23, 48, 6, 5, 1, 6, 13, 19, 23, 88
INVAR-1, Run: 005, F, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0, 8, 10, 5, 34, 5, 4, 0, 5, 10, 15, 10, 42
INVAR-1, Run: 006, F, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0, 8, 10, 6, 25, 5, 3, 1, 5, 10, 15, 11, 33
INVAR-1, Run: 007, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 16, 26, 5, 2, 3, 5, 11, 16, 16, 60
INVAR-1, Run: 008, F, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1, 3, 15, 8, 29, 7, 5, 2, 7, 15, 22, 8, 75
INVAR-1, Run: 009, F, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1, 3, 15, 10, 21, 7, 3, 4, 7, 15, 22, 10, 67
INVAR-1, Run: 010, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 14, 24, 6, 3, 3, 6, 13, 19, 14, 64
INVAR-1, Run: 011, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 3, 20, 5, 3, 2, 5, 11, 16, 3, 54
INVAR-1, Run: 012, F, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1, 3, 15, 8, 23, 7, 7, 0, 7, 15, 22, 8, 69
INVAR-1, Run: 013, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 6, 48, 6, 4, 1, 6, 12, 18, 12, 54
INVAR-1, Run: 014, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 3, 19, 7, 4, 2, 7, 14, 21, 10, 23
INVAR-1, Run: 015, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 9, 18, 6, 3, 2, 6, 12, 18, 15, 24
INVAR-1, Run: 016, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 8, 36, 7, 5, 1, 7, 14, 21, 15, 40
INVAR-1, Run: 017, F, 43, 0, 49, 1, 0, 1, 0, 7, 0, 0, 1, 3, 15, 11, 32, 7, 5, 2, 7, 15, 22, 11, 78
INVAR-1, Run: 018, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 25, 87, 6, 3, 3, 6, 13, 19, 25, 127
INVAR-1, Run: 019, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 6, 12, 5, 4, 1, 5, 11, 16, 6, 46
INVAR-1, Run: 020, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 14, 22, 6, 4, 2, 6, 13, 19, 14, 62
INVAR-1, Run: 021, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 2, 28, 6, 5, 0, 6, 12, 18, 8, 34
INVAR-1, Run: 022, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 9, 13, 6, 3, 2, 6, 12, 18, 15, 19
INVAR-1, Run: 023, F, 0, 0, 21, 0, 0, 0, 5, 0, 1, 22, 0, 8, 10, 1, 34, 5, 3, 1, 5, 10, 15, 6, 42
INVAR-1, Run: 024, F, 27, 0, 41, 1, 0, 1, 0, 5, 0, 0, 1, 7, 11, 5, 23, 5, 3, 2, 5, 11, 16, 5, 57
INVAR-1, Run: 025, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 10, 15, 7, 3, 3, 7, 14, 21, 17, 19
INVAR-1, Run: 026, F, 35, 0, 45, 1, 0, 1, 0, 6, 0, 0, 1, 5, 13, 2, 5, 6, 4, 2, 6, 13, 19, 2, 45
INVAR-1, Run: 027, F, 0, 0, 15, 0, 0, 0, 7, 0, 1, 38, 0, 4, 14, 10, 41, 7, 6, 0, 7, 14, 21, 17, 45
INVAR-1, Run: 028, F, 0, 0, 18, 0, 0, 0, 6, 0, 1, 30, 0, 6, 12, 3, 38, 6, 5, 0, 6, 12, 18, 9, 44
INVAR-1, Run: 029, F, 19, 0, 37, 1, 0, 1, 0, 4, 0, 0, 1, 9, 9, 7, 10, 4, 4, 0, 4, 9, 13, 7, 38
