Input Number, Run_Number, Result@ 100, V, X, Y
1, Run: 001, P, 125, 0, 0
1, Run: 002, P, 79, 0, 0
1, Run: 003, P, 98, 0, 0
1, Run: 004, P, 86, 0, 0
1, Run: 005, P, 120, 0, 0
1, Run: 006, P, 96, 0, 0
1, Run: 007, P, 127, 0, 0
1, Run: 008, P, 96, 0, 0
1, Run: 009, P, 106, 0, 0
1, Run: 010, P, 118, 0, 0
1, Run: 011, P, 109, 0, 0
1, Run: 012, P, 116, 0, 0
1, Run: 013, P, 100, 0, 0
1, Run: 014, P, 105, 0, 0
1, Run: 015, P, 98, 0, 0
1, Run: 016, P, 76, 0, 0
1, Run: 017, P, 103, 0, 0
1, Run: 018, P, 101, 0, 0
1, Run: 019, P, 81, 0, 0
1, Run: 020, P, 96, 0, 0
1, Run: 021, P, 113, 0, 0
1, Run: 022, P, 122, 0, 0
1, Run: 023, P, 70, 0, 0
1, Run: 024, P, 112, 0, 0
1, Run: 025, P, 96, 0, 0
1, Run: 026, P, 99, 0, 0
1, Run: 027, P, 114, 0, 0
1, Run: 028, P, 101, 0, 0
1, Run: 029, P, 109, 0, 0
1, Run: 030, P, 91, 0, 0
1, Run: 031, P, 104, 0, 0
1, Run: 032, P, 110, 0, 0
1, Run: 033, P, 116, 0, 0
1, Run: 034, P, 109, 0, 0
1, Run: 035, P, 125, 0, 0
1, Run: 036, P, 112, 0, 0
1, Run: 037, P, 116, 0, 0
1, Run: 038, P, 88, 0, 0
1, Run: 039, P, 113, 0, 0
1, Run: 040, P, 103, 0, 0
1, Run: 041, P, 113, 0, 0
1, Run: 042, P, 91, 0, 0
1, Run: 043, P, 116, 0, 0
1, Run: 044, P, 93, 0, 0
1, Run: 045, P, 97, 0, 0
1, Run: 046, P, 99, 0, 0
1, Run: 047, P, 99, 0, 0
1, Run: 048, P, 92, 0, 0
1, Run: 049, P, 93, 0, 0
1, Run: 050, P, 107, 0, 0
1, Run: 051, P, 99, 0, 0
1, Run: 052, P, 108, 0, 0
1, Run: 053, P, 98, 0, 0
1, Run: 054, P, 108, 0, 0
1, Run: 055, P, 123, 0, 0
1, Run: 056, P, 94, 0, 0
1, Run: 057, P, 115, 0, 0
1, Run: 058, P, 112, 0, 0
1, Run: 059, P, 111, 0, 0
1, Run: 060, P, 100, 0, 0
1, Run: 061, P, 99, 0, 0
1, Run: 062, P, 125, 0, 0
1, Run: 063, P, 112, 0, 0
1, Run: 064, P, 106, 0, 0
1, Run: 065, P, 100, 0, 0
1, Run: 066, P, 113, 0, 0
1, Run: 067, P, 120, 0, 0
1, Run: 068, P, 103, 0, 0
1, Run: 069, P, 114, 0, 0
1, Run: 070, P, 85, 0, 0
1, Run: 071, P, 106, 0, 0
1, Run: 072, P, 94, 0, 0
1, Run: 073, P, 97, 0, 0
1, Run: 074, P, 108, 0, 0
1, Run: 075, P, 92, 0, 0
1, Run: 076, P, 116, 0, 0
1, Run: 077, P, 121, 0, 0
1, Run: 078, P, 91, 0, 0
1, Run: 079, P, 111, 0, 0
1, Run: 080, P, 106, 0, 0
1, Run: 081, P, 115, 0, 0
1, Run: 082, P, 84, 0, 0
1, Run: 083, P, 95, 0, 0
1, Run: 084, P, 105, 0, 0
1, Run: 085, P, 113, 0, 0
1, Run: 086, P, 114, 0, 0
1, Run: 087, P, 102, 0, 0
1, Run: 088, P, 108, 0, 0
1, Run: 089, P, 107, 0, 0
1, Run: 090, P, 107, 0, 0
1, Run: 091, P, 113, 0, 0
1, Run: 092, P, 120, 0, 0
1, Run: 093, P, 103, 0, 0
1, Run: 094, P, 96, 0, 0
1, Run: 095, P, 106, 0, 0
1, Run: 096, P, 104, 0, 0
1, Run: 097, P, 122, 0, 0
1, Run: 098, P, 100, 0, 0
1, Run: 099, P, 91, 0, 0
1, Run: 100, P, 114, 0, 0
10, Run: 001, P, 89, 0, 0
10, Run: 002, P, 95, 0, 0
10, Run: 003, P, 106, 0, 0
10, Run: 004, P, 97, 0, 0
10, Run: 005, P, 115, 0, 0
10, Run: 006, P, 113, 0, 0
10, Run: 007, P, 107, 0, 0
10, Run: 008, P, 90, 0, 0
10, Run: 009, P, 109, 0, 0
10, Run: 010, P, 102, 0, 0
10, Run: 011, P, 126, 0, 0
10, Run: 012, P, 105, 0, 0
10, Run: 013, P, 105, 0, 0
10, Run: 014, P, 108, 0, 0
10, Run: 015, P, 127, 0, 0
10, Run: 016, P, 109, 0, 0
10, Run: 017, P, 127, 0, 0
10, Run: 018, P, 126, 0, 0
10, Run: 019, P, 106, 0, 0
10, Run: 020, P, 106, 0, 0
10, Run: 021, P, 93, 0, 0
10, Run: 022, P, 114, 0, 0
10, Run: 023, P, 115, 0, 0
10, Run: 024, P, 113, 0, 0
10, Run: 025, P, 106, 0, 0
10, Run: 026, P, 101, 0, 0
10, Run: 027, P, 131, 0, 0
10, Run: 028, P, 95, 0, 0
10, Run: 029, P, 115, 0, 0
10, Run: 030, P, 106, 0, 0
10, Run: 031, P, 97, 0, 0
10, Run: 032, P, 109, 0, 0
10, Run: 033, P, 103, 0, 0
10, Run: 034, P, 112, 0, 0
10, Run: 035, P, 108, 0, 0
10, Run: 036, P, 124, 0, 0
10, Run: 037, P, 107, 0, 0
10, Run: 038, P, 88, 0, 0
10, Run: 039, P, 122, 0, 0
10, Run: 040, P, 99, 0, 0
10, Run: 041, P, 113, 0, 0
10, Run: 042, P, 102, 0, 0
10, Run: 043, P, 101, 0, 0
10, Run: 044, P, 107, 0, 0
10, Run: 045, P, 107, 0, 0
10, Run: 046, P, 90, 0, 0
10, Run: 047, P, 95, 0, 0
10, Run: 048, P, 95, 0, 0
10, Run: 049, P, 96, 0, 0
10, Run: 050, P, 128, 0, 0
10, Run: 051, P, 101, 0, 0
10, Run: 052, P, 97, 0, 0
10, Run: 053, P, 90, 0, 0
10, Run: 054, P, 97, 0, 0
10, Run: 055, P, 112, 0, 0
10, Run: 056, P, 109, 0, 0
10, Run: 057, P, 102, 0, 0
10, Run: 058, P, 114, 0, 0
10, Run: 059, P, 119, 0, 0
10, Run: 060, P, 132, 0, 0
10, Run: 061, P, 94, 0, 0
10, Run: 062, P, 108, 0, 0
10, Run: 063, P, 124, 0, 0
10, Run: 064, P, 93, 0, 0
10, Run: 065, P, 87, 0, 0
10, Run: 066, P, 118, 0, 0
10, Run: 067, P, 105, 0, 0
10, Run: 068, P, 114, 0, 0
10, Run: 069, P, 114, 0, 0
10, Run: 070, P, 129, 0, 0
10, Run: 071, P, 107, 0, 0
10, Run: 072, P, 106, 0, 0
10, Run: 073, P, 100, 0, 0
10, Run: 074, P, 118, 0, 0
10, Run: 075, P, 110, 0, 0
10, Run: 076, P, 98, 0, 0
10, Run: 077, P, 90, 0, 0
10, Run: 078, P, 108, 0, 0
10, Run: 079, P, 107, 0, 0
10, Run: 080, P, 101, 0, 0
10, Run: 081, P, 102, 0, 0
10, Run: 082, P, 108, 0, 0
10, Run: 083, P, 121, 0, 0
10, Run: 084, P, 114, 0, 0
10, Run: 085, P, 107, 0, 0
10, Run: 086, P, 112, 0, 0
10, Run: 087, P, 116, 0, 0
10, Run: 088, P, 113, 0, 0
10, Run: 089, P, 101, 0, 0
10, Run: 090, P, 110, 0, 0
10, Run: 091, P, 97, 0, 0
10, Run: 092, P, 122, 0, 0
10, Run: 093, P, 113, 0, 0
10, Run: 094, P, 112, 0, 0
10, Run: 095, P, 107, 0, 0
10, Run: 096, P, 111, 0, 0
10, Run: 097, P, 120, 0, 0
10, Run: 098, P, 111, 0, 0
10, Run: 099, P, 103, 0, 0
10, Run: 100, P, 102, 0, 0
11, Run: 001, P, 107, 0, 0
11, Run: 002, P, 91, 0, 0
11, Run: 003, P, 109, 0, 0
11, Run: 004, P, 110, 0, 0
11, Run: 005, P, 134, 0, 0
11, Run: 006, P, 126, 0, 0
11, Run: 007, P, 124, 0, 0
11, Run: 008, P, 126, 0, 0
11, Run: 009, P, 143, 0, 0
11, Run: 010, P, 152, 0, 0
11, Run: 011, P, 106, 0, 0
11, Run: 012, P, 120, 0, 0
11, Run: 013, P, 95, 0, 0
11, Run: 014, P, 115, 0, 0
11, Run: 015, P, 140, 0, 0
11, Run: 016, P, 100, 0, 0
11, Run: 017, P, 115, 0, 0
11, Run: 018, P, 110, 0, 0
11, Run: 019, P, 123, 0, 0
11, Run: 020, P, 149, 0, 0
11, Run: 021, P, 112, 0, 0
11, Run: 022, P, 106, 0, 0
11, Run: 023, P, 126, 0, 0
11, Run: 024, P, 114, 0, 0
11, Run: 025, P, 101, 0, 0
11, Run: 026, P, 97, 0, 0
11, Run: 027, P, 105, 0, 0
11, Run: 028, P, 143, 0, 0
11, Run: 029, P, 131, 0, 0
11, Run: 030, P, 139, 0, 0
11, Run: 031, P, 128, 0, 0
11, Run: 032, P, 109, 0, 0
11, Run: 033, P, 88, 0, 0
11, Run: 034, P, 115, 0, 0
