Input Number, Run_Number, Result@ 100, A1, F1, F1P, F2, F2P, Y
1, Run: 057, F, 19, 0, 5, 5, 0, 0
1, Run: 058, F, 20, 0, 5, 5, 0, 0
1, Run: 059, F, 19, 0, 5, 5, 0, 0
1, Run: 060, F, 19, 0, 5, 5, 0, 0
1, Run: 061, F, 19, 0, 5, 5, 0, 0
1, Run: 062, F, 19, 0, 5, 5, 0, 0
1, Run: 063, F, 19, 0, 5, 5, 0, 0
1, Run: 064, F, 19, 0, 5, 5, 0, 0
1, Run: 065, F, 20, 0, 5, 5, 0, 0
1, Run: 066, F, 19, 0, 5, 5, 0, 0
1, Run: 067, F, 19, 0, 5, 5, 0, 0
1, Run: 068, F, 19, 0, 5, 5, 0, 0
1, Run: 069, F, 20, 0, 5, 5, 0, 0
1, Run: 070, F, 19, 0, 5, 5, 0, 0
1, Run: 071, F, 19, 0, 5, 5, 0, 0
1, Run: 072, F, 19, 0, 5, 5, 0, 0
1, Run: 073, F, 19, 0, 5, 5, 0, 0
1, Run: 074, F, 19, 0, 5, 5, 0, 0
1, Run: 075, F, 19, 0, 5, 5, 0, 0
1, Run: 076, F, 19, 0, 5, 5, 0, 0
1, Run: 077, F, 19, 0, 5, 5, 0, 0
1, Run: 078, F, 20, 0, 5, 5, 0, 0
1, Run: 079, F, 20, 0, 5, 5, 0, 0
1, Run: 080, F, 19, 0, 5, 5, 0, 0
1, Run: 081, F, 19, 0, 5, 5, 0, 0
1, Run: 082, F, 19, 0, 5, 5, 0, 0
1, Run: 083, F, 20, 0, 5, 5, 0, 0
1, Run: 084, F, 19, 0, 5, 5, 0, 0
1, Run: 085, F, 19, 0, 5, 5, 0, 0
1, Run: 086, F, 20, 0, 5, 5, 0, 0
1, Run: 087, F, 19, 0, 5, 5, 0, 0
1, Run: 088, F, 19, 0, 5, 5, 0, 0
1, Run: 089, F, 19, 0, 5, 5, 0, 0
1, Run: 090, F, 20, 0, 5, 5, 0, 0
1, Run: 091, F, 19, 0, 5, 5, 0, 0
1, Run: 092, F, 19, 0, 5, 5, 0, 0
1, Run: 093, F, 19, 0, 5, 5, 0, 0
1, Run: 094, F, 20, 0, 5, 5, 0, 0
1, Run: 095, F, 19, 0, 5, 5, 0, 0
1, Run: 096, F, 20, 0, 5, 5, 0, 0
1, Run: 097, F, 20, 0, 5, 5, 0, 0
1, Run: 098, F, 19, 0, 5, 5, 0, 0
1, Run: 099, F, 20, 0, 5, 5, 0, 0
1, Run: 100, F, 19, 0, 5, 5, 0, 0
10, Run: 001, F, 2, 0, 5, 5, 0, 0
10, Run: 002, F, 0, 0, 5, 5, 0, 0
10, Run: 003, F, 2, 0, 5, 5, 0, 0
10, Run: 004, F, 3, 0, 5, 5, 0, 0
10, Run: 005, F, 2, 0, 5, 5, 0, 0
10, Run: 006, F, 2, 0, 5, 5, 0, 0
10, Run: 007, F, 2, 0, 5, 5, 0, 0
10, Run: 008, F, 1, 0, 5, 5, 0, 0
10, Run: 009, F, 4, 0, 5, 5, 0, 0
10, Run: 010, F, 1, 0, 5, 5, 0, 0
10, Run: 011, F, 2, 0, 5, 5, 0, 0
10, Run: 012, F, 1, 0, 5, 5, 0, 0
10, Run: 013, F, 2, 0, 5, 5, 0, 0
10, Run: 014, F, 1, 0, 5, 5, 0, 0
10, Run: 015, F, 3, 0, 5, 5, 0, 0
10, Run: 016, F, 2, 0, 5, 5, 0, 0
10, Run: 017, F, 2, 0, 5, 5, 0, 0
10, Run: 018, F, 1, 0, 5, 5, 0, 0
10, Run: 019, F, 2, 0, 5, 5, 0, 0
10, Run: 020, F, 1, 0, 5, 5, 0, 0
10, Run: 021, F, 2, 0, 5, 5, 0, 0
10, Run: 022, F, 2, 0, 5, 5, 0, 0
10, Run: 023, F, 2, 0, 5, 5, 0, 0
10, Run: 024, F, 3, 0, 5, 5, 0, 0
10, Run: 025, F, 3, 0, 5, 5, 0, 0
10, Run: 026, F, 2, 0, 5, 5, 0, 0
10, Run: 027, F, 1, 0, 5, 5, 0, 0
10, Run: 028, F, 2, 0, 5, 5, 0, 0
10, Run: 029, F, 1, 0, 5, 5, 0, 0
10, Run: 030, F, 3, 0, 5, 5, 0, 0
10, Run: 031, F, 2, 0, 5, 5, 0, 0
10, Run: 032, F, 1, 0, 5, 5, 0, 0
10, Run: 033, F, 1, 0, 5, 5, 0, 0
10, Run: 034, F, 2, 0, 5, 5, 0, 0
10, Run: 035, F, 2, 0, 5, 5, 0, 0
10, Run: 036, F, 3, 0, 5, 5, 0, 0
10, Run: 037, F, 2, 0, 5, 5, 0, 0
10, Run: 038, F, 3, 0, 5, 5, 0, 0
10, Run: 039, F, 2, 0, 5, 5, 0, 0
10, Run: 040, F, 3, 0, 5, 5, 0, 0
10, Run: 041, F, 1, 0, 5, 5, 0, 0
10, Run: 042, F, 1, 0, 5, 5, 0, 0
10, Run: 043, F, 2, 0, 5, 5, 0, 0
10, Run: 044, F, 3, 0, 5, 5, 0, 0
10, Run: 045, F, 2, 0, 5, 5, 0, 0
10, Run: 046, F, 2, 0, 5, 5, 0, 0
10, Run: 047, F, 1, 0, 5, 5, 0, 0
10, Run: 048, F, 2, 0, 5, 5, 0, 0
10, Run: 049, F, 2, 0, 5, 5, 0, 0
10, Run: 050, F, 3, 0, 5, 5, 0, 0
10, Run: 051, F, 1, 0, 5, 5, 0, 0
10, Run: 052, F, 2, 0, 5, 5, 0, 0
10, Run: 053, F, 2, 0, 5, 5, 0, 0
10, Run: 054, F, 3, 0, 5, 5, 0, 0
10, Run: 055, F, 1, 0, 5, 5, 0, 0
10, Run: 056, F, 2, 0, 5, 5, 0, 0
10, Run: 057, F, 3, 0, 5, 5, 0, 0
10, Run: 058, F, 1, 0, 5, 5, 0, 0
10, Run: 059, F, 2, 0, 5, 5, 0, 0
10, Run: 060, F, 2, 0, 5, 5, 0, 0
10, Run: 061, F, 2, 0, 5, 5, 0, 0
10, Run: 062, F, 2, 0, 5, 5, 0, 0
10, Run: 063, F, 1, 0, 5, 5, 0, 0
10, Run: 064, F, 2, 0, 5, 5, 0, 0
10, Run: 065, F, 2, 0, 5, 5, 0, 0
10, Run: 066, F, 2, 0, 5, 5, 0, 0
10, Run: 067, F, 2, 0, 5, 5, 0, 0
10, Run: 068, F, 1, 0, 5, 5, 0, 0
10, Run: 069, F, 2, 0, 5, 5, 0, 0
10, Run: 070, F, 1, 0, 5, 5, 0, 0
10, Run: 071, F, 0, 0, 5, 5, 0, 0
10, Run: 072, F, 3, 0, 5, 5, 0, 0
10, Run: 073, F, 2, 0, 5, 5, 0, 0
