Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 13, 0, 0, 0, 0, 45, 11, 45, 0, 0, 4, 18, 15, 82, 7, 4, 3, 11, 18, 27, 15, 127
INVAR-1, Run: 002, P, 0, 52, 0, 0, 0, 2, 8, 9, 6, 0, 0, 4, 18, 16, 81, 7, 4, 3, 11, 18, 27, 18, 87
INVAR-1, Run: 003, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 15, 55, 7, 2, 4, 11, 18, 27, 26, 55
INVAR-1, Run: 004, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0, 2, 18, 19, 93, 8, 5, 2, 10, 18, 27, 29, 93
INVAR-1, Run: 005, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 24, 68, 6, 3, 2, 12, 18, 27, 36, 68
INVAR-1, Run: 006, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 13, 69, 7, 5, 1, 11, 18, 27, 24, 69
INVAR-1, Run: 007, P, 0, 23, 0, 0, 0, 0, 37, 12, 37, 0, 0, 6, 18, 22, 66, 6, 3, 3, 12, 18, 27, 22, 103
INVAR-1, Run: 008, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 5, 20, 7, 1, 5, 11, 18, 27, 16, 20
INVAR-1, Run: 009, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0, 2, 18, 27, 120, 8, 4, 3, 10, 18, 27, 37, 120
INVAR-1, Run: 010, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 15, 49, 6, 2, 3, 12, 18, 27, 27, 49
INVAR-1, Run: 011, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0, 2, 18, 25, 102, 8, 5, 2, 10, 18, 27, 35, 102
INVAR-1, Run: 012, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 49, 278, 6, 5, 0, 12, 18, 27, 61, 278
INVAR-1, Run: 013, P, 0, 45, 0, 0, 0, 0, 17, 13, 17, 0, 0, 8, 18, 39, 77, 5, 3, 2, 13, 18, 27, 39, 94
INVAR-1, Run: 014, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 19, 42, 7, 6, 0, 11, 18, 27, 30, 42
INVAR-1, Run: 015, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 21, 114, 7, 5, 1, 11, 18, 27, 32, 114
INVAR-1, Run: 016, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 18, 109, 7, 4, 2, 11, 18, 27, 29, 109
INVAR-1, Run: 017, P, 0, 27, 0, 0, 0, 0, 35, 13, 35, 0, 0, 8, 18, 9, 37, 5, 3, 2, 13, 18, 27, 9, 72
INVAR-1, Run: 018, P, 0, 4, 0, 0, 0, 0, 54, 11, 54, 0, 0, 4, 18, 8, 40, 7, 3, 4, 11, 18, 27, 8, 94
INVAR-1, Run: 019, P, 0, 26, 0, 0, 0, 0, 34, 12, 34, 0, 0, 6, 18, 15, 32, 6, 4, 2, 12, 18, 27, 15, 66
