Input Number, Run_Number, Result@ 100, H, PO, X1, M, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 047, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 20, 167, 12, 10, 1, 6, 18, 27, 26, 167
INVAR-1, Run: 048, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 11, 120, 12, 7, 4, 6, 18, 27, 17, 120
INVAR-1, Run: 049, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 12, 82, 12, 5, 6, 6, 18, 27, 18, 82
INVAR-1, Run: 050, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 12, 123, 12, 10, 1, 6, 18, 27, 18, 123
INVAR-1, Run: 051, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 13, 73, 12, 5, 6, 6, 18, 27, 19, 73
INVAR-1, Run: 052, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 5, 127, 11, 6, 4, 7, 18, 27, 12, 127
INVAR-1, Run: 053, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 10, 125, 11, 8, 2, 7, 18, 27, 17, 125
INVAR-1, Run: 054, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 23, 145, 11, 5, 5, 7, 18, 27, 30, 145
INVAR-1, Run: 055, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 15, 86, 10, 9, 0, 8, 18, 27, 23, 86
INVAR-1, Run: 056, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 13, 159, 11, 9, 1, 7, 18, 27, 20, 159
INVAR-1, Run: 057, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 9, 96, 12, 9, 2, 6, 18, 27, 15, 96
INVAR-1, Run: 058, P, 0, 0, 0, 0, 4, 4, 0, 0, 1, 54, 0, 10, 18, 22, 197, 14, 8, 5, 4, 18, 27, 26, 197
INVAR-1, Run: 059, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 12, 164, 12, 7, 4, 6, 18, 27, 18, 164
INVAR-1, Run: 060, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 21, 142, 12, 6, 5, 6, 18, 27, 27, 142
INVAR-1, Run: 061, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 5, 93, 13, 10, 2, 5, 18, 27, 10, 93
INVAR-1, Run: 062, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 21, 220, 11, 10, 0, 7, 18, 27, 28, 220
INVAR-1, Run: 063, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 16, 102, 12, 7, 4, 6, 18, 27, 22, 102
INVAR-1, Run: 064, P, 0, 0, 0, 0, 4, 4, 0, 0, 1, 54, 0, 10, 18, 12, 136, 14, 8, 5, 4, 18, 27, 16, 136
INVAR-1, Run: 065, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 16, 135, 10, 5, 4, 8, 18, 27, 24, 135
INVAR-1, Run: 066, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 7, 89, 13, 6, 6, 5, 18, 27, 12, 89
INVAR-1, Run: 067, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 18, 149, 12, 5, 6, 6, 18, 27, 24, 149
INVAR-1, Run: 068, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 6, 81, 10, 6, 3, 8, 18, 27, 14, 81
INVAR-1, Run: 069, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 11, 142, 10, 7, 2, 8, 18, 27, 19, 142
INVAR-1, Run: 070, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 14, 162, 13, 5, 7, 5, 18, 27, 19, 162
INVAR-1, Run: 071, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 27, 192, 13, 8, 4, 5, 18, 27, 32, 192
INVAR-1, Run: 072, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 8, 60, 11, 6, 4, 7, 18, 27, 15, 60
INVAR-1, Run: 073, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 9, 121, 12, 7, 4, 6, 18, 27, 15, 121
INVAR-1, Run: 074, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 11, 130, 11, 9, 1, 7, 18, 27, 18, 130
INVAR-1, Run: 075, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 18, 186, 12, 4, 7, 6, 18, 27, 24, 186
INVAR-1, Run: 076, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 19, 146, 11, 6, 4, 7, 18, 27, 26, 146
INVAR-1, Run: 077, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 14, 228, 13, 7, 5, 5, 18, 27, 19, 228
INVAR-1, Run: 078, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 25, 160, 11, 6, 4, 7, 18, 27, 32, 160
INVAR-1, Run: 079, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 10, 132, 13, 7, 5, 5, 18, 27, 15, 132
INVAR-1, Run: 080, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 22, 92, 11, 5, 5, 7, 18, 27, 29, 92
INVAR-1, Run: 081, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 8, 115, 11, 8, 2, 7, 18, 27, 15, 115
INVAR-1, Run: 082, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 29, 249, 11, 9, 1, 7, 18, 27, 36, 249
INVAR-1, Run: 083, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 9, 146, 11, 6, 4, 7, 18, 27, 16, 146
INVAR-1, Run: 084, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 14, 186, 10, 4, 5, 8, 18, 27, 22, 186
INVAR-1, Run: 085, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 19, 124, 12, 8, 3, 6, 18, 27, 25, 124
INVAR-1, Run: 086, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 11, 66, 11, 5, 5, 7, 18, 27, 18, 66
INVAR-1, Run: 087, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 22, 134, 13, 7, 5, 5, 18, 27, 27, 134
INVAR-1, Run: 088, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 12, 165, 13, 10, 2, 5, 18, 27, 17, 165
INVAR-1, Run: 089, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 15, 152, 11, 7, 3, 7, 18, 27, 22, 152
INVAR-1, Run: 090, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 10, 90, 12, 6, 5, 6, 18, 27, 16, 90
INVAR-1, Run: 091, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 21, 200, 13, 6, 6, 5, 18, 27, 26, 200
INVAR-1, Run: 092, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 13, 120, 11, 8, 2, 7, 18, 27, 20, 120
INVAR-1, Run: 093, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 15, 146, 12, 9, 2, 6, 18, 27, 21, 146
INVAR-1, Run: 094, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 10, 108, 13, 6, 6, 5, 18, 27, 15, 108
INVAR-1, Run: 095, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 20, 173, 12, 9, 2, 6, 18, 27, 26, 173
INVAR-1, Run: 096, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 9, 202, 13, 6, 6, 5, 18, 27, 14, 202
INVAR-1, Run: 097, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 11, 155, 12, 7, 4, 6, 18, 27, 17, 155
INVAR-1, Run: 098, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 15, 57, 12, 7, 4, 6, 18, 27, 21, 57
INVAR-1, Run: 099, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 18, 94, 11, 5, 5, 7, 18, 27, 25, 94
INVAR-1, Run: 100, P, 0, 0, 0, 0, 4, 4, 0, 0, 1, 54, 0, 10, 18, 14, 173, 14, 9, 4, 4, 18, 27, 18, 173
INVAR-10, Run: 001, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 638, 4717, 110, 70, 39, 90, 200, 300, 728, 4717
INVAR-10, Run: 002, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 805, 5881, 108, 74, 33, 92, 200, 300, 897, 5881
INVAR-10, Run: 003, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 849, 4806, 108, 63, 44, 92, 200, 300, 941, 4806
INVAR-10, Run: 004, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 821, 5848, 109, 69, 39, 91, 200, 300, 912, 5848
INVAR-10, Run: 005, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 833, 5598, 110, 76, 33, 90, 200, 300, 923, 5598
INVAR-10, Run: 006, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 918, 5474, 108, 71, 36, 92, 200, 300, 1010, 5474
