Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 75, 4, 4, 75, 9, 3, 5, 5, 11, 18, 94, 49
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7, 2, 18, 77, 7, 7, 77, 9, 4, 4, 7, 10, 18, 60, 31
INVAR-1, Run: 032, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 104, 4, 4, 104, 9, 5, 3, 4, 11, 18, 48, 26
INVAR-1, Run: 033, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 97, 6, 6, 97, 9, 4, 4, 6, 10, 18, 160, 81
INVAR-1, Run: 034, P, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3, 5, 18, 53, 6, 4, 53, 9, 2, 6, 3, 11, 18, 34, 19
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 51, 6, 6, 51, 9, 4, 4, 3, 12, 18, 174, 90
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 103, 5, 5, 103, 9, 7, 1, 5, 11, 18, 56, 30
INVAR-1, Run: 037, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 92, 4, 4, 92, 9, 6, 2, 6, 10, 18, 146, 74
INVAR-1, Run: 038, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 70, 3, 3, 70, 9, 4, 4, 6, 10, 18, 60, 31
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 148, 5, 5, 148, 9, 7, 1, 5, 11, 18, 142, 73
INVAR-1, Run: 040, P, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3, 5, 18, 128, 7, 5, 128, 9, 5, 3, 3, 11, 18, 156, 80
INVAR-1, Run: 041, P, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5, 3, 18, 58, 7, 5, 58, 9, 6, 2, 5, 10, 18, 128, 65
INVAR-1, Run: 042, P, 0, 1, 0, 0, 0, 0, 54, 0, 2, 1, 2, 7, 1, 18, 96, 6, 4, 96, 9, 4, 4, 7, 9, 18, 94, 47
INVAR-1, Run: 043, P, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3, 5, 18, 25, 8, 6, 25, 9, 3, 5, 3, 11, 18, 32, 18
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 156, 3, 3, 156, 9, 7, 1, 3, 12, 18, 92, 49
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2, 6, 2, 18, 66, 5, 3, 66, 9, 5, 3, 6, 10, 18, 106, 54
INVAR-1, Run: 046, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 68, 8, 8, 68, 9, 4, 4, 4, 11, 18, 72, 38
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 80, 5, 5, 80, 9, 4, 4, 5, 11, 18, 120, 62
INVAR-1, Run: 048, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 71, 6, 6, 71, 9, 8, 0, 6, 10, 18, 32, 17
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 63, 5, 5, 63, 9, 6, 2, 3, 12, 18, 62, 34
INVAR-1, Run: 050, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 117, 3, 3, 117, 9, 4, 4, 4, 11, 18, 78, 41
INVAR-1, Run: 051, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 120, 8, 8, 120, 9, 6, 2, 4, 11, 18, 54, 29
INVAR-1, Run: 052, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 130, 8, 8, 130, 9, 3, 5, 6, 10, 18, 94, 48
INVAR-1, Run: 053, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 126, 7, 7, 126, 9, 4, 4, 6, 10, 18, 70, 36
INVAR-1, Run: 054, P, 0, 1, 0, 0, 0, 0, 54, 0, 0, 1, 0, 8, 1, 18, 115, 12, 12, 115, 9, 6, 2, 8, 9, 18, 68, 34
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 142, 9, 9, 142, 9, 4, 4, 3, 12, 18, 252, 129
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 56, 2, 2, 56, 9, 4, 4, 5, 11, 18, 140, 72
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7, 2, 18, 130, 13, 13, 130, 9, 3, 5, 7, 10, 18, 158, 80
INVAR-1, Run: 058, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 90, 3, 3, 90, 9, 6, 2, 6, 10, 18, 80, 41
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7, 2, 18, 100, 3, 3, 100, 9, 5, 3, 7, 10, 18, 96, 49
INVAR-1, Run: 060, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 67, 2, 2, 67, 9, 5, 3, 4, 11, 18, 46, 25
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 4, 18, 101, 6, 4, 101, 9, 6, 2, 4, 11, 18, 346, 175
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 34, 5, 5, 34, 9, 3, 5, 5, 11, 18, 74, 39
INVAR-1, Run: 063, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 55, 6, 6, 55, 9, 3, 5, 4, 11, 18, 94, 49
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 4, 18, 43, 5, 3, 43, 9, 5, 3, 4, 11, 18, 28, 16
INVAR-1, Run: 065, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 164, 4, 4, 164, 9, 6, 2, 4, 11, 18, 116, 60
INVAR-1, Run: 066, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 123, 1, 1, 123, 9, 6, 2, 4, 11, 18, 86, 45
INVAR-1, Run: 067, P, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2, 7, 18, 95, 3, 3, 95, 9, 5, 3, 2, 12, 18, 134, 70
INVAR-1, Run: 068, P, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3, 5, 18, 75, 7, 5, 75, 9, 7, 1, 3, 11, 18, 74, 39
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 116, 6, 6, 116, 9, 4, 4, 5, 11, 18, 104, 54
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 173, 5, 5, 173, 9, 4, 4, 5, 11, 18, 88, 46
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 52, 5, 5, 52, 9, 5, 3, 3, 12, 18, 364, 185
INVAR-1, Run: 072, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 97, 5, 5, 97, 9, 5, 3, 4, 11, 18, 116, 60
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 159, 12, 12, 159, 9, 7, 1, 5, 11, 18, 180, 92
INVAR-1, Run: 074, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 98, 3, 3, 98, 9, 6, 2, 4, 11, 18, 102, 53
INVAR-1, Run: 075, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 50, 6, 6, 50, 9, 6, 2, 6, 10, 18, 60, 31
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 102, 7, 7, 102, 9, 6, 2, 5, 11, 18, 68, 36
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 96, 0, 0, 96, 9, 7, 1, 5, 11, 18, 50, 27
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 122, 5, 5, 122, 9, 5, 3, 5, 11, 18, 200, 102
INVAR-1, Run: 079, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 111, 2, 2, 111, 9, 7, 1, 4, 11, 18, 132, 68
INVAR-1, Run: 080, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 80, 3, 3, 80, 9, 2, 6, 6, 10, 18, 58, 30
INVAR-1, Run: 081, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 87, 7, 7, 87, 9, 4, 4, 6, 10, 18, 64, 33
INVAR-1, Run: 082, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 75, 4, 4, 75, 9, 4, 4, 5, 11, 18, 276, 140
INVAR-1, Run: 083, P, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5, 3, 18, 55, 8, 6, 55, 9, 6, 2, 5, 10, 18, 46, 24
INVAR-1, Run: 084, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 210, 2, 2, 210, 9, 6, 2, 3, 12, 18, 88, 47
INVAR-1, Run: 085, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 57, 4, 4, 57, 9, 8, 0, 4, 11, 18, 84, 44
INVAR-1, Run: 086, P, 0, 1, 0, 0, 0, 0, 54, 0, 0, 1, 0, 8, 1, 18, 111, 6, 6, 111, 9, 4, 4, 8, 9, 18, 182, 91
INVAR-1, Run: 087, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 122, 8, 8, 122, 9, 2, 6, 4, 11, 18, 66, 35
INVAR-1, Run: 088, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 159, 8, 8, 159, 9, 7, 1, 4, 11, 18, 148, 76
INVAR-1, Run: 089, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 116, 0, 0, 116, 9, 8, 0, 5, 11, 18, 114, 59
INVAR-1, Run: 090, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 46, 6, 6, 46, 9, 5, 3, 5, 11, 18, 140, 72
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 91, 3, 3, 91, 9, 5, 3, 5, 11, 18, 110, 57
INVAR-1, Run: 092, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 42, 3, 3, 42, 9, 5, 3, 6, 10, 18, 78, 40
INVAR-1, Run: 093, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 56, 2, 2, 56, 9, 3, 5, 3, 12, 18, 74, 40
INVAR-1, Run: 094, P, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2, 7, 18, 35, 5, 5, 35, 9, 6, 2, 2, 12, 18, 32, 19
INVAR-1, Run: 095, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 122, 2, 2, 122, 9, 3, 5, 6, 10, 18, 98, 50
INVAR-1, Run: 096, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 66, 7, 7, 66, 9, 6, 2, 3, 12, 18, 104, 55
INVAR-1, Run: 097, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 84, 6, 6, 84, 9, 6, 2, 4, 11, 18, 42, 23
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 102, 4, 4, 102, 9, 6, 2, 3, 12, 18, 126, 66
INVAR-1, Run: 099, P, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2, 7, 18, 110, 1, 1, 110, 9, 7, 1, 2, 12, 18, 82, 44
INVAR-1, Run: 100, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 48, 5, 5, 48, 9, 5, 3, 5, 11, 18, 50, 27
INVAR-10, Run: 001, P, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 3827, 42, 42, 3827, 100, 68, 31, 51, 124, 200, 3346, 1697
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 0, 558, 0, 2, 1, 2, 57, 42, 200, 2967, 47, 45, 2967, 100, 55, 44, 57, 121, 200, 4884, 2463
INVAR-10, Run: 003, P, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53, 47, 200, 3865, 46, 46, 3865, 100, 61, 38, 53, 123, 200, 4740, 2393
INVAR-10, Run: 004, P, 0, 0, 0, 0, 0, 0, 544, 0, 0, 1, 0, 44, 56, 200, 4641, 55, 55, 4641, 100, 70, 29, 44, 128, 200, 4162, 2109
INVAR-10, Run: 005, P, 0, 0, 0, 0, 0, 0, 546, 0, 0, 1, 0, 46, 54, 200, 4462, 52, 52, 4462, 100, 65, 34, 46, 127, 200, 3736, 1895
INVAR-10, Run: 006, P, 0, 1, 0, 0, 0, 0, 558, 0, 0, 1, 0, 57, 43, 200, 4797, 41, 41, 4797, 100, 66, 33, 57, 121, 200, 4930, 2486
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 0, 548, 0, 0, 1, 0, 48, 52, 200, 4280, 46, 46, 4280, 100, 74, 25, 48, 126, 200, 5424, 2738
INVAR-10, Run: 008, P, 0, 1, 0, 0, 0, 0, 552, 0, 2, 1, 2, 50, 49, 200, 3496, 38, 36, 3496, 100, 62, 37, 50, 124, 200, 3898, 1973
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 0, 546, 0, 0, 1, 0, 46, 54, 200, 3408, 44, 44, 3408, 100, 60, 39, 46, 127, 200, 4430, 2242
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 554, 0, 0, 1, 0, 54, 46, 200, 5393, 40, 40, 5393, 100, 66, 33, 54, 123, 200, 4848, 2447
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 560, 0, 0, 1, 0, 60, 40, 200, 5447, 64, 64, 5447, 100, 62, 37, 60, 120, 200, 4362, 2201
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 0, 552, 0, 2, 1, 2, 51, 48, 200, 4154, 53, 51, 4154, 100, 63, 36, 51, 124, 200, 4862, 2455
INVAR-10, Run: 013, P, 0, 1, 0, 0, 0, 0, 562, 0, 0, 1, 0, 61, 39, 200, 4622, 40, 40, 4622, 100, 66, 33, 61, 119, 200, 5878, 2958
INVAR-10, Run: 014, P, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 4169, 53, 53, 4169, 100, 59, 40, 51, 124, 200, 5074, 2561
INVAR-10, Run: 015, P, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53, 47, 200, 5388, 58, 58, 5388, 100, 61, 38, 53, 123, 200, 3942, 1994
INVAR-10, Run: 016, P, 0, 0, 0, 0, 0, 0, 546, 0, 0, 1, 0, 46, 54, 200, 4675, 42, 42, 4675, 100, 70, 29, 46, 127, 200, 3982, 2018
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 0, 548, 0, 0, 1, 0, 48, 52, 200, 4621, 52, 52, 4621, 100, 62, 37, 48, 126, 200, 5690, 2871
INVAR-10, Run: 018, P, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 4454, 62, 62, 4454, 100, 61, 38, 51, 124, 200, 4318, 2183
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 0, 548, 0, 0, 1, 0, 48, 52, 200, 4772, 59, 59, 4772, 100, 52, 47, 48, 126, 200, 4324, 2188
INVAR-10, Run: 020, P, 0, 1, 0, 0, 0, 0, 556, 0, 0, 1, 0, 55, 45, 200, 5526, 53, 53, 5526, 100, 65, 34, 55, 122, 200, 5356, 2700
INVAR-10, Run: 021, P, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53, 47, 200, 4644, 45, 45, 4644, 100, 62, 37, 53, 123, 200, 4022, 2034
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 0, 548, 0, 2, 1, 2, 47, 52, 200, 3507, 45, 43, 3507, 100, 54, 45, 47, 126, 200, 4270, 2161
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 0, 550, 0, 0, 1, 0, 50, 50, 200, 4492, 39, 39, 4492, 100, 68, 31, 50, 125, 200, 8060, 4055
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 550, 0, 0, 1, 0, 50, 50, 200, 3891, 49, 49, 3891, 100, 64, 35, 50, 125, 200, 4956, 2503
INVAR-10, Run: 025, P, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 3989, 51, 51, 3989, 100, 58, 41, 51, 124, 200, 2986, 1517
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 0, 558, 0, 0, 1, 0, 58, 42, 200, 4379, 33, 33, 4379, 100, 66, 33, 58, 121, 200, 5898, 2970
INVAR-10, Run: 027, P, 0, 1, 0, 0, 0, 0, 550, 0, 0, 1, 0, 49, 51, 200, 5524, 53, 53, 5524, 100, 61, 38, 49, 125, 200, 5022, 2536
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 0, 542, 0, 0, 1, 0, 42, 58, 200, 3352, 49, 49, 3352, 100, 61, 38, 42, 129, 200, 6068, 3063
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 0, 546, 0, 0, 1, 0, 46, 54, 200, 2626, 55, 55, 2626, 100, 46, 53, 46, 127, 200, 4652, 2353
INVAR-10, Run: 030, P, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47, 53, 200, 4100, 42, 42, 4100, 100, 56, 43, 47, 126, 200, 4384, 2218
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 0, 556, 0, 0, 1, 0, 56, 44, 200, 4896, 61, 61, 4896, 100, 67, 32, 56, 122, 200, 3240, 1642
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 0, 548, 0, 0, 1, 0, 48, 52, 200, 5976, 52, 52, 5976, 100, 59, 40, 48, 126, 200, 8280, 4166
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 0, 552, 0, 2, 1, 2, 51, 48, 200, 3971, 35, 33, 3971, 100, 56, 43, 51, 124, 200, 4868, 2458
INVAR-10, Run: 034, P, 0, 0, 0, 0, 0, 0, 542, 0, 0, 1, 0, 42, 58, 200, 4970, 40, 40, 4970, 100, 68, 31, 42, 129, 200, 4674, 2366
INVAR-10, Run: 035, P, 0, 1, 0, 0, 0, 0, 550, 0, 0, 1, 0, 49, 51, 200, 4343, 41, 41, 4343, 100, 67, 32, 49, 125, 200, 5416, 2733
INVAR-10, Run: 036, P, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53, 47, 200, 3657, 49, 49, 3657, 100, 58, 41, 53, 123, 200, 3406, 1726
INVAR-10, Run: 037, P, 0, 0, 0, 0, 0, 0, 550, 0, 2, 1, 2, 49, 50, 200, 3761, 49, 47, 3761, 100, 58, 41, 49, 125, 200, 7258, 3654
INVAR-10, Run: 038, P, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53, 47, 200, 6421, 51, 51, 6421, 100, 66, 33, 53, 123, 200, 5138, 2592
INVAR-10, Run: 039, P, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 5301, 53, 53, 5301, 100, 49, 50, 51, 124, 200, 4756, 2402
INVAR-10, Run: 040, P, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 4467, 39, 39, 4467, 100, 59, 40, 51, 124, 200, 4112, 2080
INVAR-10, Run: 041, P, 0, 0, 0, 0, 0, 0, 560, 0, 0, 1, 0, 60, 40, 200, 4668, 42, 42, 4668, 100, 59, 40, 60, 120, 200, 4428, 2234
INVAR-10, Run: 042, P, 0, 1, 0, 0, 0, 0, 556, 0, 0, 1, 0, 55, 45, 200, 4353, 33, 33, 4353, 100, 70, 29, 55, 122, 200, 4972, 2508
INVAR-10, Run: 043, P, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53, 47, 200, 4469, 54, 54, 4469, 100, 66, 33, 53, 123, 200, 4748, 2397
INVAR-10, Run: 044, P, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53, 47, 200, 4820, 61, 61, 4820, 100, 57, 42, 53, 123, 200, 4650, 2348
