Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 34, 0, 1, 0, 0, 0, 0, 0, 39, 9, 11, 5, 18, 7, 34, 9, 4, 0, 9, 18, 29, 7, 73
INVAR-1, Run: 002, F, 26, 0, 1, 0, 0, 0, 0, 0, 31, 9, 19, 5, 18, 12, 51, 9, 2, 2, 9, 18, 29, 12, 82
INVAR-1, Run: 003, F, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45, 5, 18, 4, 37, 9, 3, 0, 9, 18, 29, 13, 42
INVAR-1, Run: 004, F, 32, 0, 1, 0, 0, 0, 0, 0, 39, 9, 9, 7, 18, 0, 24, 9, 2, 0, 9, 18, 30, 0, 63
INVAR-1, Run: 005, F, 15, 0, 1, 0, 0, 0, 0, 0, 22, 9, 26, 7, 18, 9, 25, 9, 1, 1, 9, 18, 30, 9, 47
INVAR-1, Run: 006, F, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45, 5, 18, 7, 72, 9, 3, 0, 9, 18, 29, 16, 77
INVAR-1, Run: 007, F, 36, 0, 1, 0, 0, 0, 0, 0, 41, 9, 9, 5, 18, 9, 66, 9, 4, 0, 9, 18, 29, 9, 107
INVAR-1, Run: 008, F, 29, 0, 1, 0, 0, 0, 0, 0, 36, 9, 12, 7, 18, 5, 50, 9, 0, 2, 9, 18, 30, 5, 86
INVAR-1, Run: 009, F, 13, 0, 0, 0, 0, 0, 0, 0, 19, 9, 29, 6, 18, 2, 37, 9, 3, 0, 9, 18, 30, 2, 56
INVAR-1, Run: 010, F, 17, 0, 1, 0, 0, 0, 0, 0, 22, 9, 28, 5, 18, 7, 45, 9, 4, 0, 9, 18, 29, 7, 67
