Input Number, Run_Number, Result@ 100, B, D, X1, H, M, PO, CE, Y, CO, PE, A
4, Run: 001, P, 1, 116, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 002, P, 1, 108, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 003, P, 1, 104, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 004, P, 1, 113, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 005, P, 1, 112, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 006, P, 1, 123, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 007, P, 1, 115, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 008, P, 1, 122, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 009, P, 1, 119, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 010, P, 1, 109, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 011, P, 1, 116, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 012, P, 1, 121, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 013, P, 1, 122, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 014, P, 1, 119, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 015, P, 1, 126, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 016, P, 1, 145, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 017, P, 1, 118, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 018, P, 1, 115, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 019, P, 1, 97, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 020, P, 1, 124, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 021, P, 1, 113, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 022, P, 1, 121, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 023, P, 1, 112, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 024, P, 1, 130, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 025, P, 1, 127, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 026, P, 1, 118, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 027, P, 1, 121, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 028, P, 1, 111, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 029, P, 1, 104, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 030, P, 1, 102, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 031, P, 1, 129, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 032, P, 1, 120, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 033, P, 1, 120, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 034, P, 1, 107, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 035, P, 1, 119, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 036, P, 1, 122, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 037, P, 1, 101, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 038, P, 1, 102, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 039, P, 1, 105, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 040, P, 1, 110, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 041, P, 1, 111, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 042, P, 1, 136, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 043, P, 1, 92, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 044, P, 1, 101, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 045, P, 1, 122, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 046, P, 1, 117, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 047, P, 1, 107, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 048, P, 1, 111, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 049, P, 1, 126, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 050, P, 1, 100, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 051, P, 1, 114, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 052, P, 1, 123, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 053, P, 1, 91, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 054, P, 1, 101, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 055, P, 1, 137, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 056, P, 1, 97, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 057, P, 1, 126, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 058, P, 1, 120, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 059, P, 1, 95, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 060, P, 1, 121, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 061, P, 1, 120, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 062, P, 1, 106, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 063, P, 1, 113, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 064, P, 1, 104, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 065, P, 1, 103, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 066, P, 1, 127, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 067, P, 1, 125, 0, 1, 0, 1, 0, 118, 118, 0, 0
4, Run: 068, P, 1, 116, 0, 1, 0, 1, 0, 118, 118, 0, 0
