Input Number, Run_Number, Result@ 100, B, D, X1, H, M, PO, CE, Y, CO, PE, A
10, Run: 032, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 033, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 034, P, 0, 0, 0, 0, 0, 0, 101, 101, 0, 1, 600
10, Run: 035, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 036, P, 0, 0, 0, 0, 0, 0, 100, 100, 0, 1, 600
10, Run: 037, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 038, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 039, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 040, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 041, P, 0, 0, 0, 0, 0, 0, 109, 109, 0, 1, 600
10, Run: 042, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600
10, Run: 043, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 044, P, 0, 0, 0, 0, 0, 0, 107, 107, 0, 1, 600
10, Run: 045, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 046, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 047, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600
10, Run: 048, P, 0, 0, 0, 0, 0, 0, 110, 110, 0, 1, 600
10, Run: 049, P, 0, 0, 0, 0, 0, 0, 108, 108, 0, 1, 600
10, Run: 050, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 051, P, 0, 0, 0, 0, 0, 0, 107, 107, 0, 1, 600
10, Run: 052, P, 0, 0, 0, 0, 0, 0, 108, 108, 0, 1, 600
10, Run: 053, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 054, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 055, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 056, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 057, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 058, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600
10, Run: 059, P, 0, 0, 0, 0, 0, 0, 101, 101, 0, 1, 600
10, Run: 060, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 061, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600
10, Run: 062, P, 0, 0, 0, 0, 0, 0, 108, 108, 0, 1, 600
10, Run: 063, P, 0, 0, 0, 0, 0, 0, 100, 100, 0, 1, 600
10, Run: 064, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 065, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 066, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 067, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 068, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 069, P, 0, 0, 0, 0, 0, 0, 107, 107, 0, 1, 600
10, Run: 070, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 071, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 072, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 073, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 074, P, 0, 0, 0, 0, 0, 0, 101, 101, 0, 1, 600
10, Run: 075, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600
10, Run: 076, P, 0, 0, 0, 0, 0, 0, 108, 108, 0, 1, 600
10, Run: 077, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 078, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 079, P, 0, 0, 0, 0, 0, 0, 109, 109, 0, 1, 600
10, Run: 080, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 081, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 082, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 083, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 084, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 085, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 086, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 087, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 088, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 089, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 090, P, 0, 0, 0, 0, 0, 0, 109, 109, 0, 1, 600
10, Run: 091, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 092, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 093, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 094, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 095, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 096, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 097, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 098, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 099, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 100, P, 0, 0, 0, 0, 0, 0, 101, 101, 0, 1, 600
2, Run: 001, P, 0, 0, 0, 0, 0, 0, 33, 33, 0, 1, 168
2, Run: 002, P, 0, 0, 0, 0, 0, 0, 35, 35, 0, 1, 168
2, Run: 003, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 004, P, 0, 0, 0, 0, 0, 0, 33, 33, 0, 1, 168
2, Run: 005, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 006, P, 0, 0, 0, 0, 0, 0, 29, 29, 0, 1, 168
2, Run: 007, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 008, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 009, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 010, P, 0, 0, 0, 0, 0, 0, 33, 33, 0, 1, 168
2, Run: 011, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 012, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 013, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 014, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 015, P, 0, 0, 0, 0, 0, 0, 35, 35, 0, 1, 168
2, Run: 016, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 017, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 018, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 019, P, 0, 0, 0, 0, 0, 0, 29, 29, 0, 1, 168
2, Run: 020, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 021, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 022, P, 0, 0, 0, 0, 0, 0, 43, 43, 0, 1, 168
2, Run: 023, P, 0, 0, 0, 0, 0, 0, 34, 34, 0, 1, 168
2, Run: 024, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 025, P, 0, 0, 0, 0, 0, 0, 28, 28, 0, 1, 168
2, Run: 026, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 027, P, 0, 0, 0, 0, 0, 0, 29, 29, 0, 1, 168
2, Run: 028, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 029, P, 0, 0, 0, 0, 0, 0, 33, 33, 0, 1, 168
2, Run: 030, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 031, P, 0, 0, 0, 0, 0, 0, 39, 39, 0, 1, 168
2, Run: 032, P, 0, 0, 0, 0, 0, 0, 28, 28, 0, 1, 168
2, Run: 033, P, 0, 0, 0, 0, 0, 0, 29, 29, 0, 1, 168
2, Run: 034, P, 0, 0, 0, 0, 0, 0, 33, 33, 0, 1, 168
2, Run: 035, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 036, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 037, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 038, P, 0, 0, 0, 0, 0, 0, 34, 34, 0, 1, 168
2, Run: 039, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 040, P, 0, 0, 0, 0, 0, 0, 39, 39, 0, 1, 168
2, Run: 041, P, 0, 0, 0, 0, 0, 0, 34, 34, 0, 1, 168
2, Run: 042, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 043, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 044, P, 0, 0, 0, 0, 0, 0, 28, 28, 0, 1, 168
2, Run: 045, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 046, P, 0, 0, 0, 0, 0, 0, 29, 29, 0, 1, 168
2, Run: 047, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 048, P, 0, 0, 0, 0, 0, 0, 35, 35, 0, 1, 168
2, Run: 049, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 050, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 051, P, 0, 0, 0, 0, 0, 0, 38, 38, 0, 1, 168
2, Run: 052, P, 0, 0, 0, 0, 0, 0, 35, 35, 0, 1, 168
2, Run: 053, P, 0, 0, 0, 0, 0, 0, 28, 28, 0, 1, 168
2, Run: 054, P, 0, 0, 0, 0, 0, 0, 29, 29, 0, 1, 168
2, Run: 055, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 056, P, 0, 0, 0, 0, 0, 0, 33, 33, 0, 1, 168
2, Run: 057, P, 0, 0, 0, 0, 0, 0, 33, 33, 0, 1, 168
2, Run: 058, P, 0, 0, 0, 0, 0, 0, 34, 34, 0, 1, 168
2, Run: 059, P, 0, 0, 0, 0, 0, 0, 28, 28, 0, 1, 168
2, Run: 060, P, 0, 0, 0, 0, 0, 0, 29, 29, 0, 1, 168
2, Run: 061, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 062, P, 0, 0, 0, 0, 0, 0, 28, 28, 0, 1, 168
2, Run: 063, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 064, P, 0, 0, 0, 0, 0, 0, 37, 37, 0, 1, 168
2, Run: 065, P, 0, 0, 0, 0, 0, 0, 34, 34, 0, 1, 168
2, Run: 066, P, 0, 0, 0, 0, 0, 0, 33, 33, 0, 1, 168
2, Run: 067, P, 0, 0, 0, 0, 0, 0, 35, 35, 0, 1, 168
2, Run: 068, P, 0, 0, 0, 0, 0, 0, 34, 34, 0, 1, 168
2, Run: 069, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 070, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 071, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 072, P, 0, 0, 0, 0, 0, 0, 29, 29, 0, 1, 168
2, Run: 073, P, 0, 0, 0, 0, 0, 0, 34, 34, 0, 1, 168
2, Run: 074, P, 0, 0, 0, 0, 0, 0, 37, 37, 0, 1, 168
2, Run: 075, P, 0, 0, 0, 0, 0, 0, 29, 29, 0, 1, 168
2, Run: 076, P, 0, 0, 0, 0, 0, 0, 29, 29, 0, 1, 168
2, Run: 077, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 078, P, 0, 0, 0, 0, 0, 0, 35, 35, 0, 1, 168
2, Run: 079, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 080, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 081, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 082, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 083, P, 0, 0, 0, 0, 0, 0, 36, 36, 0, 1, 168
2, Run: 084, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 085, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 086, P, 0, 0, 0, 0, 0, 0, 35, 35, 0, 1, 168
2, Run: 087, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 088, P, 0, 0, 0, 0, 0, 0, 34, 34, 0, 1, 168
2, Run: 089, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 090, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 091, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 092, P, 0, 0, 0, 0, 0, 0, 32, 32, 0, 1, 168
2, Run: 093, P, 0, 0, 0, 0, 0, 0, 35, 35, 0, 1, 168
2, Run: 094, P, 0, 0, 0, 0, 0, 0, 35, 35, 0, 1, 168
2, Run: 095, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 096, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 097, P, 0, 0, 0, 0, 0, 0, 29, 29, 0, 1, 168
2, Run: 098, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
2, Run: 099, P, 0, 0, 0, 0, 0, 0, 31, 31, 0, 1, 168
2, Run: 100, P, 0, 0, 0, 0, 0, 0, 30, 30, 0, 1, 168
3, Run: 001, P, 0, 0, 0, 0, 0, 0, 88, 88, 0, 1, 492
3, Run: 002, P, 0, 0, 0, 0, 0, 0, 87, 87, 0, 1, 492
3, Run: 003, P, 0, 0, 0, 0, 0, 0, 87, 87, 0, 1, 492
3, Run: 004, P, 0, 0, 0, 0, 0, 0, 85, 85, 0, 1, 492
3, Run: 005, P, 0, 0, 0, 0, 0, 0, 84, 84, 0, 1, 492
3, Run: 006, P, 0, 0, 0, 0, 0, 0, 87, 87, 0, 1, 492
3, Run: 007, P, 0, 0, 0, 0, 0, 0, 86, 86, 0, 1, 492
3, Run: 008, P, 0, 0, 0, 0, 0, 0, 85, 85, 0, 1, 492
3, Run: 009, P, 0, 0, 0, 0, 0, 0, 86, 86, 0, 1, 492
3, Run: 010, P, 0, 0, 0, 0, 0, 0, 83, 83, 0, 1, 492
3, Run: 011, P, 0, 0, 0, 0, 0, 0, 87, 87, 0, 1, 492
3, Run: 012, P, 0, 0, 0, 0, 0, 0, 90, 90, 0, 1, 492
3, Run: 013, P, 0, 0, 0, 0, 0, 0, 86, 86, 0, 1, 492
3, Run: 014, P, 0, 0, 0, 0, 0, 0, 85, 85, 0, 1, 492
3, Run: 015, P, 0, 0, 0, 0, 0, 0, 85, 85, 0, 1, 492
3, Run: 016, P, 0, 0, 0, 0, 0, 0, 86, 86, 0, 1, 492
3, Run: 017, P, 0, 0, 0, 0, 0, 0, 86, 86, 0, 1, 492
3, Run: 018, P, 0, 0, 0, 0, 0, 0, 90, 90, 0, 1, 492
3, Run: 019, P, 0, 0, 0, 0, 0, 0, 84, 84, 0, 1, 492
3, Run: 020, P, 0, 0, 0, 0, 0, 0, 84, 84, 0, 1, 492
3, Run: 021, P, 0, 0, 0, 0, 0, 0, 84, 84, 0, 1, 492
3, Run: 022, P, 0, 0, 0, 0, 0, 0, 87, 87, 0, 1, 492
3, Run: 023, P, 0, 0, 0, 0, 0, 0, 84, 84, 0, 1, 492
