Input Number, Run_Number, Result@ 100, B, D, X1, H, M, PO, CE, Y, CO, PE, A
1, Run: 001, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 002, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 003, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 004, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 005, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54
1, Run: 006, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 007, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 008, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 009, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54
1, Run: 010, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54
1, Run: 011, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 012, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 013, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 014, P, 0, 0, 0, 0, 0, 0, 17, 17, 0, 1, 54
1, Run: 015, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 016, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 017, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 018, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 019, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 020, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 021, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 022, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 023, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 024, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 025, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 026, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 027, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 028, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54
1, Run: 029, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 030, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 031, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54
1, Run: 032, P, 0, 0, 0, 0, 0, 0, 16, 16, 0, 1, 54
1, Run: 033, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 034, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54
1, Run: 035, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 036, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 037, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 038, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 039, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 040, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54
1, Run: 041, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 042, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 043, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54
1, Run: 044, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54
1, Run: 045, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54
1, Run: 046, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 047, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 048, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 049, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 050, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 051, P, 0, 0, 0, 0, 0, 0, 18, 18, 0, 1, 54
1, Run: 052, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54
1, Run: 053, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54
1, Run: 054, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 055, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 056, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 057, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 058, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54
1, Run: 059, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 060, P, 0, 0, 0, 0, 0, 0, 16, 16, 0, 1, 54
1, Run: 061, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 062, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 063, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 064, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54
1, Run: 065, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 066, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 067, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54
1, Run: 068, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54
1, Run: 069, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 070, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54
1, Run: 071, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54
1, Run: 072, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54
1, Run: 073, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54
1, Run: 074, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 075, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 076, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54
1, Run: 077, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 078, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 079, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 080, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 081, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 082, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 083, P, 0, 0, 0, 0, 0, 0, 14, 14, 0, 1, 54
1, Run: 084, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 085, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 086, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54
1, Run: 087, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 088, P, 0, 0, 0, 0, 0, 0, 10, 10, 0, 1, 54
1, Run: 089, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 090, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54
1, Run: 091, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 092, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54
1, Run: 093, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54
1, Run: 094, P, 0, 0, 0, 0, 0, 0, 9, 9, 0, 1, 54
1, Run: 095, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 096, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 097, P, 0, 0, 0, 0, 0, 0, 13, 13, 0, 1, 54
1, Run: 098, P, 0, 0, 0, 0, 0, 0, 12, 12, 0, 1, 54
1, Run: 099, P, 0, 0, 0, 0, 0, 0, 11, 11, 0, 1, 54
1, Run: 100, P, 0, 0, 0, 0, 0, 0, 15, 15, 0, 1, 54
10, Run: 001, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 002, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 003, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 004, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600
10, Run: 005, P, 0, 0, 0, 0, 0, 0, 108, 108, 0, 1, 600
10, Run: 006, P, 0, 0, 0, 0, 0, 0, 108, 108, 0, 1, 600
10, Run: 007, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 008, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 009, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 010, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 011, P, 0, 0, 0, 0, 0, 0, 107, 107, 0, 1, 600
10, Run: 012, P, 0, 0, 0, 0, 0, 0, 109, 109, 0, 1, 600
10, Run: 013, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 014, P, 0, 0, 0, 0, 0, 0, 110, 110, 0, 1, 600
10, Run: 015, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600
10, Run: 016, P, 0, 0, 0, 0, 0, 0, 107, 107, 0, 1, 600
10, Run: 017, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 018, P, 0, 0, 0, 0, 0, 0, 101, 101, 0, 1, 600
10, Run: 019, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 020, P, 0, 0, 0, 0, 0, 0, 102, 102, 0, 1, 600
10, Run: 021, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 022, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 023, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 024, P, 0, 0, 0, 0, 0, 0, 103, 103, 0, 1, 600
10, Run: 025, P, 0, 0, 0, 0, 0, 0, 101, 101, 0, 1, 600
10, Run: 026, P, 0, 0, 0, 0, 0, 0, 101, 101, 0, 1, 600
10, Run: 027, P, 0, 0, 0, 0, 0, 0, 106, 106, 0, 1, 600
10, Run: 028, P, 0, 0, 0, 0, 0, 0, 105, 105, 0, 1, 600
10, Run: 029, P, 0, 0, 0, 0, 0, 0, 104, 104, 0, 1, 600
10, Run: 030, P, 0, 0, 0, 0, 0, 0, 109, 109, 0, 1, 600
10, Run: 031, P, 0, 0, 0, 0, 0, 0, 109, 109, 0, 1, 600
