Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
M6,22,100,0,100,0,0,100
M6,23,100,0,100,0,0,100
M6,24,100,0,100,0,0,100
M6,25,100,0,100,0,0,100
M6,26,100,0,100,0,0,100
M6,27,100,0,100,0,0,100
M6,28,100,0,100,0,0,100
M6,29,100,0,100,0,0,100
M6,3,100,0,100,0,0,100
M6,30,100,0,100,0,0,100
M6,35,100,0,100,0,0,100
M6,36,100,0,100,0,0,100
M6,37,100,0,100,0,0,100
M6,38,100,0,100,0,0,100
M6,39,100,0,100,0,0,100
M6,4,100,0,100,0,0,100
M6,40,100,0,100,0,0,100
M6,41,100,0,100,0,0,100
M6,42,100,0,100,0,0,100
M6,43,100,0,100,0,0,100
M6,5,100,0,100,0,0,100
M6,6,100,0,100,0,0,100
M6,7,100,0,100,0,0,100
M6,8,100,0,100,0,0,100
M6,9,100,0,100,0,0,100
M7,1,100,0,0,0,0,0
M7,10,100,0,0,0,0,0
M7,11,100,0,0,0,0,0
M7,12,100,0,0,0,0,0
M7,13,100,0,0,0,0,0
M7,14,100,0,0,0,0,0
M7,15,100,0,0,0,0,0
M7,17,100,0,0,0,0,0
M7,18,100,0,0,0,0,0
M7,19,100,0,0,0,0,0
M7,2,100,0,0,0,0,0
M7,20,100,0,0,0,0,0
M7,21,100,0,0,0,0,0
M7,22,100,0,0,0,0,0
M7,23,100,0,0,0,0,0
M7,24,100,0,0,0,0,0
M7,25,100,0,0,0,0,0
M7,26,100,0,0,0,0,0
M7,27,100,0,0,0,0,0
M7,28,100,0,0,0,0,0
M7,29,100,0,0,0,0,0
M7,3,100,0,0,0,0,0
M7,30,100,0,0,0,0,0
M7,35,100,0,0,0,0,0
M7,36,100,0,0,0,0,0
M7,37,100,0,0,0,0,0
M7,38,100,0,0,0,0,0
M7,39,100,0,0,0,0,0
M7,4,100,0,0,0,0,0
M7,40,100,0,0,0,0,0
M7,41,100,0,0,0,0,0
M7,42,100,0,0,0,0,0
M7,43,100,0,0,0,0,0
M7,5,100,0,0,0,0,0
M7,6,100,0,0,0,0,0
M7,7,100,0,0,0,0,0
M7,8,100,0,0,0,0,0
M7,9,100,0,0,0,0,0
M8,1,100,0,100,0,0,100
M8,10,100,0,100,0,0,100
M8,11,100,0,100,0,0,100
M8,12,100,0,100,0,0,100
M8,13,100,0,100,0,0,100
M8,14,100,0,100,0,0,100
M8,15,100,0,100,0,0,100
M8,17,100,0,100,0,0,100
M8,18,100,0,100,0,0,100
M8,19,100,0,100,0,0,100
M8,2,100,0,100,0,0,100
M8,20,100,0,100,0,0,100
M8,21,100,0,100,0,0,100
M8,22,100,0,100,0,0,100
M8,23,100,0,100,0,0,100
M8,24,100,0,100,0,0,100
M8,25,100,0,100,0,0,100
M8,26,100,0,100,0,0,100
M8,27,100,0,100,0,0,100
M8,28,100,0,100,0,0,100
M8,29,100,0,100,0,0,100
M8,3,100,0,100,0,0,100
M8,30,100,0,100,0,0,100
M8,35,100,0,100,0,0,100
M8,36,100,0,100,0,0,100
M8,37,100,0,100,0,0,100
M8,38,100,0,100,0,0,100
M8,39,100,0,100,0,0,100
M8,4,100,0,100,0,0,100
M8,40,100,0,100,0,0,100
M8,41,100,0,100,0,0,100
M8,42,100,0,100,0,0,100
M8,43,100,0,100,0,0,100
M8,5,100,0,100,0,0,100
M8,6,100,0,100,0,0,100
M8,7,100,0,100,0,0,100
M8,8,100,0,100,0,0,100
M8,9,100,0,100,0,0,100
M9,1,100,0,100,0,0,100
M9,10,100,0,100,0,0,100
M9,11,100,0,100,0,0,100
M9,12,100,0,100,0,0,100
M9,13,100,0,100,0,0,100
M9,14,100,0,100,0,0,100
M9,15,100,0,100,0,0,100
M9,17,100,0,100,0,0,100
M9,18,100,0,100,0,0,100
M9,19,100,0,100,0,0,100
M9,2,100,0,100,0,0,100
M9,20,100,0,100,0,0,100
M9,21,100,0,100,0,0,100
M9,22,100,0,100,0,0,100
M9,23,100,0,100,0,0,100
M9,24,100,0,100,0,0,100
M9,25,100,0,100,0,0,100
M9,26,100,0,100,0,0,100
M9,27,100,0,100,0,0,100
M9,28,100,0,100,0,0,100
M9,29,100,0,100,0,0,100
M9,3,100,0,100,0,0,100
M9,30,100,0,100,0,0,100
M9,35,100,0,100,0,0,100
M9,36,100,0,100,0,0,100
M9,37,100,0,100,0,0,100
M9,38,100,0,100,0,0,100
M9,39,100,0,100,0,0,100
M9,4,100,0,100,0,0,100
M9,40,100,0,100,0,0,100
M9,41,100,0,100,0,0,100
M9,42,100,0,100,0,0,100
M9,43,100,0,100,0,0,100
M9,5,100,0,100,0,0,100
M9,6,100,0,100,0,0,100
M9,7,100,0,100,0,0,100
M9,8,100,0,100,0,0,100
M9,9,100,0,100,0,0,100
