Input Number, Run_Number, Result@ 100, F, X1, A, B, C, PO, D, CO, Y, PE, CE, E
1, Run: 001, P, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 002, P, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 003, P, 60, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 004, P, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 005, P, 43, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 006, P, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 007, P, 42, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 008, P, 40, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 009, P, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 010, P, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 011, P, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 012, P, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 013, P, 45, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 014, P, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 015, P, 57, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 016, P, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 017, P, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 018, P, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 019, P, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 020, P, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 021, P, 46, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 022, P, 64, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 023, P, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 024, P, 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 025, P, 64, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 026, P, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 027, P, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 028, P, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 029, P, 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 030, P, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 031, P, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 032, P, 49, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 033, P, 50, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 034, P, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 035, P, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 036, P, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 037, P, 50, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 038, P, 48, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 039, P, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 040, P, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 041, P, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 042, P, 58, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 043, P, 60, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 044, P, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 045, P, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 046, P, 37, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 047, P, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 048, P, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 049, P, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 050, P, 46, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 051, P, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 052, P, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 053, P, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 054, P, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 055, P, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 056, P, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 057, P, 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 058, P, 58, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 059, P, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 060, P, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 061, P, 66, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 062, P, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 063, P, 63, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 064, P, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 065, P, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 066, P, 39, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 067, P, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 068, P, 45, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 069, P, 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 070, P, 37, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 071, P, 37, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 072, P, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 073, P, 52, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 074, P, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 075, P, 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 076, P, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 077, P, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 078, P, 41, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 079, P, 64, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 080, P, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 081, P, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 082, P, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 083, P, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 084, P, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 085, P, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 086, P, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 087, P, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 088, P, 55, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 089, P, 60, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 090, P, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 091, P, 35, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 092, P, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 093, P, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 094, P, 48, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
1, Run: 095, P, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 096, P, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
1, Run: 097, P, 53, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
