Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 1, 114, 22, 90, 75, 162, 87, 87, 78, 36, 93, 25, 113, 25, 42, 48, 39, 15, 73, 37, 36, 32, 105, 91, 87, 85, 126, 124, 146, 142, 111, 65, 72, 55, 91, 51, 32, 41, 46, 45, 45, 40, 40, 100, 85, 68, 19, 19
INVAR-1, Run: 002, P, 1, 1, 0, 2, 2, 1, 1, 1, 1, 2, 0, 2, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 114, 22, 93, 105, 196, 108, 107, 119, 50, 77, 28, 113, 28, 68, 44, 31, 18, 72, 26, 26, 11, 83, 105, 67, 67, 97, 96, 111, 110, 115, 72, 69, 30, 103, 29, 38, 29, 42, 31, 30, 31, 31, 106, 87, 73, 23, 23
INVAR-1, Run: 003, P, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 2, 0, 1, 94, 25, 105, 102, 206, 99, 97, 78, 35, 75, 33, 93, 33, 42, 34, 45, 12, 76, 17, 17, 10, 86, 93, 86, 83, 108, 108, 102, 102, 114, 65, 84, 31, 91, 31, 39, 38, 49, 41, 39, 45, 45, 86, 74, 81, 21, 21
INVAR-1, Run: 004, P, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 102, 25, 92, 83, 174, 101, 101, 71, 33, 100, 32, 101, 31, 38, 41, 43, 15, 64, 31, 31, 41, 105, 124, 100, 99, 82, 82, 101, 101, 101, 67, 79, 50, 122, 50, 34, 56, 34, 58, 58, 45, 45, 106, 90, 67, 26, 26
INVAR-1, Run: 005, P, 1, 0, 0, 0, 1, 1, 2, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 1, 2, 1, 0, 0, 0, 1, 104, 29, 96, 110, 205, 98, 96, 95, 42, 105, 27, 104, 26, 53, 53, 26, 20, 75, 28, 28, 21, 95, 127, 106, 106, 87, 85, 76, 75, 79, 50, 49, 37, 125, 37, 21, 51, 27, 51, 51, 27, 27, 102, 81, 67, 23, 23
INVAR-1, Run: 006, P, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 88, 22, 96, 71, 167, 96, 95, 86, 51, 70, 32, 88, 31, 34, 37, 55, 34, 95, 18, 18, 14, 108, 93, 105, 105, 101, 101, 97, 93, 133, 84, 101, 28, 92, 26, 45, 31, 49, 33, 33, 56, 56, 91, 57, 74, 20, 19
INVAR-1, Run: 007, P, 1, 1, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 96, 14, 100, 103, 203, 102, 101, 100, 47, 104, 20, 95, 20, 50, 42, 26, 18, 73, 24, 24, 21, 94, 103, 101, 100, 104, 101, 82, 82, 75, 46, 55, 28, 103, 28, 29, 62, 28, 62, 62, 26, 26, 98, 80, 86, 11, 11
INVAR-1, Run: 008, P, 1, 0, 0, 3, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 3, 1, 0, 2, 0, 0, 0, 1, 1, 1, 106, 41, 103, 88, 189, 97, 97, 109, 43, 95, 91, 106, 90, 66, 42, 72, 35, 70, 19, 18, 16, 86, 129, 93, 90, 111, 111, 122, 118, 144, 105, 141, 32, 127, 30, 67, 50, 39, 53, 52, 74, 73, 131, 96, 65, 40, 40
INVAR-1, Run: 009, P, 1, 2, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 2, 0, 2, 0, 1, 0, 1, 0, 1, 2, 1, 1, 1, 0, 1, 96, 25, 109, 85, 193, 100, 100, 111, 49, 49, 30, 94, 28, 62, 27, 32, 23, 71, 19, 18, 22, 91, 95, 89, 89, 110, 110, 97, 95, 114, 82, 73, 14, 92, 13, 37, 19, 30, 22, 21, 35, 35, 81, 57, 84, 20, 20
INVAR-1, Run: 010, P, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 2, 1, 1, 0, 1, 0, 0, 1, 112, 19, 104, 126, 229, 104, 102, 109, 50, 140, 37, 112, 36, 59, 68, 20, 38, 55, 50, 49, 40, 95, 144, 144, 142, 105, 103, 105, 102, 101, 54, 46, 58, 143, 56, 25, 69, 46, 72, 72, 21, 21, 158, 120, 85, 16, 16
