Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 021, P, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 112, 55, 88, 88, 88, 105, 105, 102, 71, 76, 62, 111, 59, 31, 38, 41, 22, 70, 32, 31, 41, 111, 117, 119, 117, 124, 124, 166, 165, 139, 73, 78, 46, 114, 45, 34, 37, 66, 38, 38, 44, 44, 95, 73, 64, 36, 35
INVAR-1, Run: 022, P, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 90, 6, 82, 82, 82, 82, 81, 72, 51, 66, 13, 90, 12, 21, 26, 31, 16, 79, 21, 21, 29, 106, 84, 101, 98, 87, 87, 68, 68, 88, 50, 63, 21, 83, 21, 30, 40, 38, 40, 40, 33, 33, 86, 70, 99, 10, 9
INVAR-1, Run: 023, P, 1, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 2, 0, 1, 3, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 91, 7, 74, 51, 51, 82, 80, 91, 72, 62, 23, 91, 23, 18, 30, 36, 41, 65, 26, 26, 32, 94, 93, 106, 105, 110, 109, 118, 117, 115, 72, 74, 20, 91, 20, 38, 31, 43, 31, 31, 36, 36, 94, 53, 85, 16, 16
INVAR-1, Run: 024, P, 1, 0, 0, 4, 2, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 107, 15, 69, 98, 96, 102, 101, 94, 72, 65, 37, 107, 36, 21, 36, 33, 22, 82, 25, 24, 18, 100, 97, 106, 106, 109, 107, 106, 104, 95, 47, 67, 33, 95, 32, 32, 28, 47, 29, 29, 35, 34, 109, 86, 79, 24, 24
INVAR-1, Run: 025, P, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 101, 28, 76, 71, 70, 88, 88, 102, 77, 63, 58, 100, 58, 25, 35, 63, 27, 77, 21, 21, 18, 95, 90, 85, 85, 107, 106, 114, 113, 136, 101, 138, 33, 90, 33, 71, 28, 35, 28, 28, 67, 67, 87, 60, 74, 28, 28
INVAR-1, Run: 026, P, 1, 1, 0, 2, 0, 1, 2, 3, 0, 0, 3, 0, 0, 1, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 116, 15, 67, 83, 83, 102, 100, 105, 79, 76, 43, 115, 43, 23, 39, 33, 41, 96, 14, 14, 7, 103, 115, 88, 88, 111, 110, 85, 83, 101, 64, 79, 28, 115, 26, 43, 35, 37, 37, 37, 36, 36, 134, 93, 77, 16, 16
INVAR-1, Run: 027, P, 1, 4, 1, 0, 0, 1, 0, 0, 4, 0, 0, 2, 1, 0, 1, 1, 1, 1, 1, 1, 3, 3, 2, 1, 1, 1, 0, 117, 6, 79, 73, 73, 96, 96, 92, 61, 68, 25, 113, 23, 31, 35, 29, 29, 100, 6, 5, 6, 105, 118, 114, 113, 110, 109, 129, 124, 109, 68, 65, 18, 114, 16, 31, 29, 38, 33, 32, 32, 31, 99, 66, 104, 9, 8
INVAR-1, Run: 028, P, 1, 4, 0, 1, 1, 1, 0, 0, 2, 1, 0, 4, 1, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 1, 1, 1, 1, 103, 20, 77, 101, 100, 95, 95, 104, 69, 73, 31, 99, 30, 35, 38, 41, 33, 89, 9, 8, 14, 102, 119, 101, 99, 96, 96, 88, 87, 109, 69, 80, 20, 114, 19, 37, 31, 40, 34, 33, 43, 42, 113, 78, 93, 22, 22
INVAR-1, Run: 029, P, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 93, 6, 83, 63, 63, 103, 103, 97, 79, 62, 13, 92, 13, 18, 32, 22, 10, 96, 14, 14, 7, 102, 66, 90, 90, 92, 92, 64, 62, 81, 57, 50, 20, 66, 18, 27, 27, 23, 30, 29, 23, 23, 81, 70, 96, 11, 11
INVAR-1, Run: 030, P, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 82, 10, 80, 64, 64, 105, 104, 110, 85, 42, 13, 82, 13, 24, 23, 36, 35, 83, 11, 11, 12, 95, 79, 119, 117, 109, 109, 106, 106, 111, 67, 67, 9, 79, 9, 31, 18, 43, 18, 18, 36, 36, 87, 51, 95, 9, 9
INVAR-1, Run: 031, P, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 1, 0, 1, 3, 0, 0, 3, 1, 1, 1, 0, 0, 1, 2, 0, 0, 119, 23, 81, 77, 76, 87, 87, 80, 62, 88, 17, 118, 16, 18, 45, 28, 42, 96, 7, 7, 2, 95, 131, 95, 92, 88, 87, 70, 69, 63, 42, 42, 8, 129, 8, 13, 39, 21, 42, 40, 29, 29, 127, 82, 77, 16, 15
INVAR-1, Run: 032, P, 1, 2, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 103, 10, 75, 89, 88, 128, 127, 106, 80, 88, 11, 101, 11, 26, 47, 14, 35, 64, 19, 19, 16, 80, 105, 89, 89, 87, 86, 93, 93, 80, 41, 34, 24, 105, 24, 20, 40, 38, 41, 41, 14, 14, 119, 83, 92, 12, 12
INVAR-1, Run: 033, P, 1, 2, 0, 1, 1, 1, 0, 0, 1, 0, 0, 2, 2, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 101, 15, 75, 89, 88, 105, 105, 94, 70, 77, 23, 99, 21, 24, 35, 29, 35, 107, 16, 16, 5, 110, 106, 89, 89, 98, 97, 121, 121, 111, 68, 60, 30, 102, 30, 29, 42, 43, 42, 42, 31, 31, 107, 71, 85, 18, 18
INVAR-1, Run: 034, P, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 2, 2, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 0, 117, 18, 72, 71, 71, 99, 99, 101, 80, 69, 33, 117, 31, 21, 43, 48, 38, 82, 24, 24, 16, 98, 129, 86, 86, 91, 91, 131, 130, 121, 74, 97, 24, 125, 23, 44, 20, 47, 25, 21, 53, 52, 136, 97, 75, 31, 30
INVAR-1, Run: 035, P, 1, 1, 0, 1, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 2, 2, 1, 0, 1, 1, 1, 103, 17, 77, 96, 96, 99, 97, 82, 56, 74, 27, 102, 26, 26, 45, 22, 17, 73, 28, 28, 26, 99, 108, 105, 105, 83, 82, 87, 84, 94, 58, 74, 24, 107, 23, 49, 26, 34, 28, 27, 24, 23, 95, 77, 87, 21, 21
INVAR-1, Run: 036, P, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 1, 1, 92, 12, 76, 78, 78, 99, 97, 112, 75, 35, 20, 91, 20, 35, 16, 17, 21, 95, 20, 20, 23, 117, 93, 114, 112, 105, 104, 104, 104, 78, 41, 38, 15, 91, 15, 20, 18, 37, 19, 19, 18, 17, 73, 52, 99, 18, 18
INVAR-1, Run: 037, P, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 4, 1, 0, 0, 0, 1, 2, 1, 1, 0, 1, 0, 0, 1, 0, 1, 117, 35, 65, 82, 82, 88, 88, 113, 77, 58, 43, 116, 42, 35, 27, 28, 38, 95, 16, 15, 15, 110, 114, 115, 113, 110, 109, 119, 118, 133, 76, 69, 28, 109, 27, 40, 29, 56, 31, 30, 29, 29, 109, 71, 65, 31, 31
INVAR-1, Run: 038, P, 1, 2, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 1, 87, 7, 86, 83, 81, 107, 107, 90, 66, 81, 18, 85, 18, 24, 41, 28, 26, 90, 13, 13, 16, 104, 75, 109, 103, 117, 117, 95, 95, 96, 58, 57, 23, 75, 23, 29, 40, 38, 40, 40, 28, 28, 99, 72, 103, 12, 12
INVAR-1, Run: 039, P, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 3, 0, 2, 1, 2, 0, 1, 0, 0, 2, 0, 0, 85, 10, 62, 69, 69, 88, 87, 103, 69, 50, 16, 85, 15, 33, 17, 40, 26, 68, 20, 20, 17, 84, 79, 75, 73, 107, 105, 122, 119, 98, 70, 69, 23, 78, 20, 28, 27, 27, 32, 30, 41, 41, 80, 54, 86, 13, 12
INVAR-1, Run: 040, P, 1, 2, 1, 1, 3, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 90, 5, 70, 66, 63, 95, 95, 74, 51, 54, 11, 88, 10, 23, 29, 12, 23, 84, 9, 9, 15, 98, 92, 112, 112, 100, 100, 86, 84, 81, 40, 29, 14, 91, 14, 16, 25, 41, 25, 25, 13, 13, 89, 65, 89, 9, 8
INVAR-1, Run: 041, P, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 106, 24, 79, 87, 87, 107, 106, 102, 71, 52, 35, 106, 35, 31, 22, 20, 40, 84, 26, 26, 32, 116, 113, 133, 132, 87, 87, 75, 74, 61, 36, 31, 36, 113, 35, 11, 28, 24, 30, 29, 20, 20, 106, 66, 86, 28, 28
INVAR-1, Run: 042, P, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 3, 1, 2, 3, 1, 0, 0, 0, 0, 1, 95, 24, 79, 93, 93, 114, 113, 98, 67, 57, 32, 94, 32, 30, 17, 42, 23, 71, 27, 27, 34, 103, 65, 94, 91, 88, 86, 102, 99, 91, 56, 76, 38, 65, 38, 34, 40, 34, 40, 40, 42, 42, 72, 49, 85, 26, 26
INVAR-1, Run: 043, P, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 3, 0, 0, 0, 0, 0, 1, 102, 20, 67, 67, 67, 90, 89, 90, 72, 63, 40, 102, 40, 17, 30, 34, 34, 65, 21, 20, 22, 86, 102, 83, 82, 116, 114, 121, 117, 103, 71, 62, 26, 102, 25, 28, 32, 32, 33, 33, 34, 34, 107, 73, 65, 28, 28
INVAR-1, Run: 044, P, 1, 1, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 106, 18, 66, 85, 81, 100, 100, 91, 69, 103, 40, 105, 40, 22, 55, 24, 36, 92, 13, 13, 13, 105, 126, 70, 70, 94, 93, 82, 81, 105, 64, 59, 29, 126, 29, 34, 47, 40, 48, 48, 24, 24, 155, 119, 70, 18, 18
INVAR-1, Run: 045, P, 1, 2, 0, 2, 2, 1, 2, 1, 0, 0, 0, 4, 0, 1, 2, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0, 0, 1, 106, 10, 79, 63, 61, 99, 97, 82, 69, 77, 17, 104, 17, 12, 45, 28, 29, 85, 16, 16, 13, 96, 97, 107, 105, 98, 96, 112, 111, 102, 60, 59, 36, 93, 36, 31, 32, 42, 32, 32, 28, 28, 89, 60, 83, 11, 11
INVAR-1, Run: 046, P, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 102, 3, 88, 73, 73, 85, 85, 84, 61, 78, 6, 102, 6, 23, 38, 33, 21, 91, 22, 22, 12, 102, 89, 114, 113, 97, 96, 91, 90, 92, 66, 50, 34, 88, 34, 17, 40, 25, 40, 40, 33, 33, 96, 75, 109, 6, 6
INVAR-1, Run: 047, P, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 0, 1, 1, 0, 0, 3, 1, 2, 3, 1, 1, 0, 0, 0, 0, 99, 11, 87, 73, 72, 81, 80, 73, 52, 86, 41, 98, 40, 19, 49, 25, 23, 104, 20, 20, 18, 121, 130, 102, 99, 104, 102, 101, 98, 111, 67, 58, 27, 128, 27, 30, 36, 43, 36, 36, 27, 27, 106, 83, 96, 20, 19
INVAR-1, Run: 048, P, 1, 0, 0, 1, 3, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 99, 0, 69, 81, 78, 97, 96, 104, 84, 49, 5, 99, 5, 19, 26, 16, 28, 91, 9, 9, 5, 96, 96, 93, 92, 88, 88, 75, 75, 80, 48, 49, 22, 95, 22, 33, 22, 32, 23, 23, 16, 16, 68, 40, 89, 4, 4
INVAR-1, Run: 049, P, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 102, 25, 76, 66, 66, 100, 99, 117, 91, 46, 22, 102, 21, 25, 30, 30, 31, 74, 23, 23, 23, 96, 99, 117, 116, 94, 94, 119, 119, 127, 72, 78, 25, 97, 25, 47, 16, 55, 16, 16, 31, 31, 93, 62, 77, 19, 19
INVAR-1, Run: 050, P, 1, 2, 0, 2, 3, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 1, 2, 2, 0, 0, 0, 0, 0, 1, 89, 0, 90, 86, 83, 99, 98, 92, 68, 69, 6, 87, 6, 24, 37, 13, 33, 99, 17, 17, 10, 107, 96, 121, 120, 94, 92, 72, 70, 81, 44, 26, 14, 95, 14, 13, 32, 37, 32, 32, 13, 13, 95, 62, 116, 6, 6
INVAR-1, Run: 051, P, 1, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 3, 4, 1, 0, 1, 0, 0, 1, 101, 15, 59, 70, 68, 100, 100, 120, 94, 36, 7, 101, 7, 26, 18, 13, 31, 92, 8, 8, 10, 100, 88, 94, 94, 100, 97, 88, 84, 64, 33, 34, 10, 88, 10, 21, 17, 30, 18, 18, 13, 13, 71, 40, 72, 11, 11
INVAR-1, Run: 052, P, 1, 2, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 3, 0, 1, 4, 1, 0, 1, 0, 0, 3, 2, 0, 1, 82, 15, 59, 53, 53, 99, 99, 91, 75, 72, 37, 80, 37, 16, 32, 47, 31, 87, 31, 30, 29, 113, 84, 85, 81, 119, 119, 129, 127, 132, 90, 96, 44, 83, 43, 49, 33, 42, 39, 37, 47, 47, 88, 55, 60, 19, 19
