Input Number, Run_Number, Result@ 100, CO, X1, A, B, C, PO, D, Y, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 9, 18, 121, 9, 7, 121, 9, 4, 4, 8, 9, 18, 188, 94
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 19, 18, 140, 8, 8, 140, 9, 6, 2, 9, 9, 18, 168, 84
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 11, 18, 88, 8, 6, 88, 9, 4, 4, 8, 9, 18, 182, 91
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 7, 18, 53, 4, 4, 53, 9, 3, 5, 9, 9, 18, 280, 140
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 12, 18, 69, 11, 9, 69, 9, 5, 3, 8, 9, 18, 210, 105
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 17, 18, 77, 1, 1, 77, 9, 6, 2, 9, 9, 18, 306, 153
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 46, 18, 100, 4, 4, 100, 9, 7, 1, 9, 9, 18, 80, 40
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 9, 18, 86, 8, 6, 86, 9, 4, 4, 8, 9, 18, 240, 120
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 7, 18, 87, 9, 7, 87, 9, 6, 2, 8, 9, 18, 16, 8
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 24, 18, 80, 6, 6, 80, 9, 5, 3, 9, 9, 18, 36, 18
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 17, 18, 94, 6, 6, 94, 9, 3, 5, 9, 9, 18, 440, 220
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 11, 18, 69, 5, 3, 69, 9, 6, 2, 8, 9, 18, 54, 27
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 68, 18, 190, 5, 5, 190, 9, 7, 1, 9, 9, 18, 172, 86
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 144, 18, 190, 2, 2, 190, 9, 7, 1, 9, 9, 18, 204, 102
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 33, 18, 101, 13, 11, 101, 9, 5, 3, 8, 9, 18, 62, 31
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 24, 18, 80, 4, 4, 80, 9, 7, 1, 9, 9, 18, 136, 68
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 15, 18, 112, 16, 16, 112, 9, 3, 5, 9, 9, 18, 68, 34
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 77, 18, 124, 9, 9, 124, 9, 5, 3, 9, 9, 18, 476, 238
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 97, 18, 145, 3, 3, 145, 9, 5, 3, 9, 9, 18, 150, 75
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 30, 18, 113, 10, 8, 113, 9, 5, 3, 8, 9, 18, 338, 169
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 17, 18, 127, 6, 6, 127, 9, 4, 4, 9, 9, 18, 112, 56
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 31, 18, 100, 7, 7, 100, 9, 5, 3, 9, 9, 18, 182, 91
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 17, 18, 48, 6, 6, 48, 9, 4, 4, 9, 9, 18, 72, 36
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 59, 18, 194, 8, 8, 194, 9, 6, 2, 9, 9, 18, 150, 75
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 83, 18, 141, 9, 9, 141, 9, 6, 2, 9, 9, 18, 132, 66
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 19, 18, 70, 4, 4, 70, 9, 4, 4, 9, 9, 18, 82, 41
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 49, 18, 165, 6, 6, 165, 9, 5, 3, 9, 9, 18, 62, 31
INVAR-1, Run: 063, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 22, 18, 78, 8, 8, 78, 9, 5, 3, 9, 9, 18, 70, 35
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 18, 50, 8, 6, 50, 9, 6, 2, 8, 9, 18, 54, 27
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 46, 18, 138, 2, 2, 138, 9, 5, 3, 9, 9, 18, 116, 58
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 65, 18, 106, 10, 10, 106, 9, 6, 2, 9, 9, 18, 54, 27
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 63, 18, 190, 5, 5, 190, 9, 7, 1, 9, 9, 18, 56, 28
INVAR-1, Run: 068, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 10, 18, 74, 8, 6, 74, 9, 4, 4, 8, 9, 18, 118, 59
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 59, 18, 114, 9, 9, 114, 9, 3, 5, 9, 9, 18, 202, 101
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 16, 18, 46, 10, 10, 46, 9, 7, 1, 9, 9, 18, 128, 64
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 18, 18, 84, 9, 7, 84, 9, 6, 2, 8, 9, 18, 132, 66
INVAR-1, Run: 072, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 85, 18, 104, 4, 4, 104, 9, 8, 0, 9, 9, 18, 100, 50
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 31, 18, 116, 5, 5, 116, 9, 8, 0, 9, 9, 18, 188, 94
INVAR-1, Run: 074, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 23, 18, 169, 7, 7, 169, 9, 5, 3, 9, 9, 18, 166, 83
INVAR-1, Run: 075, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 12, 18, 126, 6, 4, 126, 9, 5, 3, 8, 9, 18, 78, 39
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 15, 18, 71, 8, 8, 71, 9, 6, 2, 9, 9, 18, 48, 24
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 81, 18, 130, 4, 4, 130, 9, 3, 5, 9, 9, 18, 86, 43
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 51, 18, 111, 7, 7, 111, 9, 7, 1, 9, 9, 18, 186, 93
INVAR-1, Run: 079, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 98, 18, 110, 5, 5, 110, 9, 6, 2, 9, 9, 18, 82, 41
INVAR-1, Run: 080, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 9, 18, 62, 3, 1, 62, 9, 3, 5, 8, 9, 18, 128, 64
INVAR-1, Run: 081, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 17, 18, 42, 11, 9, 42, 9, 4, 4, 8, 9, 18, 54, 27
INVAR-1, Run: 082, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 11, 18, 52, 5, 5, 52, 9, 4, 4, 9, 9, 18, 338, 169
INVAR-1, Run: 083, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 24, 18, 90, 8, 6, 90, 9, 6, 2, 8, 9, 18, 170, 85
INVAR-1, Run: 084, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 171, 18, 105, 5, 3, 105, 9, 4, 4, 8, 9, 18, 86, 43
INVAR-1, Run: 085, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 25, 18, 127, 5, 5, 127, 9, 4, 4, 9, 9, 18, 116, 58
INVAR-1, Run: 086, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 149, 18, 99, 5, 5, 99, 9, 5, 3, 9, 9, 18, 220, 110
INVAR-1, Run: 087, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 29, 18, 86, 5, 5, 86, 9, 7, 1, 9, 9, 18, 96, 48
INVAR-1, Run: 088, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 52, 18, 145, 8, 8, 145, 9, 3, 5, 9, 9, 18, 132, 66
INVAR-1, Run: 089, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 14, 18, 59, 7, 5, 59, 9, 6, 2, 8, 9, 18, 114, 57
INVAR-1, Run: 090, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 150, 18, 78, 6, 6, 78, 9, 4, 4, 9, 9, 18, 84, 42
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 49, 18, 82, 3, 3, 82, 9, 7, 1, 9, 9, 18, 58, 29
INVAR-1, Run: 092, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 126, 18, 123, 5, 5, 123, 9, 5, 3, 9, 9, 18, 96, 48
INVAR-1, Run: 093, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 17, 18, 69, 3, 3, 69, 9, 5, 3, 9, 9, 18, 120, 60
INVAR-1, Run: 094, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 20, 18, 82, 2, 2, 82, 9, 8, 0, 9, 9, 18, 132, 66
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 21, 18, 106, 6, 6, 106, 9, 7, 1, 9, 9, 18, 204, 102
INVAR-1, Run: 096, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 7, 18, 81, 10, 8, 81, 9, 5, 3, 8, 9, 18, 92, 46
INVAR-1, Run: 097, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 90, 18, 107, 3, 3, 107, 9, 4, 4, 9, 9, 18, 82, 41
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 9, 18, 39, 11, 11, 39, 9, 5, 3, 9, 9, 18, 122, 61
INVAR-1, Run: 099, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 25, 18, 123, 7, 7, 123, 9, 6, 2, 9, 9, 18, 80, 40
INVAR-1, Run: 100, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 122, 18, 128, 7, 7, 128, 9, 7, 1, 9, 9, 18, 170, 85
INVAR-10, Run: 001, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 190, 200, 5958, 75, 73, 5958, 100, 61, 38, 99, 100, 200, 5036, 2518
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 548, 200, 4883, 76, 76, 4883, 100, 64, 35, 100, 100, 200, 6912, 3456
INVAR-10, Run: 003, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 654, 200, 4346, 45, 45, 4346, 100, 71, 28, 100, 100, 200, 4268, 2134
INVAR-10, Run: 004, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 877, 200, 4773, 70, 68, 4773, 100, 63, 36, 99, 100, 200, 6588, 3294
INVAR-10, Run: 005, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 511, 200, 5422, 74, 74, 5422, 100, 58, 41, 100, 100, 200, 4834, 2417
INVAR-10, Run: 006, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 305, 200, 4298, 57, 57, 4298, 100, 65, 34, 100, 100, 200, 6494, 3247
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 550, 200, 5385, 56, 56, 5385, 100, 60, 39, 100, 100, 200, 4608, 2304
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 379, 200, 4680, 61, 61, 4680, 100, 54, 45, 100, 100, 200, 5456, 2728
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 392, 200, 6192, 91, 89, 6192, 100, 68, 31, 99, 100, 200, 5692, 2846
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 120, 200, 4029, 68, 68, 4029, 100, 55, 44, 100, 100, 200, 6514, 3257
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 426, 200, 5059, 78, 78, 5059, 100, 66, 33, 100, 100, 200, 5474, 2737
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 78, 200, 4719, 42, 42, 4719, 100, 68, 31, 100, 100, 200, 4320, 2160
INVAR-10, Run: 013, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 146, 200, 5252, 61, 61, 5252, 100, 67, 32, 100, 100, 200, 5612, 2806
INVAR-10, Run: 014, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 325, 200, 6100, 56, 54, 6100, 100, 67, 32, 99, 100, 200, 7776, 3888
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 283, 200, 4549, 68, 68, 4549, 100, 59, 40, 100, 100, 200, 6176, 3088
INVAR-10, Run: 016, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 579, 200, 4862, 55, 55, 4862, 100, 58, 41, 100, 100, 200, 4288, 2144
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 672, 200, 4199, 69, 69, 4199, 100, 59, 40, 100, 100, 200, 4338, 2169
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 272, 200, 4773, 75, 73, 4773, 100, 60, 39, 99, 100, 200, 4818, 2409
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 309, 200, 7346, 47, 47, 7346, 100, 66, 33, 100, 100, 200, 4062, 2031
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 279, 200, 6931, 75, 75, 6931, 100, 62, 37, 100, 100, 200, 9262, 4631
INVAR-10, Run: 021, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 405, 200, 5677, 67, 67, 5677, 100, 68, 31, 100, 100, 200, 3516, 1758
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 220, 200, 5292, 69, 67, 5292, 100, 65, 34, 99, 100, 200, 4512, 2256
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 89, 200, 4001, 80, 80, 4001, 100, 55, 44, 100, 100, 200, 5584, 2792
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 1537, 200, 4900, 72, 72, 4900, 100, 65, 34, 100, 100, 200, 6672, 3336
INVAR-10, Run: 025, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 150, 200, 4863, 69, 69, 4863, 100, 71, 28, 100, 100, 200, 5840, 2920
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 1145, 200, 4914, 49, 49, 4914, 100, 62, 37, 100, 100, 200, 4250, 2125
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 175, 200, 4909, 58, 56, 4909, 100, 61, 38, 99, 100, 200, 5842, 2921
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 249, 200, 4446, 75, 75, 4446, 100, 60, 39, 100, 100, 200, 4408, 2204
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 458, 200, 4640, 59, 59, 4640, 100, 64, 35, 100, 100, 200, 4648, 2324
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 643, 200, 4203, 64, 64, 4203, 100, 67, 32, 100, 100, 200, 5678, 2839
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 2847, 200, 4212, 74, 74, 4212, 100, 56, 43, 100, 100, 200, 5594, 2797
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 118, 200, 3842, 67, 65, 3842, 100, 68, 31, 99, 100, 200, 5540, 2770
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 126, 200, 4409, 69, 69, 4409, 100, 54, 45, 100, 100, 200, 4866, 2433
INVAR-10, Run: 034, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 79, 200, 4375, 68, 68, 4375, 100, 60, 39, 100, 100, 200, 4156, 2078
INVAR-10, Run: 035, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 224, 200, 4792, 64, 64, 4792, 100, 70, 29, 100, 100, 200, 5632, 2816
INVAR-10, Run: 036, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 325, 200, 5975, 57, 57, 5975, 100, 59, 40, 100, 100, 200, 4844, 2422
INVAR-10, Run: 037, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 210, 200, 5066, 56, 56, 5066, 100, 64, 35, 100, 100, 200, 4002, 2001
INVAR-10, Run: 038, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 349, 200, 5038, 47, 45, 5038, 100, 65, 34, 99, 100, 200, 4208, 2104
INVAR-10, Run: 039, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 478, 200, 4599, 72, 70, 4599, 100, 51, 48, 99, 100, 200, 3528, 1764
INVAR-10, Run: 040, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 839, 200, 4972, 81, 81, 4972, 100, 60, 39, 100, 100, 200, 5776, 2888
INVAR-10, Run: 041, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 187, 200, 4883, 73, 71, 4883, 100, 56, 43, 99, 100, 200, 4344, 2172
INVAR-10, Run: 042, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 316, 200, 5047, 65, 63, 5047, 100, 62, 37, 99, 100, 200, 5644, 2822
INVAR-10, Run: 043, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 146, 200, 4360, 66, 64, 4360, 100, 58, 41, 99, 100, 200, 4820, 2410
INVAR-10, Run: 044, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 259, 200, 5453, 49, 49, 5453, 100, 64, 35, 100, 100, 200, 5584, 2792
