Input Number, Run_Number, Result@ 100, X1, X2, U, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, P, 38, 0, 0, 16, 17, 2, 20
INVAR-1, Run: 002, P, 38, 0, 0, 27, 25, 13, 36
INVAR-1, Run: 003, P, 37, 0, 1, 22, 20, 8, 27
INVAR-1, Run: 004, P, 37, 0, 1, 18, 15, 4, 17
INVAR-1, Run: 005, P, 37, 0, 1, 15, 10, 1, 7
INVAR-1, Run: 006, P, 37, 0, 1, 17, 16, 3, 19
INVAR-1, Run: 007, P, 37, 0, 1, 26, 17, 12, 21
INVAR-1, Run: 008, P, 37, 0, 1, 23, 17, 9, 21
INVAR-1, Run: 009, P, 38, 0, 0, 20, 15, 6, 16
INVAR-1, Run: 010, P, 38, 0, 0, 30, 19, 16, 24
INVAR-1, Run: 011, P, 38, 0, 0, 21, 22, 7, 30
INVAR-1, Run: 012, P, 37, 0, 1, 31, 21, 17, 29
INVAR-1, Run: 013, P, 37, 0, 1, 22, 12, 8, 11
INVAR-1, Run: 014, P, 37, 0, 1, 27, 23, 13, 33
INVAR-1, Run: 015, P, 38, 0, 0, 22, 22, 8, 30
INVAR-1, Run: 016, P, 37, 0, 1, 23, 16, 9, 19
INVAR-1, Run: 017, P, 37, 0, 1, 16, 10, 2, 7
INVAR-1, Run: 018, P, 37, 0, 1, 16, 12, 2, 11
INVAR-1, Run: 019, P, 38, 0, 0, 20, 17, 6, 20
INVAR-1, Run: 020, P, 38, 0, 0, 14, 10, 0, 6
INVAR-1, Run: 021, P, 37, 0, 1, 21, 15, 7, 17
INVAR-1, Run: 022, P, 38, 0, 0, 19, 19, 5, 24
INVAR-1, Run: 023, P, 38, 0, 0, 15, 13, 1, 12
INVAR-1, Run: 024, P, 37, 0, 1, 15, 10, 1, 7
INVAR-1, Run: 025, P, 37, 0, 1, 31, 22, 17, 31
INVAR-1, Run: 026, P, 38, 0, 0, 24, 16, 10, 18
