Input Number, Run_Number, Result@ 1000, A, B, H, C, T2, R, L4, L1, L5, Y, T1, T3, T4, T5, T6, U, L2, D, L3, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 014, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 52, 34, 36, 4983, 3589, 2637, 1922, 1416, 1344, 452, 952, 715, 506, 350, 1066, 1066, 295, 222, 170, 136, 157, 73
INVAR-1, Run: 015, P, 0, 0, 0, 10, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 8, 9, 0, 8, 50, 55, 46, 78, 5586, 4032, 2975, 2271, 1692, 1504, 465, 1057, 704, 579, 423, 1269, 1269, 350, 279, 224, 178, 115, 71
INVAR-1, Run: 016, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 41, 38, 48, 6365, 4598, 3370, 2451, 1790, 1717, 466, 1228, 919, 661, 453, 1337, 1337, 316, 227, 186, 148, 150, 89
INVAR-1, Run: 017, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 10, 1, 2, 10, 50, 55, 36, 66, 4991, 3672, 2704, 1989, 1474, 1269, 493, 968, 715, 515, 387, 1087, 1087, 340, 257, 202, 166, 153, 83
INVAR-1, Run: 018, P, 0, 0, 0, 10, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 10, 1, 9, 50, 120, 69, 145, 3452, 2085, 1369, 916, 616, 1317, 920, 716, 453, 300, 191, 425, 425, 613, 434, 314, 245, 307, 179
INVAR-1, Run: 019, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 10, 1, 2, 10, 50, 82, 44, 58, 5085, 3622, 2573, 1846, 1305, 1413, 664, 1049, 727, 541, 342, 963, 963, 438, 284, 202, 158, 226, 154
INVAR-1, Run: 020, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 106, 51, 106, 2717, 1713, 1148, 773, 519, 954, 758, 565, 375, 254, 165, 354, 354, 518, 363, 257, 206, 240, 155
INVAR-1, Run: 021, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 72, 49, 68, 3556, 2349, 1618, 1091, 764, 1157, 679, 731, 527, 327, 235, 529, 529, 437, 289, 217, 168, 242, 148
INVAR-1, Run: 022, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 68, 33, 53, 4839, 3326, 2303, 1610, 1150, 1463, 544, 1023, 693, 460, 340, 810, 810, 358, 254, 186, 153, 186, 104
INVAR-1, Run: 023, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 11, 2, 3, 11, 50, 65, 43, 54, 4653, 3293, 2397, 1798, 1316, 1310, 579, 896, 599, 482, 344, 972, 972, 386, 262, 197, 154, 193, 124
INVAR-1, Run: 024, P, 0, 0, 0, 10, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 10, 1, 9, 50, 115, 72, 339, 3157, 1866, 1128, 678, 411, 1241, 1127, 738, 450, 267, 156, 255, 255, 828, 626, 511, 439, 299, 202
INVAR-1, Run: 025, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 75, 34, 33, 4877, 3407, 2458, 1780, 1298, 1420, 611, 949, 678, 482, 362, 936, 936, 379, 242, 167, 133, 232, 137
