Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, F, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 002, F, 0, 10, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 60, 36, 0, 0, 0, 0, 0, 0, 0, 546, 0, 0, 100, 0, 0, 0, 329, 196, 136, 100, 217, 133
INVAR-1, Run: 003, F, 0, 10, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 10, 1, 2, 10, 88, 42, 0, 0, 0, 0, 0, 0, 0, 633, 0, 0, 100, 0, 0, 0, 363, 230, 142, 100, 270, 133
INVAR-1, Run: 004, F, 0, 10, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 56, 49, 0, 0, 0, 0, 0, 0, 0, 477, 0, 0, 100, 0, 0, 0, 310, 205, 149, 100, 167, 105
INVAR-1, Run: 005, F, 0, 10, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 62, 30, 0, 0, 0, 0, 0, 0, 0, 428, 0, 0, 100, 0, 0, 0, 264, 192, 130, 100, 164, 72
INVAR-1, Run: 006, F, 0, 0, 0, 10, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 10, 11, 2, 10, 56, 31, 0, 0, 0, 0, 0, 0, 0, 390, 0, 0, 100, 0, 0, 0, 269, 187, 131, 100, 121, 82
INVAR-1, Run: 007, F, 0, 10, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 36, 24, 0, 0, 0, 0, 0, 0, 0, 321, 0, 0, 100, 0, 0, 0, 222, 160, 124, 100, 99, 62
INVAR-1, Run: 008, F, 0, 10, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 73, 31, 0, 0, 0, 0, 0, 0, 0, 557, 0, 0, 100, 0, 0, 0, 326, 204, 131, 100, 231, 122
INVAR-1, Run: 009, F, 0, 10, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 89, 45, 0, 0, 0, 0, 0, 0, 0, 615, 0, 0, 100, 0, 0, 0, 369, 234, 145, 100, 246, 135
INVAR-1, Run: 010, F, 0, 10, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 51, 26, 0, 0, 0, 0, 0, 0, 0, 396, 0, 0, 100, 0, 0, 0, 245, 177, 126, 100, 151, 68
