Input Number, Run_Number, Result@ 100, CE, B, PE, X1, H, M, PO, Y, D, CO, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 064, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 16, 122, 9, 4, 13, 9, 18, 31, 25, 122
INVAR-1, Run: 065, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 5, 97, 9, 8, 9, 9, 18, 31, 14, 97
INVAR-1, Run: 066, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 18, 91, 9, 5, 12, 9, 18, 31, 27, 91
INVAR-1, Run: 067, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 19, 164, 9, 6, 11, 9, 18, 31, 28, 164
INVAR-1, Run: 068, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 19, 88, 9, 7, 10, 9, 18, 31, 28, 88
INVAR-1, Run: 069, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 15, 61, 9, 6, 11, 9, 18, 31, 24, 61
INVAR-1, Run: 070, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 15, 156, 9, 5, 12, 9, 18, 31, 24, 156
INVAR-1, Run: 071, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 11, 76, 9, 7, 10, 9, 18, 31, 20, 76
INVAR-1, Run: 072, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 14, 44, 9, 5, 12, 9, 18, 31, 23, 44
INVAR-1, Run: 073, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 10, 132, 9, 5, 12, 9, 18, 31, 19, 132
INVAR-1, Run: 074, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 15, 45, 9, 4, 13, 9, 18, 31, 24, 45
INVAR-1, Run: 075, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 16, 106, 9, 6, 11, 9, 18, 31, 25, 106
INVAR-1, Run: 076, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 12, 162, 9, 6, 11, 9, 18, 31, 21, 162
INVAR-1, Run: 077, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 9, 82, 9, 6, 11, 9, 18, 31, 18, 82
INVAR-1, Run: 078, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 8, 98, 9, 7, 10, 9, 18, 31, 17, 98
INVAR-1, Run: 079, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 26, 145, 9, 5, 12, 9, 18, 31, 35, 145
INVAR-1, Run: 080, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 34, 176, 9, 7, 10, 9, 18, 31, 43, 176
INVAR-1, Run: 081, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 8, 76, 9, 9, 8, 9, 18, 31, 17, 76
INVAR-1, Run: 082, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 9, 100, 9, 6, 11, 9, 18, 31, 18, 100
INVAR-1, Run: 083, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 12, 55, 9, 8, 9, 9, 18, 31, 21, 55
INVAR-1, Run: 084, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 7, 124, 9, 5, 12, 9, 18, 31, 16, 124
INVAR-1, Run: 085, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 15, 91, 9, 6, 11, 9, 18, 31, 24, 91
INVAR-1, Run: 086, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 9, 64, 9, 3, 14, 9, 18, 31, 18, 64
INVAR-1, Run: 087, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 19, 137, 9, 5, 12, 9, 18, 31, 28, 137
INVAR-1, Run: 088, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 21, 234, 9, 7, 10, 9, 18, 31, 30, 234
INVAR-1, Run: 089, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 21, 157, 9, 6, 11, 9, 18, 31, 30, 157
INVAR-1, Run: 090, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 12, 75, 9, 4, 13, 9, 18, 31, 21, 75
INVAR-1, Run: 091, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 14, 83, 9, 6, 11, 9, 18, 31, 23, 83
