Input Number, Run_Number, Result@ 100, U, X1, X2, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, P, 0, 0, 38, 4, 24, 28
INVAR-1, Run: 002, P, 0, 0, 38, 10, 24, 34
INVAR-1, Run: 003, P, 0, 0, 38, 9, 24, 33
INVAR-1, Run: 004, P, 0, 0, 38, 5, 24, 29
INVAR-1, Run: 005, P, 0, 0, 38, 4, 24, 28
INVAR-1, Run: 006, P, 0, 0, 38, 19, 24, 43
INVAR-1, Run: 007, P, 0, 0, 38, 10, 24, 34
INVAR-1, Run: 008, P, 0, 0, 38, 14, 24, 38
INVAR-1, Run: 009, P, 0, 0, 38, 10, 24, 34
INVAR-1, Run: 010, P, 0, 0, 38, 5, 24, 29
INVAR-1, Run: 011, P, 0, 0, 38, 10, 24, 34
INVAR-1, Run: 012, P, 0, 0, 38, 14, 24, 38
INVAR-1, Run: 013, P, 0, 0, 38, 5, 24, 29
INVAR-1, Run: 014, P, 0, 0, 38, 7, 24, 31
INVAR-1, Run: 015, P, 0, 0, 38, 3, 24, 27
INVAR-1, Run: 016, P, 0, 0, 38, 9, 24, 33
INVAR-1, Run: 017, P, 0, 0, 38, 12, 24, 36
INVAR-1, Run: 018, P, 0, 0, 38, 13, 24, 37
INVAR-1, Run: 019, P, 0, 0, 38, 9, 24, 33
INVAR-1, Run: 020, P, 0, 0, 38, 8, 24, 32
INVAR-1, Run: 021, P, 0, 0, 38, 12, 24, 36
INVAR-1, Run: 022, P, 0, 0, 38, 17, 24, 41
INVAR-1, Run: 023, P, 0, 0, 38, 11, 24, 35
INVAR-1, Run: 024, P, 0, 0, 38, 10, 24, 34
INVAR-1, Run: 025, P, 0, 0, 38, 1, 24, 25
INVAR-1, Run: 026, P, 0, 0, 38, 7, 24, 31
INVAR-1, Run: 027, P, 0, 0, 38, 3, 24, 27
INVAR-1, Run: 028, P, 0, 0, 38, 7, 24, 31
INVAR-1, Run: 029, P, 0, 0, 38, 6, 24, 30
INVAR-1, Run: 030, P, 0, 0, 38, 4, 24, 28
INVAR-1, Run: 031, P, 0, 0, 38, 7, 24, 31
INVAR-1, Run: 032, P, 0, 0, 38, 10, 24, 34
INVAR-1, Run: 033, P, 0, 0, 38, 8, 24, 32
INVAR-1, Run: 034, P, 0, 0, 38, 5, 24, 29
INVAR-1, Run: 035, P, 0, 0, 38, 10, 24, 34
INVAR-1, Run: 036, P, 0, 0, 38, 4, 24, 28
INVAR-1, Run: 037, P, 0, 0, 38, 2, 24, 26
