Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A
INVAR-1, Run: 001, F, 13, 0, 1, 0, 0, 0, 0, 1, 21, 8, 28
INVAR-1, Run: 002, F, 30, 0, 1, 0, 0, 0, 0, 0, 35, 9, 15
INVAR-1, Run: 003, F, 3, 0, 1, 0, 0, 0, 0, 2, 10, 7, 42
INVAR-1, Run: 004, F, 25, 0, 1, 0, 0, 0, 0, 0, 30, 9, 20
INVAR-1, Run: 005, F, 12, 0, 1, 0, 0, 0, 0, 0, 15, 9, 37
INVAR-1, Run: 006, F, 3, 0, 0, 0, 0, 0, 0, 2, 7, 7, 47
INVAR-1, Run: 007, F, 31, 0, 0, 0, 0, 0, 0, 1, 36, 8, 15
INVAR-1, Run: 008, F, 23, 0, 1, 0, 0, 0, 0, 0, 28, 9, 22
INVAR-1, Run: 009, F, 20, 0, 1, 0, 0, 0, 0, 0, 25, 9, 25
INVAR-1, Run: 010, F, 30, 0, 0, 0, 0, 0, 0, 1, 35, 8, 16
INVAR-1, Run: 011, F, 14, 0, 1, 0, 0, 0, 0, 0, 19, 9, 31
INVAR-1, Run: 012, F, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
INVAR-1, Run: 013, F, 1, 0, 0, 0, 0, 0, 0, 3, 8, 6, 45
INVAR-1, Run: 014, F, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49
INVAR-1, Run: 015, F, 38, 0, 1, 0, 0, 0, 0, 0, 43, 9, 7
INVAR-1, Run: 016, F, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45
INVAR-1, Run: 017, F, 21, 0, 0, 0, 0, 0, 0, 0, 27, 9, 21
INVAR-1, Run: 018, F, 6, 0, 1, 0, 0, 0, 0, 0, 13, 9, 35
INVAR-1, Run: 019, F, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46
INVAR-1, Run: 020, F, 29, 0, 1, 0, 0, 0, 0, 0, 34, 9, 16
INVAR-1, Run: 021, F, 28, 0, 0, 0, 0, 0, 0, 0, 34, 9, 14
INVAR-1, Run: 022, F, 1, 0, 0, 0, 0, 0, 0, 0, 7, 9, 41
INVAR-1, Run: 023, F, 35, 0, 1, 0, 0, 0, 0, 0, 40, 9, 10
INVAR-1, Run: 024, F, 7, 0, 0, 0, 0, 0, 0, 0, 13, 9, 35
