Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B
INVAR-1, Run: 085, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 318, 0
INVAR-1, Run: 086, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 390, 0
INVAR-1, Run: 087, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 330, 0
INVAR-1, Run: 088, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 316, 1
INVAR-1, Run: 089, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 384, 0
INVAR-1, Run: 090, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0
INVAR-1, Run: 091, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 372, 0
INVAR-1, Run: 092, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 340, 1
INVAR-1, Run: 093, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 366, 0
INVAR-1, Run: 094, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 354, 0
INVAR-1, Run: 095, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 316, 1
INVAR-1, Run: 096, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 316, 1
INVAR-1, Run: 097, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 294, 0
INVAR-1, Run: 098, P, 1, 0, 0, 0, 9, 9, 0, 0, 1, 358, 1
INVAR-1, Run: 099, P, 2, 0, 0, 0, 9, 9, 0, 0, 1, 316, 1
INVAR-1, Run: 100, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 346, 1
INVAR-10, Run: 001, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 892, 1
INVAR-10, Run: 002, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 880, 1
INVAR-10, Run: 003, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 912, 0
INVAR-10, Run: 004, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 916, 1
INVAR-10, Run: 005, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 966, 0
INVAR-10, Run: 006, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 900, 0
INVAR-10, Run: 007, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 874, 1
INVAR-10, Run: 008, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 876, 0
INVAR-10, Run: 009, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 862, 1
INVAR-10, Run: 010, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 918, 0
INVAR-10, Run: 011, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 916, 1
INVAR-10, Run: 012, P, 3, 0, 0, 0, 100, 100, 0, 0, 1, 874, 1
INVAR-10, Run: 013, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 910, 1
INVAR-10, Run: 014, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 886, 1
INVAR-10, Run: 015, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 928, 1
INVAR-10, Run: 016, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 894, 0
INVAR-10, Run: 017, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 894, 0
INVAR-10, Run: 018, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 876, 0
INVAR-10, Run: 019, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 886, 1
INVAR-10, Run: 020, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 870, 0
INVAR-10, Run: 021, P, 3, 0, 0, 0, 100, 100, 0, 0, 1, 888, 0
INVAR-10, Run: 022, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 922, 1
INVAR-10, Run: 023, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 942, 0
INVAR-10, Run: 024, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 892, 1
INVAR-10, Run: 025, P, 4, 0, 0, 0, 100, 100, 0, 0, 1, 912, 0
INVAR-10, Run: 026, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 894, 0
INVAR-10, Run: 027, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 934, 1
INVAR-10, Run: 028, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 886, 1
INVAR-10, Run: 029, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 876, 0
INVAR-10, Run: 030, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 864, 0
INVAR-10, Run: 031, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 856, 1
INVAR-10, Run: 032, P, 3, 0, 0, 0, 100, 100, 0, 0, 1, 846, 0
INVAR-10, Run: 033, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 880, 1
INVAR-10, Run: 034, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 880, 1
INVAR-10, Run: 035, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 934, 1
