Input Number, Run_Number, Result@ 100, predator_g555, predator_mrna556, predator_H2, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_ccdB, predator_Q1a, predator_H1, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 030, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 1, 1, 0, 2, 3, 0, 1, 1, 92, 37, 122, 127, 127, 1, 0, 0, 0, 97, 55, 92, 55, 0, 44, 35, 0, 86, 29, 29, 33, 119, 101, 88, 88, 98, 98, 105, 102, 85, 56, 63, 55, 101, 53, 29, 46, 28, 53, 50, 34, 34, 97, 97, 85, 23, 23
INVAR-1, Run: 031, F, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 99, 8, 106, 96, 96, 2, 1, 7, 7, 92, 19, 98, 19, 0, 39, 34, 2, 71, 25, 24, 25, 94, 79, 90, 89, 110, 109, 98, 97, 104, 75, 70, 21, 78, 20, 37, 50, 29, 52, 52, 33, 33, 80, 76, 98, 12, 12
INVAR-1, Run: 032, F, 0, 0, 0, 1, 0, 0, 3, 2, 0, 0, 0, 0, 2, 1, 3, 1, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 1, 1, 93, 12, 98, 101, 99, 1, 0, 0, 0, 68, 15, 93, 13, 0, 31, 29, 0, 89, 18, 18, 11, 97, 64, 104, 103, 88, 88, 89, 88, 89, 46, 61, 23, 62, 22, 31, 33, 43, 37, 37, 30, 30, 75, 75, 89, 10, 10
INVAR-1, Run: 033, F, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 3, 0, 1, 1, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 0, 0, 1, 88, 31, 114, 128, 127, 1, 0, 1, 1, 96, 32, 87, 31, 0, 51, 23, 0, 99, 11, 11, 15, 113, 116, 113, 111, 108, 107, 93, 93, 99, 54, 51, 22, 112, 22, 26, 43, 43, 44, 44, 23, 23, 97, 97, 83, 23, 22
INVAR-1, Run: 034, F, 0, 0, 0, 1, 0, 0, 2, 2, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 99, 8, 99, 95, 93, 1, 0, 0, 0, 99, 7, 99, 7, 0, 49, 27, 0, 74, 29, 29, 31, 105, 88, 104, 103, 100, 99, 94, 93, 92, 48, 45, 45, 88, 45, 19, 48, 43, 48, 48, 26, 26, 98, 97, 93, 8, 8
INVAR-1, Run: 035, F, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 1, 1, 2, 1, 1, 0, 0, 2, 0, 0, 1, 100, 25, 109, 98, 98, 3, 2, 0, 0, 111, 35, 100, 33, 0, 48, 33, 0, 77, 36, 35, 34, 109, 108, 125, 124, 118, 116, 115, 112, 102, 57, 59, 53, 106, 51, 24, 59, 44, 63, 61, 35, 35, 109, 109, 85, 19, 18
INVAR-1, Run: 036, F, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 5, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 3, 0, 1, 1, 109, 7, 92, 109, 109, 1, 0, 0, 0, 110, 10, 108, 10, 0, 54, 24, 0, 72, 23, 23, 18, 89, 113, 76, 74, 99, 99, 109, 109, 84, 51, 45, 34, 108, 34, 22, 53, 33, 56, 53, 23, 23, 115, 114, 85, 7, 7
INVAR-1, Run: 037, F, 0, 0, 0, 1, 0, 0, 1, 4, 0, 0, 0, 1, 0, 1, 4, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 109, 18, 92, 97, 93, 3, 2, 5, 5, 106, 28, 109, 28, 0, 46, 41, 4, 77, 32, 32, 39, 112, 84, 110, 109, 103, 102, 119, 118, 121, 84, 90, 59, 83, 58, 50, 59, 37, 60, 60, 40, 40, 93, 89, 75, 22, 22
INVAR-1, Run: 038, F, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 81, 4, 89, 85, 84, 6, 5, 4, 4, 89, 14, 81, 14, 0, 42, 21, 4, 88, 21, 21, 21, 109, 84, 125, 125, 114, 114, 114, 113, 104, 55, 35, 46, 84, 46, 15, 45, 49, 46, 45, 20, 20, 94, 90, 86, 14, 14
INVAR-1, Run: 039, F, 0, 0, 0, 1, 2, 1, 0, 3, 0, 4, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 108, 14, 87, 106, 103, 6, 5, 1, 0, 109, 41, 106, 40, 1, 47, 32, 0, 60, 39, 39, 43, 103, 120, 85, 84, 80, 80, 78, 78, 79, 48, 64, 54, 117, 54, 32, 60, 31, 62, 61, 32, 32, 118, 114, 73, 21, 20
INVAR-1, Run: 040, F, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1, 3, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 110, 31, 96, 86, 86, 4, 3, 1, 1, 126, 20, 109, 20, 0, 62, 21, 0, 105, 26, 26, 23, 127, 120, 109, 108, 98, 97, 78, 78, 80, 47, 37, 39, 117, 39, 17, 62, 33, 63, 62, 20, 20, 133, 132, 67, 22, 22
INVAR-1, Run: 041, F, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 3, 0, 1, 1, 110, 19, 88, 142, 142, 2, 1, 6, 6, 130, 27, 107, 27, 0, 67, 15, 3, 50, 51, 51, 41, 90, 102, 87, 87, 98, 98, 85, 84, 69, 43, 28, 76, 101, 76, 14, 59, 26, 63, 60, 14, 14, 123, 119, 69, 15, 15
INVAR-1, Run: 042, F, 0, 0, 0, 1, 1, 0, 2, 1, 0, 2, 3, 4, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 92, 24, 101, 116, 115, 3, 2, 1, 0, 74, 15, 91, 15, 1, 33, 28, 0, 88, 31, 31, 33, 120, 76, 94, 94, 106, 105, 122, 122, 117, 68, 51, 49, 72, 49, 24, 36, 49, 38, 37, 27, 27, 74, 72, 79, 16, 16
INVAR-1, Run: 043, F, 0, 0, 0, 1, 1, 0, 1, 0, 0, 2, 1, 3, 3, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 115, 19, 107, 97, 97, 2, 1, 0, 0, 146, 24, 114, 21, 0, 79, 28, 0, 74, 30, 30, 29, 103, 97, 116, 116, 106, 106, 89, 88, 98, 59, 62, 69, 91, 69, 31, 64, 38, 66, 65, 30, 30, 114, 112, 89, 20, 20
INVAR-1, Run: 044, F, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 114, 0, 95, 111, 109, 1, 0, 0, 0, 95, 3, 114, 3, 0, 46, 16, 0, 78, 25, 25, 23, 100, 97, 122, 121, 94, 93, 76, 76, 88, 53, 36, 36, 97, 36, 21, 48, 34, 49, 49, 15, 15, 108, 108, 96, 0, 0
INVAR-1, Run: 045, F, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 2, 3, 0, 0, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 1, 1, 1, 105, 36, 81, 115, 115, 2, 1, 3, 3, 129, 52, 104, 49, 0, 63, 38, 1, 95, 24, 23, 26, 121, 136, 109, 109, 104, 102, 77, 73, 93, 59, 84, 36, 131, 33, 43, 61, 34, 65, 64, 41, 40, 128, 126, 46, 28, 28
INVAR-1, Run: 046, F, 0, 0, 0, 1, 1, 1, 0, 2, 0, 2, 2, 0, 1, 0, 1, 4, 1, 1, 1, 3, 5, 1, 0, 1, 2, 0, 0, 1, 87, 10, 95, 110, 108, 1, 0, 0, 0, 97, 20, 86, 18, 0, 47, 37, 0, 73, 20, 19, 18, 90, 108, 80, 79, 86, 83, 93, 83, 98, 64, 77, 37, 106, 32, 39, 40, 33, 48, 46, 38, 38, 107, 105, 85, 13, 12
INVAR-1, Run: 047, F, 0, 0, 1, 1, 3, 1, 0, 1, 0, 3, 4, 3, 1, 1, 1, 1, 0, 3, 1, 0, 0, 0, 1, 0, 3, 1, 0, 1, 118, 9, 92, 129, 128, 2, 1, 0, 0, 103, 19, 115, 17, 0, 51, 26, 0, 67, 17, 17, 18, 84, 123, 87, 84, 102, 102, 119, 118, 111, 67, 61, 22, 118, 21, 31, 44, 44, 48, 45, 29, 28, 105, 102, 83, 14, 13
INVAR-1, Run: 048, F, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2, 1, 1, 1, 107, 3, 87, 88, 88, 2, 1, 2, 1, 85, 12, 106, 12, 1, 36, 26, 0, 88, 21, 20, 23, 111, 80, 106, 105, 101, 99, 104, 100, 71, 47, 50, 40, 80, 38, 24, 45, 23, 49, 47, 26, 25, 92, 90, 84, 9, 9
INVAR-1, Run: 049, F, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 86, 8, 93, 89, 87, 1, 0, 0, 0, 56, 10, 86, 10, 0, 25, 23, 0, 85, 22, 22, 27, 111, 61, 94, 92, 101, 100, 89, 88, 102, 56, 52, 32, 59, 32, 30, 30, 46, 31, 31, 22, 22, 71, 71, 85, 8, 8
INVAR-1, Run: 050, F, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 3, 1, 1, 2, 0, 1, 1, 0, 0, 1, 1, 101, 20, 113, 100, 100, 2, 1, 1, 1, 82, 19, 101, 19, 0, 44, 33, 0, 55, 36, 35, 49, 101, 94, 100, 97, 102, 101, 116, 113, 82, 53, 57, 54, 94, 53, 23, 36, 29, 38, 38, 33, 33, 98, 98, 93, 15, 15
INVAR-1, Run: 051, F, 0, 0, 0, 1, 2, 0, 5, 5, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 1, 103, 18, 120, 152, 147, 2, 1, 0, 0, 99, 21, 101, 21, 0, 55, 38, 0, 61, 31, 31, 35, 95, 82, 86, 86, 112, 112, 112, 111, 103, 70, 78, 51, 82, 51, 39, 43, 32, 43, 43, 37, 37, 91, 90, 107, 20, 20
INVAR-1, Run: 052, F, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 4, 0, 1, 1, 1, 0, 1, 1, 2, 3, 1, 2, 0, 0, 0, 1, 1, 85, 25, 106, 79, 79, 10, 9, 3, 3, 69, 39, 83, 39, 0, 36, 41, 3, 85, 27, 27, 20, 104, 84, 99, 98, 115, 113, 100, 96, 103, 60, 77, 29, 80, 28, 35, 32, 42, 33, 33, 40, 40, 66, 63, 81, 34, 34
INVAR-1, Run: 053, F, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 2, 3, 0, 1, 0, 2, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1, 98, 50, 110, 102, 102, 4, 3, 12, 5, 93, 33, 98, 32, 7, 44, 40, 6, 75, 29, 29, 25, 100, 85, 107, 107, 105, 103, 125, 123, 117, 77, 79, 57, 81, 55, 39, 44, 39, 47, 47, 40, 40, 97, 89, 61, 28, 27
INVAR-1, Run: 054, F, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 3, 1, 2, 3, 0, 0, 0, 0, 0, 1, 1, 104, 17, 108, 104, 104, 1, 0, 1, 1, 76, 23, 104, 23, 0, 41, 21, 0, 92, 19, 18, 12, 103, 95, 110, 107, 103, 101, 100, 96, 97, 55, 51, 26, 94, 25, 30, 34, 42, 35, 35, 21, 21, 86, 86, 92, 17, 17
