Input Number, Run_Number, Result@ 100, predator_g555, predator_mrna556, predator_H2, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_ccdB, predator_Q1a, predator_H1, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 1, 1, 1, 0, 2, 2, 0, 0, 0, 1, 1, 0, 3, 1, 1, 4, 1, 1, 1, 0, 0, 2, 0, 0, 1, 1, 94, 6, 105, 105, 103, 1, 0, 0, 0, 79, 14, 93, 13, 0, 34, 27, 0, 65, 32, 31, 39, 101, 76, 111, 107, 119, 118, 124, 121, 107, 64, 53, 58, 74, 56, 25, 41, 43, 45, 45, 28, 28, 90, 90, 101, 8, 8
INVAR-1, Run: 002, F, 0, 0, 2, 1, 4, 0, 2, 3, 0, 2, 1, 4, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 110, 8, 83, 89, 86, 2, 1, 2, 2, 126, 18, 106, 18, 0, 58, 29, 0, 54, 47, 47, 48, 102, 101, 87, 86, 101, 101, 89, 87, 112, 73, 76, 56, 97, 55, 45, 64, 39, 67, 66, 31, 30, 109, 107, 77, 15, 15
INVAR-1, Run: 003, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 81, 24, 108, 93, 93, 2, 1, 3, 2, 80, 20, 81, 20, 1, 39, 45, 1, 82, 14, 14, 10, 91, 70, 95, 95, 104, 104, 93, 93, 100, 59, 72, 19, 68, 19, 28, 38, 41, 40, 39, 44, 44, 65, 63, 84, 15, 15
INVAR-1, Run: 004, F, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 117, 29, 92, 93, 92, 1, 0, 0, 0, 100, 50, 117, 49, 0, 46, 44, 0, 73, 41, 41, 33, 105, 106, 90, 90, 113, 113, 102, 101, 85, 57, 68, 52, 104, 52, 21, 54, 28, 54, 54, 47, 46, 98, 98, 65, 22, 22
INVAR-1, Run: 005, F, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 2, 0, 1, 1, 123, 23, 108, 113, 113, 1, 0, 1, 1, 89, 16, 121, 14, 0, 39, 19, 1, 61, 39, 38, 34, 94, 109, 97, 97, 100, 99, 90, 89, 84, 54, 51, 44, 106, 43, 30, 45, 29, 49, 47, 20, 20, 102, 99, 85, 22, 22
INVAR-1, Run: 006, F, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 89, 20, 102, 93, 91, 4, 3, 5, 1, 116, 26, 89, 26, 4, 51, 28, 1, 65, 33, 33, 27, 91, 116, 105, 104, 115, 115, 99, 98, 104, 65, 57, 67, 114, 67, 30, 65, 39, 65, 65, 27, 27, 100, 99, 84, 22, 22
INVAR-1, Run: 007, F, 0, 0, 0, 1, 2, 1, 1, 1, 0, 3, 1, 2, 0, 1, 2, 0, 0, 0, 1, 2, 1, 1, 0, 1, 2, 0, 0, 1, 131, 21, 99, 77, 76, 1, 0, 0, 0, 111, 30, 129, 29, 0, 50, 35, 0, 68, 25, 25, 34, 100, 124, 92, 92, 116, 114, 112, 111, 116, 81, 75, 66, 121, 66, 40, 57, 34, 60, 58, 35, 35, 130, 127, 79, 24, 23
INVAR-1, Run: 008, F, 0, 0, 0, 1, 2, 0, 1, 0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0, 1, 0, 1, 1, 97, 15, 98, 89, 89, 1, 0, 0, 0, 130, 9, 95, 9, 0, 66, 17, 0, 64, 23, 23, 17, 80, 78, 72, 71, 100, 97, 94, 93, 79, 50, 37, 43, 78, 43, 21, 61, 29, 62, 61, 16, 16, 111, 109, 84, 8, 8
INVAR-1, Run: 009, F, 0, 0, 0, 1, 2, 0, 2, 3, 0, 2, 1, 0, 1, 0, 2, 0, 1, 6, 1, 2, 0, 0, 0, 0, 1, 0, 1, 1, 101, 19, 105, 94, 91, 3, 2, 3, 3, 77, 24, 99, 23, 0, 46, 28, 1, 81, 24, 23, 24, 103, 98, 100, 94, 88, 86, 84, 83, 76, 52, 52, 35, 97, 34, 24, 28, 24, 30, 29, 28, 28, 103, 100, 88, 25, 25
INVAR-1, Run: 010, F, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 110, 3, 98, 86, 86, 2, 1, 1, 1, 104, 13, 110, 12, 0, 59, 23, 0, 63, 32, 32, 41, 104, 98, 92, 91, 98, 97, 76, 76, 96, 57, 41, 52, 97, 52, 17, 44, 39, 45, 45, 24, 24, 115, 115, 96, 7, 6
INVAR-1, Run: 011, F, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2, 1, 2, 0, 1, 1, 0, 0, 3, 1, 3, 3, 0, 2, 1, 0, 0, 1, 1, 99, 27, 101, 97, 97, 1, 0, 0, 0, 110, 21, 97, 21, 0, 56, 34, 0, 63, 37, 37, 36, 98, 93, 97, 94, 115, 112, 121, 118, 118, 68, 78, 65, 91, 65, 43, 52, 50, 53, 53, 33, 33, 101, 99, 74, 27, 27
INVAR-1, Run: 012, F, 0, 0, 0, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 1, 96, 16, 106, 119, 116, 1, 0, 0, 0, 104, 35, 96, 35, 0, 46, 42, 0, 80, 27, 27, 24, 103, 72, 91, 91, 105, 104, 107, 105, 106, 64, 69, 32, 72, 32, 28, 57, 42, 58, 57, 41, 41, 97, 97, 91, 26, 26
INVAR-1, Run: 013, F, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 96, 29, 99, 78, 78, 1, 0, 0, 0, 92, 33, 95, 33, 0, 44, 43, 0, 104, 12, 12, 10, 112, 95, 95, 93, 102, 102, 90, 90, 103, 66, 66, 15, 95, 15, 24, 48, 37, 48, 48, 42, 42, 96, 96, 71, 32, 32
INVAR-1, Run: 014, F, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 1, 114, 23, 90, 86, 86, 3, 2, 5, 4, 86, 33, 113, 31, 1, 43, 35, 0, 80, 20, 20, 23, 101, 119, 110, 109, 83, 83, 93, 93, 99, 68, 58, 33, 116, 33, 21, 40, 31, 43, 42, 37, 37, 109, 109, 67, 23, 22
INVAR-1, Run: 015, F, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 100, 20, 95, 94, 94, 3, 2, 3, 2, 69, 20, 98, 19, 1, 41, 23, 0, 93, 11, 11, 5, 98, 90, 96, 96, 81, 81, 81, 81, 71, 50, 42, 18, 89, 18, 19, 24, 21, 26, 24, 23, 23, 74, 73, 75, 26, 25
INVAR-1, Run: 016, F, 0, 0, 1, 1, 1, 0, 3, 0, 0, 2, 1, 2, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 86, 17, 109, 116, 116, 4, 3, 4, 3, 131, 34, 85, 34, 1, 64, 36, 0, 64, 38, 37, 22, 85, 129, 69, 68, 105, 105, 114, 112, 87, 58, 71, 85, 127, 83, 35, 62, 29, 66, 65, 36, 36, 123, 121, 95, 28, 28
INVAR-1, Run: 017, F, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 95, 29, 106, 116, 116, 1, 0, 0, 0, 73, 22, 95, 21, 0, 34, 39, 0, 85, 26, 26, 22, 106, 90, 98, 96, 106, 104, 94, 93, 118, 79, 72, 30, 89, 30, 33, 39, 39, 39, 39, 39, 39, 90, 90, 77, 20, 19
INVAR-1, Run: 018, F, 0, 0, 1, 1, 2, 0, 0, 1, 0, 2, 1, 0, 0, 1, 1, 2, 0, 3, 1, 5, 2, 1, 1, 0, 0, 1, 1, 1, 108, 30, 92, 110, 109, 3, 2, 0, 0, 103, 38, 106, 38, 0, 54, 41, 0, 76, 32, 32, 37, 112, 82, 116, 113, 85, 80, 111, 107, 103, 67, 74, 44, 82, 42, 31, 46, 35, 48, 48, 42, 41, 99, 97, 62, 27, 27
INVAR-1, Run: 019, F, 0, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 1, 3, 0, 0, 3, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 110, 15, 103, 86, 84, 2, 1, 0, 0, 119, 25, 109, 25, 0, 64, 27, 0, 60, 42, 42, 58, 115, 108, 97, 94, 81, 80, 65, 64, 74, 52, 48, 51, 108, 51, 21, 55, 22, 55, 55, 27, 26, 114, 114, 90, 17, 17
INVAR-1, Run: 020, F, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 107, 8, 99, 93, 92, 1, 0, 0, 0, 82, 19, 107, 18, 0, 46, 21, 0, 87, 14, 14, 11, 98, 96, 90, 89, 93, 93, 92, 92, 77, 48, 39, 14, 95, 14, 17, 35, 27, 35, 35, 22, 22, 88, 87, 92, 9, 9
INVAR-1, Run: 021, F, 0, 0, 1, 1, 1, 0, 2, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 96, 11, 100, 123, 121, 2, 1, 0, 0, 103, 23, 95, 23, 0, 52, 25, 0, 77, 35, 35, 36, 113, 93, 102, 102, 111, 110, 109, 109, 101, 46, 45, 49, 93, 49, 20, 51, 54, 51, 51, 25, 25, 106, 105, 91, 17, 17
INVAR-1, Run: 022, F, 0, 0, 0, 1, 2, 0, 0, 2, 0, 1, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 97, 19, 108, 116, 114, 1, 0, 0, 0, 122, 19, 95, 19, 0, 68, 23, 0, 66, 59, 59, 46, 111, 110, 117, 117, 104, 104, 104, 104, 98, 55, 50, 94, 108, 94, 28, 53, 43, 54, 53, 22, 22, 110, 109, 89, 22, 22
INVAR-1, Run: 023, F, 0, 0, 1, 1, 0, 1, 2, 3, 0, 0, 0, 4, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 1, 119, 19, 110, 138, 135, 3, 2, 3, 2, 133, 45, 119, 44, 1, 58, 44, 1, 62, 42, 42, 37, 99, 128, 91, 91, 129, 128, 122, 120, 116, 77, 78, 68, 123, 67, 33, 71, 39, 75, 73, 45, 45, 126, 125, 93, 21, 20
INVAR-1, Run: 024, F, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 5, 0, 0, 0, 1, 1, 1, 3, 3, 1, 0, 0, 1, 1, 100, 3, 92, 76, 75, 1, 0, 0, 0, 96, 24, 100, 24, 0, 37, 25, 0, 69, 27, 27, 42, 106, 91, 98, 98, 107, 106, 113, 112, 106, 70, 58, 57, 90, 57, 31, 58, 33, 59, 59, 24, 24, 100, 100, 90, 13, 13
INVAR-1, Run: 025, F, 0, 0, 0, 1, 3, 0, 1, 0, 0, 4, 0, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 92, 8, 107, 88, 88, 6, 5, 2, 2, 94, 14, 89, 14, 0, 40, 16, 0, 93, 21, 21, 37, 129, 79, 138, 136, 98, 97, 111, 111, 100, 42, 43, 45, 78, 45, 28, 54, 58, 54, 54, 15, 15, 98, 94, 100, 10, 10
INVAR-1, Run: 026, F, 0, 0, 0, 1, 1, 0, 2, 3, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 1, 0, 1, 1, 91, 16, 115, 117, 114, 1, 0, 0, 0, 73, 25, 90, 25, 0, 30, 35, 0, 61, 13, 13, 17, 78, 90, 63, 63, 98, 97, 91, 91, 95, 70, 70, 31, 88, 31, 36, 40, 24, 43, 42, 34, 34, 77, 76, 101, 17, 17
INVAR-1, Run: 027, F, 0, 0, 0, 1, 2, 1, 1, 3, 0, 0, 0, 2, 0, 1, 0, 0, 0, 2, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 117, 24, 87, 114, 111, 1, 0, 0, 0, 123, 43, 115, 42, 0, 64, 38, 0, 64, 28, 28, 23, 87, 138, 76, 74, 113, 112, 110, 108, 108, 69, 79, 40, 135, 40, 41, 59, 38, 59, 59, 38, 38, 118, 118, 64, 23, 22
INVAR-1, Run: 028, F, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 102, 8, 97, 105, 105, 1, 0, 0, 0, 110, 22, 101, 22, 0, 47, 29, 0, 80, 29, 28, 28, 108, 96, 121, 120, 100, 100, 101, 100, 90, 60, 66, 33, 95, 32, 37, 61, 30, 63, 63, 29, 29, 97, 97, 90, 19, 19
INVAR-1, Run: 029, F, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 95, 17, 102, 93, 92, 1, 0, 0, 0, 119, 11, 95, 11, 0, 56, 24, 0, 48, 44, 44, 39, 86, 72, 111, 108, 84, 84, 71, 70, 82, 51, 49, 51, 71, 50, 26, 61, 31, 63, 63, 23, 23, 107, 106, 85, 12, 12
