Input Number, Run_Number, Result@ 100, PE, Y, M, X1, H, PO, CE, D, CO, A, B
1, Run: 059, P, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
1, Run: 060, P, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
1, Run: 061, P, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
1, Run: 062, P, 1, 0, 0, 0, 0, 0, 9, 0, 7, 95, 0
1, Run: 063, P, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0
1, Run: 064, P, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
1, Run: 065, P, 1, 0, 0, 0, 0, 0, 9, 0, 4, 90, 1
1, Run: 066, P, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
1, Run: 067, P, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
1, Run: 068, P, 1, 0, 0, 0, 0, 0, 9, 0, 4, 90, 1
1, Run: 069, P, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
1, Run: 070, P, 1, 0, 0, 0, 0, 0, 9, 0, 7, 95, 0
1, Run: 071, P, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
1, Run: 072, P, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
1, Run: 073, P, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
1, Run: 074, P, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
1, Run: 075, P, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
1, Run: 076, P, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
1, Run: 077, P, 1, 0, 0, 0, 0, 0, 9, 0, 6, 94, 1
1, Run: 078, P, 1, 0, 0, 0, 0, 0, 9, 0, 7, 95, 0
1, Run: 079, P, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
1, Run: 080, P, 1, 0, 0, 0, 0, 0, 9, 0, 6, 94, 1
1, Run: 081, P, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
1, Run: 082, P, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
1, Run: 083, P, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
1, Run: 084, P, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
1, Run: 085, P, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
1, Run: 086, P, 1, 0, 0, 0, 0, 0, 9, 0, 4, 90, 1
1, Run: 087, P, 1, 0, 0, 0, 0, 0, 9, 0, 13, 107, 0
1, Run: 088, P, 1, 0, 0, 0, 0, 0, 9, 0, 4, 90, 1
1, Run: 089, P, 1, 0, 0, 0, 0, 0, 9, 0, 10, 102, 1
1, Run: 090, P, 1, 0, 0, 0, 0, 0, 9, 0, 15, 111, 0
1, Run: 091, P, 1, 0, 0, 0, 0, 0, 9, 0, 6, 94, 1
1, Run: 092, P, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
1, Run: 093, P, 1, 0, 0, 0, 0, 0, 9, 0, 5, 91, 0
1, Run: 094, P, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0
1, Run: 095, P, 1, 0, 0, 0, 0, 0, 9, 0, 1, 83, 0
1, Run: 096, P, 1, 0, 0, 0, 0, 0, 9, 0, 4, 90, 1
1, Run: 097, P, 1, 0, 0, 0, 0, 0, 9, 0, 3, 87, 0
1, Run: 098, P, 1, 0, 0, 0, 0, 0, 9, 0, 0, 82, 1
1, Run: 099, P, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
1, Run: 100, P, 1, 0, 0, 0, 0, 0, 9, 0, 2, 86, 1
10, Run: 001, P, 1, 0, 0, 0, 0, 0, 100, 0, 5, 911, 1
10, Run: 002, P, 1, 0, 0, 0, 0, 0, 100, 0, 6, 912, 0
10, Run: 003, P, 1, 0, 0, 0, 0, 0, 100, 0, 3, 907, 1
10, Run: 004, P, 1, 0, 0, 0, 0, 0, 100, 0, 3, 907, 1
10, Run: 005, P, 1, 0, 0, 0, 0, 0, 100, 0, 11, 923, 1
10, Run: 006, P, 1, 0, 0, 0, 0, 0, 100, 0, 19, 939, 1
10, Run: 007, P, 1, 0, 0, 0, 0, 0, 100, 0, 4, 908, 0
10, Run: 008, P, 1, 0, 0, 0, 0, 0, 100, 0, 24, 948, 0
10, Run: 009, P, 1, 0, 0, 0, 0, 0, 100, 0, 9, 919, 1
10, Run: 010, P, 1, 0, 0, 0, 0, 0, 100, 0, 5, 911, 1
10, Run: 011, P, 1, 0, 0, 0, 0, 0, 100, 0, 21, 943, 1
10, Run: 012, P, 1, 0, 0, 0, 0, 0, 100, 0, 2, 904, 0
10, Run: 013, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 014, P, 1, 0, 0, 0, 0, 0, 100, 0, 3, 907, 1
10, Run: 015, P, 1, 0, 0, 0, 0, 0, 100, 0, 13, 927, 1
10, Run: 016, P, 1, 0, 0, 0, 0, 0, 100, 0, 1, 903, 1
10, Run: 017, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 018, P, 1, 0, 0, 0, 0, 0, 100, 0, 10, 920, 0
10, Run: 019, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 020, P, 1, 0, 0, 0, 0, 0, 100, 0, 1, 903, 1
10, Run: 021, P, 1, 0, 0, 0, 0, 0, 100, 0, 12, 924, 0
10, Run: 022, P, 1, 0, 0, 0, 0, 0, 100, 0, 6, 912, 0
10, Run: 023, P, 1, 0, 0, 0, 0, 0, 100, 0, 13, 927, 1
10, Run: 024, P, 1, 0, 0, 0, 0, 0, 100, 0, 2, 904, 0
10, Run: 025, P, 1, 0, 0, 0, 0, 0, 100, 0, 9, 919, 1
10, Run: 026, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 027, P, 1, 0, 0, 0, 0, 0, 100, 0, 1, 903, 1
10, Run: 028, P, 1, 0, 0, 0, 0, 0, 100, 0, 18, 936, 0
10, Run: 029, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 030, P, 1, 0, 0, 0, 0, 0, 100, 0, 4, 908, 0
10, Run: 031, P, 1, 0, 0, 0, 0, 0, 100, 0, 4, 908, 0
10, Run: 032, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 033, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 034, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 035, P, 1, 0, 0, 0, 0, 0, 100, 0, 16, 932, 0
10, Run: 036, P, 1, 0, 0, 0, 0, 0, 100, 0, 1, 903, 1
10, Run: 037, P, 1, 0, 0, 0, 0, 0, 100, 0, 4, 908, 0
10, Run: 038, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 039, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 040, P, 1, 0, 0, 0, 0, 0, 100, 0, 2, 904, 0
10, Run: 041, P, 1, 0, 0, 0, 0, 0, 100, 0, 13, 927, 1
10, Run: 042, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 043, P, 1, 0, 0, 0, 0, 0, 100, 0, 1, 903, 1
10, Run: 044, P, 1, 0, 0, 0, 0, 0, 100, 0, 9, 919, 1
10, Run: 045, P, 1, 0, 0, 0, 0, 0, 100, 0, 8, 916, 0
10, Run: 046, P, 1, 0, 0, 0, 0, 0, 100, 0, 11, 923, 1
10, Run: 047, P, 1, 0, 0, 0, 0, 0, 100, 0, 2, 904, 0
10, Run: 048, P, 1, 0, 0, 0, 0, 0, 100, 0, 9, 919, 1
10, Run: 049, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 050, P, 1, 0, 0, 0, 0, 0, 100, 0, 8, 916, 0
10, Run: 051, P, 1, 0, 0, 0, 0, 0, 100, 0, 2, 904, 0
10, Run: 052, P, 1, 0, 0, 0, 0, 0, 100, 0, 20, 940, 0
10, Run: 053, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 054, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 055, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 056, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 057, P, 1, 0, 0, 0, 0, 0, 100, 0, 14, 928, 0
10, Run: 058, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 059, P, 1, 0, 0, 0, 0, 0, 100, 0, 5, 911, 1
10, Run: 060, P, 1, 0, 0, 0, 0, 0, 100, 0, 0, 900, 0
10, Run: 061, P, 1, 0, 0, 0, 0, 0, 100, 0, 2, 904, 0
10, Run: 062, P, 1, 0, 0, 0, 0, 0, 100, 0, 4, 908, 0
