Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 10, 999, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0, 1009, 18, 55, 10, 20, 45, 9, 3, 5, 14, 9, 18, 68, 34
INVAR-1, Run: 002, F, 48, 4796, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0, 4844, 18, 84, 8, 56, 36, 9, 7, 1, 33, 9, 18, 36, 18
INVAR-1, Run: 003, F, 50, 4790, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0, 4840, 18, 92, 5, 55, 42, 9, 7, 1, 34, 9, 18, 84, 42
INVAR-1, Run: 004, F, 28, 2682, 0, 0, 0, 0, 0, 26, 0, 1, 23, 0, 2710, 18, 103, 12, 40, 75, 9, 5, 3, 23, 9, 18, 30, 15
INVAR-1, Run: 005, F, 52, 5060, 0, 0, 0, 0, 0, 2, 0, 1, 35, 0, 5112, 18, 107, 1, 53, 55, 9, 3, 5, 35, 9, 18, 100, 50
INVAR-1, Run: 006, F, 42, 4117, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0, 4159, 18, 72, 14, 56, 30, 9, 1, 7, 30, 9, 18, 48, 24
INVAR-1, Run: 007, F, 10, 981, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0, 991, 18, 52, 9, 19, 42, 9, 6, 2, 14, 9, 18, 56, 28
INVAR-1, Run: 008, F, 4, 381, 0, 0, 0, 0, 0, 50, 0, 1, 11, 0, 385, 18, 33, 6, 10, 29, 9, 6, 2, 11, 9, 18, 48, 24
INVAR-1, Run: 009, F, 36, 3489, 0, 0, 0, 0, 0, 18, 0, 1, 27, 0, 3525, 18, 113, 11, 47, 77, 9, 7, 1, 27, 9, 18, 52, 26
INVAR-1, Run: 010, F, 8, 760, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0, 768, 18, 83, 5, 13, 75, 9, 6, 2, 13, 9, 18, 196, 98
INVAR-1, Run: 011, F, 12, 1126, 0, 0, 0, 0, 0, 42, 0, 1, 15, 0, 1138, 18, 89, 12, 24, 77, 9, 6, 2, 15, 9, 18, 86, 43
INVAR-1, Run: 012, F, 18, 1725, 0, 0, 0, 0, 0, 36, 0, 1, 18, 0, 1743, 18, 61, 8, 26, 43, 9, 7, 1, 18, 9, 18, 68, 34
INVAR-1, Run: 013, F, 34, 3300, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0, 3334, 18, 112, 13, 47, 78, 9, 5, 3, 26, 9, 18, 154, 77
INVAR-1, Run: 014, F, 0, 5, 0, 0, 0, 0, 0, 54, 4, 1, 7, 0, 1, 18, 26, 7, 3, 26, 9, 3, 5, 7, 9, 18, 126, 63
INVAR-1, Run: 015, F, 30, 2871, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0, 2901, 18, 82, 11, 41, 52, 9, 4, 4, 24, 9, 18, 212, 106
INVAR-1, Run: 016, F, 52, 5015, 0, 0, 0, 0, 0, 2, 0, 1, 35, 0, 5067, 18, 108, 6, 58, 56, 9, 6, 2, 35, 9, 18, 66, 33
INVAR-1, Run: 017, F, 40, 3865, 0, 0, 0, 0, 0, 14, 0, 1, 29, 0, 3905, 18, 110, 11, 51, 70, 9, 6, 2, 29, 9, 18, 38, 19
INVAR-1, Run: 018, F, 34, 3397, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0, 3431, 18, 94, 11, 45, 60, 9, 6, 2, 26, 9, 18, 260, 130
INVAR-1, Run: 019, F, 10, 967, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0, 977, 18, 63, 3, 13, 53, 9, 4, 4, 14, 9, 18, 136, 68
INVAR-1, Run: 020, F, 44, 4213, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0, 4257, 18, 106, 10, 54, 62, 9, 7, 1, 31, 9, 18, 90, 45
INVAR-1, Run: 021, F, 10, 951, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0, 961, 18, 68, 11, 21, 58, 9, 5, 3, 14, 9, 18, 180, 90
INVAR-1, Run: 022, F, 12, 1190, 0, 0, 0, 0, 0, 42, 0, 1, 15, 0, 1202, 18, 64, 7, 19, 52, 9, 3, 5, 15, 9, 18, 128, 64
INVAR-1, Run: 023, F, 8, 785, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0, 793, 18, 56, 6, 14, 48, 9, 5, 3, 13, 9, 18, 126, 63
INVAR-1, Run: 024, F, 42, 4151, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0, 4193, 18, 84, 3, 45, 42, 9, 7, 1, 30, 9, 18, 146, 73
INVAR-1, Run: 025, F, 22, 2128, 0, 0, 0, 0, 0, 32, 0, 1, 20, 0, 2150, 18, 85, 6, 28, 63, 9, 6, 2, 20, 9, 18, 82, 41
INVAR-1, Run: 026, F, 48, 4545, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0, 4593, 18, 110, 15, 63, 62, 9, 4, 4, 33, 9, 18, 118, 59
INVAR-1, Run: 027, F, 18, 1775, 0, 0, 0, 0, 0, 36, 0, 1, 18, 0, 1793, 18, 73, 8, 26, 55, 9, 4, 4, 18, 9, 18, 100, 50
INVAR-1, Run: 028, F, 14, 1327, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0, 1341, 18, 65, 2, 16, 51, 9, 7, 1, 16, 9, 18, 70, 35
INVAR-1, Run: 029, F, 30, 2885, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0, 2915, 18, 84, 4, 34, 54, 9, 7, 1, 24, 9, 18, 132, 66
INVAR-1, Run: 030, F, 38, 3571, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0, 3609, 18, 77, 13, 51, 39, 9, 6, 2, 28, 9, 18, 22, 11
