Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 1, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 1, 110, 39, 96, 100, 99, 102, 101, 90, 48, 0, 51, 109, 50, 42, 0, 38, 0, 84, 0, 0, 0, 83, 132, 92, 88, 121, 121, 117, 117, 128, 83, 69, 0, 129, 0, 30, 0, 45, 0, 0, 39, 39, 0, 0, 59, 37, 37
INVAR-1, Run: 002, P, 1, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 0, 1, 91, 14, 91, 100, 100, 106, 104, 110, 63, 0, 44, 91, 44, 43, 0, 26, 0, 99, 0, 0, 0, 98, 91, 119, 119, 110, 109, 100, 99, 110, 61, 57, 0, 91, 0, 30, 0, 47, 0, 0, 26, 26, 0, 0, 77, 21, 21
INVAR-1, Run: 003, P, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 3, 1, 1, 0, 0, 0, 1, 98, 27, 92, 76, 75, 103, 103, 110, 83, 0, 45, 96, 45, 27, 0, 34, 0, 108, 0, 0, 0, 108, 95, 100, 100, 103, 102, 106, 103, 117, 70, 74, 0, 93, 0, 39, 0, 46, 0, 0, 34, 34, 0, 0, 65, 24, 24
INVAR-1, Run: 004, P, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 2, 3, 2, 0, 0, 0, 0, 1, 105, 19, 94, 84, 84, 83, 83, 95, 50, 0, 29, 104, 28, 45, 0, 20, 0, 100, 0, 0, 0, 98, 104, 70, 68, 95, 93, 85, 82, 87, 59, 46, 0, 102, 0, 24, 0, 26, 0, 0, 22, 22, 0, 0, 75, 24, 24
INVAR-1, Run: 005, P, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 93, 35, 104, 95, 95, 97, 96, 108, 61, 0, 32, 92, 31, 46, 0, 37, 0, 72, 0, 0, 0, 72, 77, 49, 48, 95, 94, 102, 101, 104, 73, 74, 0, 75, 0, 35, 0, 31, 0, 0, 39, 39, 0, 0, 70, 33, 33
INVAR-1, Run: 006, P, 1, 0, 0, 0, 0, 1, 1, 4, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 2, 5, 0, 0, 0, 0, 0, 1, 99, 25, 95, 118, 118, 101, 100, 100, 48, 0, 38, 99, 38, 48, 0, 34, 0, 103, 0, 0, 0, 103, 117, 95, 95, 94, 92, 96, 91, 86, 61, 75, 0, 116, 0, 41, 0, 25, 0, 0, 34, 34, 0, 0, 70, 28, 28
INVAR-1, Run: 007, P, 1, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 97, 15, 88, 84, 84, 97, 95, 98, 63, 0, 15, 96, 15, 34, 0, 27, 0, 100, 0, 0, 0, 100, 110, 109, 109, 98, 97, 116, 115, 114, 63, 61, 0, 110, 0, 34, 0, 51, 0, 0, 27, 27, 0, 0, 73, 9, 9
INVAR-1, Run: 008, P, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 1, 81, 7, 91, 98, 98, 97, 96, 83, 50, 0, 2, 80, 2, 33, 0, 14, 0, 117, 0, 0, 0, 115, 70, 95, 93, 93, 91, 85, 85, 73, 43, 29, 0, 69, 0, 15, 0, 30, 0, 0, 14, 14, 0, 0, 84, 3, 3
INVAR-1, Run: 009, P, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 89, 10, 99, 89, 86, 88, 88, 89, 58, 0, 29, 89, 29, 31, 0, 25, 0, 101, 0, 0, 0, 101, 73, 115, 114, 96, 96, 98, 98, 91, 59, 46, 0, 73, 0, 19, 0, 32, 0, 0, 26, 26, 0, 0, 89, 13, 13
INVAR-1, Run: 010, P, 1, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 0, 1, 4, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 86, 16, 87, 78, 77, 93, 90, 72, 44, 0, 28, 85, 28, 27, 0, 29, 0, 111, 0, 0, 0, 107, 110, 122, 121, 108, 107, 86, 86, 105, 62, 62, 0, 110, 0, 32, 0, 43, 0, 0, 30, 29, 0, 0, 71, 20, 20
