Input Number, Run_Number, Result@ 100, X1, X2, U, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, P, 38, 0, 0, 18, 37, 4, 23
INVAR-1, Run: 002, P, 38, 0, 0, 86, 90, 72, 76
INVAR-1, Run: 003, P, 38, 0, 0, 17, 36, 3, 22
INVAR-1, Run: 004, P, 38, 0, 0, 35, 52, 21, 38
INVAR-1, Run: 005, P, 38, 0, 0, 16, 22, 2, 8
INVAR-1, Run: 006, P, 38, 0, 0, 15, 27, 1, 13
INVAR-1, Run: 007, P, 38, 0, 0, 25, 28, 11, 14
INVAR-1, Run: 008, P, 38, 0, 0, 15, 19, 1, 5
INVAR-1, Run: 009, P, 38, 0, 0, 21, 37, 7, 23
INVAR-1, Run: 010, P, 38, 0, 0, 15, 26, 1, 12
INVAR-1, Run: 011, P, 38, 0, 0, 18, 30, 4, 16
INVAR-1, Run: 012, P, 38, 0, 0, 17, 39, 3, 25
INVAR-1, Run: 013, P, 38, 0, 0, 14, 24, 0, 10
INVAR-1, Run: 014, P, 38, 0, 0, 15, 22, 1, 8
INVAR-1, Run: 015, P, 38, 0, 0, 15, 19, 1, 5
INVAR-1, Run: 016, P, 38, 0, 0, 16, 19, 2, 5
INVAR-1, Run: 017, P, 38, 0, 0, 18, 31, 4, 17
INVAR-1, Run: 018, P, 38, 0, 0, 24, 39, 10, 25
INVAR-1, Run: 019, P, 38, 0, 0, 21, 36, 7, 22
INVAR-1, Run: 020, P, 38, 0, 0, 22, 40, 8, 26
INVAR-1, Run: 021, P, 38, 0, 0, 19, 30, 5, 16
INVAR-1, Run: 022, P, 38, 0, 0, 26, 47, 12, 33
INVAR-1, Run: 023, P, 38, 0, 0, 21, 31, 7, 17
INVAR-1, Run: 024, P, 38, 0, 0, 20, 33, 6, 19
INVAR-1, Run: 025, P, 38, 0, 0, 20, 33, 6, 19
INVAR-1, Run: 026, P, 38, 0, 0, 16, 29, 2, 15
INVAR-1, Run: 027, P, 38, 0, 0, 15, 25, 1, 11
INVAR-1, Run: 028, P, 38, 0, 0, 17, 23, 3, 9
INVAR-1, Run: 029, P, 38, 0, 0, 16, 31, 2, 17
INVAR-1, Run: 030, P, 38, 0, 0, 18, 34, 4, 20
INVAR-1, Run: 031, P, 0, 38, 0, 57, 45, 81, 69
INVAR-1, Run: 032, P, 38, 0, 0, 52, 63, 38, 49
INVAR-1, Run: 033, P, 0, 38, 0, 48, 32, 72, 56
INVAR-1, Run: 034, P, 38, 0, 0, 16, 26, 2, 12
INVAR-1, Run: 035, P, 38, 0, 0, 16, 25, 2, 11
INVAR-1, Run: 036, P, 38, 0, 0, 17, 31, 3, 17
INVAR-1, Run: 037, P, 38, 0, 0, 20, 34, 6, 20
INVAR-1, Run: 038, P, 38, 0, 0, 16, 27, 2, 13
INVAR-1, Run: 039, P, 38, 0, 0, 20, 37, 6, 23
INVAR-1, Run: 040, P, 38, 0, 0, 19, 31, 5, 17
INVAR-1, Run: 041, P, 38, 0, 0, 17, 37, 3, 23
INVAR-1, Run: 042, P, 38, 0, 0, 14, 22, 0, 8
INVAR-1, Run: 043, P, 38, 0, 0, 18, 35, 4, 21
INVAR-1, Run: 044, P, 38, 0, 0, 22, 48, 8, 34
INVAR-1, Run: 045, P, 0, 38, 0, 38, 32, 62, 56
INVAR-1, Run: 046, P, 38, 0, 0, 18, 38, 4, 24
INVAR-1, Run: 047, P, 38, 0, 0, 18, 31, 4, 17
INVAR-1, Run: 048, P, 38, 0, 0, 19, 33, 5, 19
INVAR-1, Run: 049, P, 38, 0, 0, 18, 30, 4, 16
INVAR-1, Run: 050, P, 38, 0, 0, 23, 30, 9, 16
INVAR-1, Run: 051, P, 38, 0, 0, 15, 23, 1, 9
INVAR-1, Run: 052, P, 38, 0, 0, 21, 36, 7, 22
INVAR-1, Run: 053, P, 0, 38, 0, 24, 20, 48, 44
INVAR-1, Run: 054, P, 38, 0, 0, 15, 24, 1, 10
INVAR-1, Run: 055, P, 38, 0, 0, 17, 32, 3, 18
INVAR-1, Run: 056, P, 0, 38, 0, 19, 17, 43, 41
INVAR-1, Run: 057, P, 38, 0, 0, 21, 29, 7, 15
INVAR-1, Run: 058, P, 38, 0, 0, 38, 60, 24, 46
INVAR-1, Run: 059, P, 38, 0, 0, 26, 40, 12, 26
INVAR-1, Run: 060, P, 38, 0, 0, 50, 82, 36, 68
INVAR-1, Run: 061, P, 38, 0, 0, 20, 32, 6, 18
INVAR-1, Run: 062, P, 38, 0, 0, 17, 31, 3, 17
INVAR-1, Run: 063, P, 38, 0, 0, 17, 24, 3, 10
INVAR-1, Run: 064, P, 38, 0, 0, 31, 48, 17, 34
INVAR-1, Run: 065, P, 38, 0, 0, 15, 29, 1, 15
INVAR-1, Run: 066, P, 38, 0, 0, 34, 54, 20, 40
INVAR-1, Run: 067, P, 38, 0, 0, 38, 51, 24, 37
INVAR-1, Run: 068, P, 38, 0, 0, 16, 29, 2, 15
INVAR-1, Run: 069, P, 38, 0, 0, 15, 25, 1, 11
INVAR-1, Run: 070, P, 38, 0, 0, 15, 20, 1, 6
INVAR-1, Run: 071, P, 38, 0, 0, 27, 52, 13, 38
INVAR-1, Run: 072, P, 38, 0, 0, 19, 35, 5, 21
INVAR-1, Run: 073, P, 38, 0, 0, 26, 32, 12, 18
INVAR-1, Run: 074, P, 38, 0, 0, 24, 35, 10, 21
INVAR-1, Run: 075, P, 38, 0, 0, 23, 48, 9, 34
INVAR-1, Run: 076, P, 38, 0, 0, 32, 44, 18, 30
INVAR-1, Run: 077, P, 38, 0, 0, 21, 29, 7, 15
INVAR-1, Run: 078, P, 38, 0, 0, 25, 34, 11, 20
INVAR-1, Run: 079, P, 38, 0, 0, 29, 57, 15, 43
INVAR-1, Run: 080, P, 38, 0, 0, 20, 35, 6, 21
INVAR-1, Run: 081, P, 38, 0, 0, 19, 39, 5, 25
INVAR-1, Run: 082, P, 38, 0, 0, 14, 27, 0, 13
INVAR-1, Run: 083, P, 38, 0, 0, 19, 32, 5, 18
