Input Number, Run_Number, Result@ 100, X1, X2, Y
INVAR-10, Run: 033, P, 18, 0, 22
INVAR-10, Run: 034, P, 22, 0, 14
INVAR-10, Run: 035, P, 23, 0, 12
INVAR-10, Run: 036, P, 18, 0, 22
INVAR-10, Run: 037, P, 20, 0, 18
INVAR-10, Run: 038, P, 17, 0, 24
INVAR-10, Run: 039, P, 18, 0, 22
INVAR-10, Run: 040, P, 18, 0, 22
INVAR-10, Run: 041, P, 19, 0, 20
INVAR-10, Run: 042, P, 18, 0, 22
INVAR-10, Run: 043, P, 17, 0, 24
INVAR-10, Run: 044, P, 20, 0, 18
INVAR-10, Run: 045, P, 19, 0, 20
INVAR-10, Run: 046, P, 18, 0, 22
INVAR-10, Run: 047, P, 22, 0, 14
INVAR-10, Run: 048, P, 22, 0, 14
INVAR-10, Run: 049, P, 21, 0, 16
INVAR-10, Run: 050, P, 19, 0, 20
INVAR-10, Run: 051, P, 21, 0, 16
INVAR-10, Run: 052, P, 17, 0, 24
INVAR-10, Run: 053, P, 21, 0, 16
INVAR-10, Run: 054, P, 20, 0, 18
INVAR-10, Run: 055, P, 20, 0, 18
INVAR-10, Run: 056, P, 19, 0, 20
INVAR-10, Run: 057, P, 17, 0, 24
INVAR-10, Run: 058, P, 20, 0, 18
INVAR-10, Run: 059, P, 19, 0, 20
INVAR-10, Run: 060, P, 20, 0, 18
INVAR-10, Run: 061, P, 22, 0, 14
INVAR-10, Run: 062, P, 20, 0, 18
INVAR-10, Run: 063, P, 20, 0, 18
INVAR-10, Run: 064, P, 17, 0, 24
INVAR-10, Run: 065, P, 19, 0, 20
INVAR-10, Run: 066, P, 19, 0, 20
INVAR-10, Run: 067, P, 21, 0, 16
INVAR-10, Run: 068, P, 22, 0, 14
INVAR-10, Run: 069, P, 17, 0, 24
INVAR-10, Run: 070, P, 22, 0, 14
INVAR-10, Run: 071, P, 21, 0, 16
INVAR-10, Run: 072, P, 21, 0, 16
INVAR-10, Run: 073, P, 18, 0, 22
INVAR-10, Run: 074, P, 21, 0, 16
INVAR-10, Run: 075, P, 17, 0, 24
INVAR-10, Run: 076, P, 23, 0, 12
INVAR-10, Run: 077, P, 21, 0, 16
INVAR-10, Run: 078, P, 21, 0, 16
INVAR-10, Run: 079, P, 20, 0, 18
INVAR-10, Run: 080, P, 18, 0, 22
INVAR-10, Run: 081, P, 22, 0, 14
INVAR-10, Run: 082, P, 21, 0, 16
INVAR-10, Run: 083, P, 21, 0, 16
INVAR-10, Run: 084, P, 19, 0, 20
INVAR-10, Run: 085, P, 17, 0, 24
INVAR-10, Run: 086, P, 22, 0, 14
INVAR-10, Run: 087, P, 19, 0, 20
INVAR-10, Run: 088, P, 18, 0, 22
INVAR-10, Run: 089, P, 19, 0, 20
INVAR-10, Run: 090, P, 19, 0, 20
INVAR-10, Run: 091, P, 21, 0, 16
INVAR-10, Run: 092, P, 20, 0, 18
INVAR-10, Run: 093, P, 19, 0, 20
INVAR-10, Run: 094, P, 20, 0, 18
INVAR-10, Run: 095, P, 22, 0, 14
INVAR-10, Run: 096, P, 17, 0, 24
INVAR-10, Run: 097, P, 21, 0, 16
INVAR-10, Run: 098, P, 19, 0, 20
INVAR-10, Run: 099, P, 21, 0, 16
INVAR-10, Run: 100, P, 19, 0, 20
INVAR-11, Run: 001, P, 52, 0, 38
INVAR-11, Run: 002, P, 55, 0, 32
INVAR-11, Run: 003, P, 54, 0, 34
INVAR-11, Run: 004, P, 55, 0, 32
INVAR-11, Run: 005, P, 53, 0, 36
INVAR-11, Run: 006, P, 52, 0, 38
INVAR-11, Run: 007, P, 51, 0, 40
INVAR-11, Run: 008, P, 54, 0, 34
INVAR-11, Run: 009, P, 55, 0, 32
INVAR-11, Run: 010, P, 54, 0, 34
INVAR-11, Run: 011, P, 50, 0, 42
INVAR-11, Run: 012, P, 57, 0, 28
INVAR-11, Run: 013, P, 53, 0, 36
INVAR-11, Run: 014, P, 56, 0, 30
INVAR-11, Run: 015, P, 56, 0, 30
INVAR-11, Run: 016, P, 55, 0, 32
INVAR-11, Run: 017, P, 55, 0, 32
INVAR-11, Run: 018, P, 54, 0, 34
INVAR-11, Run: 019, P, 55, 0, 32
INVAR-11, Run: 020, P, 54, 0, 34
INVAR-11, Run: 021, P, 60, 0, 22
INVAR-11, Run: 022, P, 54, 0, 34
INVAR-11, Run: 023, P, 56, 0, 30
INVAR-11, Run: 024, P, 53, 0, 36
INVAR-11, Run: 025, P, 56, 0, 30
INVAR-11, Run: 026, P, 54, 0, 34
INVAR-11, Run: 027, P, 55, 0, 32
INVAR-11, Run: 028, P, 56, 0, 30
INVAR-11, Run: 029, P, 53, 0, 36
INVAR-11, Run: 030, P, 56, 0, 30
INVAR-11, Run: 031, P, 56, 0, 30
INVAR-11, Run: 032, P, 52, 0, 38
INVAR-11, Run: 033, P, 53, 0, 36
INVAR-11, Run: 034, P, 56, 0, 30
INVAR-11, Run: 035, P, 55, 0, 32
INVAR-11, Run: 036, P, 51, 0, 40
INVAR-11, Run: 037, P, 54, 0, 34
INVAR-11, Run: 038, P, 54, 0, 34
INVAR-11, Run: 039, P, 55, 0, 32
INVAR-11, Run: 040, P, 53, 0, 36
INVAR-11, Run: 041, P, 49, 0, 44
INVAR-11, Run: 042, P, 54, 0, 34
INVAR-11, Run: 043, P, 55, 0, 32
INVAR-11, Run: 044, P, 56, 0, 30
INVAR-11, Run: 045, P, 53, 0, 36
INVAR-11, Run: 046, P, 56, 0, 30
INVAR-11, Run: 047, P, 57, 0, 28
INVAR-11, Run: 048, P, 55, 0, 32
INVAR-11, Run: 049, P, 53, 0, 36
INVAR-11, Run: 050, P, 55, 0, 32
INVAR-11, Run: 051, P, 55, 0, 32
INVAR-11, Run: 052, P, 55, 0, 32
INVAR-11, Run: 053, P, 56, 0, 30
INVAR-11, Run: 054, P, 55, 0, 32
INVAR-11, Run: 055, P, 54, 0, 34
INVAR-11, Run: 056, P, 54, 0, 34
INVAR-11, Run: 057, P, 54, 0, 34
INVAR-11, Run: 058, P, 55, 0, 32
INVAR-11, Run: 059, P, 56, 0, 30
INVAR-11, Run: 060, P, 49, 0, 44
INVAR-11, Run: 061, P, 52, 0, 38
INVAR-11, Run: 062, P, 58, 0, 26
INVAR-11, Run: 063, P, 59, 0, 24
INVAR-11, Run: 064, P, 53, 0, 36
INVAR-11, Run: 065, P, 50, 0, 42
INVAR-11, Run: 066, P, 58, 0, 26
INVAR-11, Run: 067, P, 54, 0, 34
INVAR-11, Run: 068, P, 52, 0, 38
INVAR-11, Run: 069, P, 52, 0, 38
INVAR-11, Run: 070, P, 52, 0, 38
INVAR-11, Run: 071, P, 53, 0, 36
INVAR-11, Run: 072, P, 59, 0, 24
INVAR-11, Run: 073, P, 48, 0, 46
INVAR-11, Run: 074, P, 58, 0, 26
INVAR-11, Run: 075, P, 52, 0, 38
INVAR-11, Run: 076, P, 53, 0, 36
INVAR-11, Run: 077, P, 51, 0, 40
INVAR-11, Run: 078, P, 51, 0, 40
INVAR-11, Run: 079, P, 52, 0, 38
INVAR-11, Run: 080, P, 61, 0, 20
INVAR-11, Run: 081, P, 56, 0, 30
INVAR-11, Run: 082, P, 51, 0, 40
INVAR-11, Run: 083, P, 52, 0, 38
INVAR-11, Run: 084, P, 52, 0, 38
INVAR-11, Run: 085, P, 52, 0, 38
INVAR-11, Run: 086, P, 55, 0, 32
INVAR-11, Run: 087, P, 54, 0, 34
INVAR-11, Run: 088, P, 53, 0, 36
INVAR-11, Run: 089, P, 54, 0, 34
INVAR-11, Run: 090, P, 55, 0, 32
INVAR-11, Run: 091, P, 57, 0, 28
INVAR-11, Run: 092, P, 50, 0, 42
INVAR-11, Run: 093, P, 55, 0, 32
INVAR-11, Run: 094, P, 53, 0, 36
INVAR-11, Run: 095, P, 58, 0, 26
INVAR-11, Run: 096, P, 58, 0, 26
INVAR-11, Run: 097, P, 54, 0, 34
INVAR-11, Run: 098, P, 51, 0, 40
INVAR-11, Run: 099, P, 52, 0, 38
INVAR-11, Run: 100, P, 55, 0, 32
INVAR-12, Run: 001, P, 104, 0, 62
INVAR-12, Run: 002, P, 89, 0, 92
INVAR-12, Run: 003, P, 100, 0, 70
INVAR-12, Run: 004, P, 101, 0, 68
INVAR-12, Run: 005, P, 103, 0, 64
INVAR-12, Run: 006, P, 103, 0, 64
INVAR-12, Run: 007, P, 100, 0, 70
INVAR-12, Run: 008, P, 98, 0, 74
INVAR-12, Run: 009, P, 101, 0, 68
INVAR-12, Run: 010, P, 99, 0, 72
INVAR-12, Run: 011, P, 101, 0, 68
INVAR-12, Run: 012, P, 105, 0, 60
INVAR-12, Run: 013, P, 101, 0, 68
INVAR-12, Run: 014, P, 102, 0, 66
INVAR-12, Run: 015, P, 96, 0, 78
INVAR-12, Run: 016, P, 103, 0, 64
INVAR-12, Run: 017, P, 99, 0, 72
INVAR-12, Run: 018, P, 93, 0, 84
INVAR-12, Run: 019, P, 102, 0, 66
INVAR-12, Run: 020, P, 96, 0, 78
INVAR-12, Run: 021, P, 102, 0, 66
INVAR-12, Run: 022, P, 100, 0, 70
INVAR-12, Run: 023, P, 103, 0, 64
INVAR-12, Run: 024, P, 95, 0, 80
INVAR-12, Run: 025, P, 100, 0, 70
INVAR-12, Run: 026, P, 103, 0, 64
INVAR-12, Run: 027, P, 98, 0, 74
INVAR-12, Run: 028, P, 102, 0, 66
INVAR-12, Run: 029, P, 100, 0, 70
INVAR-12, Run: 030, P, 99, 0, 72
INVAR-12, Run: 031, P, 98, 0, 74
INVAR-12, Run: 032, P, 103, 0, 64
INVAR-12, Run: 033, P, 101, 0, 68
INVAR-12, Run: 034, P, 99, 0, 72
INVAR-12, Run: 035, P, 99, 0, 72
INVAR-12, Run: 036, P, 101, 0, 68
INVAR-12, Run: 037, P, 99, 0, 72
INVAR-12, Run: 038, P, 104, 0, 62
INVAR-12, Run: 039, P, 94, 0, 82
INVAR-12, Run: 040, P, 94, 0, 82
INVAR-12, Run: 041, P, 101, 0, 68
INVAR-12, Run: 042, P, 104, 0, 62
INVAR-12, Run: 043, P, 99, 0, 72
INVAR-12, Run: 044, P, 96, 0, 78
INVAR-12, Run: 045, P, 102, 0, 66
INVAR-12, Run: 046, P, 93, 0, 84
INVAR-12, Run: 047, P, 94, 0, 82
INVAR-12, Run: 048, P, 94, 0, 82
INVAR-12, Run: 049, P, 101, 0, 68
INVAR-12, Run: 050, P, 96, 0, 78
INVAR-12, Run: 051, P, 100, 0, 70
INVAR-12, Run: 052, P, 97, 0, 76
INVAR-12, Run: 053, P, 100, 0, 70
INVAR-12, Run: 054, P, 101, 0, 68
