Input Number, Run_Number, Result@ 1000, L1, U, L2, L3, L4, L5, Y, H, T1, T2, T3, T4, T5, T6, R, D, A, B, C
1, Run: 001, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 13, 4, 6, 1, 5, 1, 7, 10, 0, 0
1, Run: 002, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 7, 10, 7, 2, 4, 1, 8, 0, 10, 0
1, Run: 003, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 12, 8, 7, 5, 3, 1, 5, 0, 0, 10
1, Run: 004, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 11, 8, 5, 1, 4, 1, 8, 0, 10, 0
1, Run: 005, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 9, 6, 7, 7, 4, 1, 4, 0, 10, 0
1, Run: 006, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 13, 9, 4, 6, 3, 1, 5, 0, 10, 0
1, Run: 007, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 14, 4, 4, 3, 4, 1, 10, 0, 10, 0
1, Run: 008, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 9, 10, 6, 4, 1, 1, 8, 0, 10, 0
1, Run: 009, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 9, 7, 5, 3, 2, 1, 10, 0, 10, 0
1, Run: 010, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 8, 9, 7, 2, 5, 1, 6, 0, 10, 0
1, Run: 011, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 12, 9, 5, 2, 2, 1, 9, 0, 10, 0
1, Run: 012, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 12, 9, 5, 2, 2, 1, 5, 0, 10, 0
1, Run: 013, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 11, 7, 7, 5, 2, 1, 6, 0, 10, 0
1, Run: 014, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 13, 8, 5, 6, 3, 1, 4, 0, 10, 0
1, Run: 015, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 12, 7, 8, 2, 3, 1, 4, 0, 10, 0
1, Run: 016, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 7, 4, 5, 4, 4, 1, 9, 10, 0, 0
1, Run: 017, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 7, 14, 4, 5, 1, 1, 6, 0, 10, 0
1, Run: 018, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 13, 9, 3, 3, 1, 1, 6, 10, 0, 0
1, Run: 019, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 5, 9, 4, 9, 2, 1, 4, 0, 10, 0
1, Run: 020, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 10, 5, 4, 2, 0, 1, 12, 0, 0, 10
1, Run: 021, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 8, 7, 4, 6, 2, 1, 9, 0, 10, 0
1, Run: 022, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 8, 8, 4, 8, 3, 1, 5, 0, 10, 0
1, Run: 023, P, 0, 6, 0, 0, 0, 0, 100, 0, 21, 9, 6, 4, 2, 1, 1, 7, 0, 10, 0
1, Run: 024, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 10, 10, 4, 1, 3, 1, 5, 0, 10, 0
1, Run: 025, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 11, 9, 3, 6, 4, 1, 4, 0, 10, 0
1, Run: 026, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 9, 8, 4, 4, 1, 1, 6, 0, 10, 0
1, Run: 027, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 11, 9, 4, 3, 2, 1, 8, 0, 10, 0
1, Run: 028, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 7, 13, 6, 2, 2, 1, 4, 0, 10, 0
1, Run: 029, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 11, 7, 7, 5, 2, 1, 3, 0, 0, 10
1, Run: 030, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 9, 6, 4, 4, 2, 1, 9, 0, 10, 0
1, Run: 031, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 10, 8, 6, 3, 2, 1, 5, 0, 10, 0
1, Run: 032, P, 0, 6, 0, 0, 0, 0, 100, 0, 19, 13, 6, 6, 1, 3, 1, 2, 0, 10, 0
1, Run: 033, P, 0, 6, 0, 0, 0, 0, 100, 0, 8, 7, 11, 8, 5, 3, 1, 8, 0, 10, 0
1, Run: 034, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 7, 5, 8, 2, 3, 1, 10, 0, 0, 10
1, Run: 035, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 11, 12, 2, 1, 5, 1, 8, 0, 10, 0
1, Run: 036, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 10, 8, 6, 5, 1, 1, 7, 0, 10, 0
1, Run: 037, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 9, 10, 4, 4, 1, 1, 4, 0, 10, 0
1, Run: 038, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 6, 10, 3, 3, 3, 1, 9, 0, 10, 0
1, Run: 039, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 10, 8, 9, 6, 3, 1, 3, 0, 10, 0
1, Run: 040, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 8, 10, 2, 6, 4, 1, 9, 0, 10, 0
1, Run: 041, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 8, 10, 3, 6, 3, 1, 10, 0, 10, 0
