Input Number, Run_Number, Result@ 100, prey_H1, predator_g532, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, H1, H2
INVAR-1, Run: 001, P, 0, 12, 1, 2, 0, 11, 11, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 2, 1, 0, 0
INVAR-1, Run: 002, P, 0, 10, 1, 2, 4, 15, 19, 1, 1, 0, 3, 1, 0, 2, 0, 1, 2, 0, 0, 1, 1, 1, 3, 0, 0, 1, 0
INVAR-1, Run: 003, P, 0, 19, 1, 2, 3, 29, 34, 1, 2, 0, 2, 1, 0, 2, 0, 1, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0
INVAR-1, Run: 004, P, 0, 14, 1, 0, 4, 21, 20, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 2, 2, 0, 1
INVAR-1, Run: 005, P, 0, 9, 1, 1, 3, 11, 13, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0
INVAR-1, Run: 006, P, 0, 15, 1, 0, 4, 19, 23, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 0
INVAR-1, Run: 007, P, 0, 21, 1, 0, 2, 19, 22, 1, 2, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 3, 1, 2, 6, 0, 0, 0, 1
INVAR-1, Run: 008, P, 0, 12, 1, 3, 1, 8, 7, 1, 4, 0, 2, 2, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0
INVAR-1, Run: 009, P, 0, 17, 1, 0, 1, 15, 19, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 010, P, 0, 24, 1, 0, 10, 37, 43, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 2, 0, 2, 1, 2
INVAR-1, Run: 011, P, 1, 26, 1, 0, 4, 24, 20, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 3, 0
INVAR-1, Run: 012, P, 2, 29, 1, 1, 10, 43, 40, 1, 1, 0, 1, 1, 0, 4, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0
INVAR-1, Run: 013, P, 0, 17, 1, 1, 1, 17, 11, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 5, 5, 3, 0, 0, 0
INVAR-1, Run: 014, P, 0, 21, 1, 2, 6, 34, 32, 1, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 1, 0, 0, 0, 1, 0
INVAR-1, Run: 015, P, 1, 13, 1, 0, 1, 14, 19, 1, 1, 0, 1, 3, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0
INVAR-1, Run: 016, P, 0, 15, 1, 2, 6, 21, 22, 1, 2, 0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0
INVAR-1, Run: 017, P, 0, 16, 1, 1, 3, 23, 20, 1, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 3, 1, 1, 1, 0, 0, 0, 0
INVAR-1, Run: 018, P, 0, 20, 1, 0, 4, 22, 24, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 0, 1, 0, 1, 0
INVAR-1, Run: 019, P, 0, 20, 1, 1, 7, 34, 25, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 3, 1, 2, 0, 0, 1
INVAR-1, Run: 020, P, 0, 8, 1, 2, 6, 14, 20, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0
INVAR-1, Run: 021, P, 0, 9, 1, 0, 2, 14, 16, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0
INVAR-1, Run: 022, P, 0, 16, 1, 0, 1, 12, 13, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 023, P, 0, 5, 1, 0, 3, 8, 7, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0
INVAR-1, Run: 024, P, 0, 22, 1, 1, 3, 22, 24, 1, 0, 0, 2, 1, 2, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 025, P, 0, 12, 1, 1, 1, 8, 15, 1, 1, 0, 3, 3, 0, 3, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 026, P, 0, 22, 1, 0, 1, 16, 19, 1, 0, 0, 0, 1, 0, 0, 0, 1, 4, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0
INVAR-1, Run: 027, P, 0, 18, 1, 0, 6, 25, 18, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 4, 1, 0, 0, 0
INVAR-1, Run: 028, P, 0, 18, 1, 0, 4, 18, 34, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 029, P, 0, 19, 1, 0, 2, 17, 21, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 030, P, 0, 21, 1, 1, 1, 16, 14, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0
INVAR-1, Run: 031, P, 0, 14, 1, 2, 2, 6, 12, 1, 0, 0, 1, 1, 0, 1, 0, 1, 3, 0, 0, 2, 1, 2, 4, 0, 0, 0, 0
INVAR-1, Run: 032, P, 0, 13, 1, 0, 1, 10, 12, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0
INVAR-1, Run: 033, P, 0, 26, 1, 0, 4, 21, 25, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 034, P, 1, 9, 1, 3, 0, 10, 12, 1, 3, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 035, P, 1, 27, 1, 1, 0, 28, 31, 1, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 2, 1, 2, 2, 0, 0, 0, 0
INVAR-1, Run: 036, P, 1, 27, 1, 0, 5, 34, 45, 1, 5, 0, 1, 3, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0
INVAR-1, Run: 037, P, 0, 37, 1, 0, 2, 38, 44, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0
INVAR-1, Run: 038, P, 0, 13, 1, 2, 3, 12, 18, 1, 1, 0, 0, 0, 0, 3, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0
INVAR-1, Run: 039, P, 0, 11, 1, 2, 7, 22, 10, 1, 1, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0
INVAR-1, Run: 040, P, 0, 16, 1, 1, 4, 21, 25, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 2, 3, 2, 1, 1, 0
INVAR-1, Run: 041, P, 0, 15, 1, 1, 2, 13, 13, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 042, P, 1, 24, 1, 0, 3, 22, 28, 1, 2, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 1, 1, 3, 1, 2, 0, 0, 0
INVAR-1, Run: 043, P, 0, 12, 1, 1, 0, 14, 15, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 1, 2, 1, 2, 0, 0, 0
INVAR-1, Run: 044, P, 0, 20, 1, 2, 4, 21, 25, 1, 3, 0, 2, 1, 0, 4, 0, 1, 0, 1, 0, 1, 1, 3, 0, 0, 0, 1, 1
INVAR-1, Run: 045, P, 0, 23, 1, 0, 0, 24, 24, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 2, 0
INVAR-1, Run: 046, P, 0, 20, 1, 0, 3, 20, 23, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0
INVAR-1, Run: 047, P, 0, 17, 1, 0, 6, 15, 20, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 2, 2, 2, 0, 2, 1
INVAR-1, Run: 048, P, 0, 19, 1, 5, 3, 20, 21, 1, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 1, 1, 0, 0
INVAR-1, Run: 049, P, 0, 17, 1, 0, 6, 24, 10, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 050, P, 0, 13, 1, 1, 1, 10, 9, 1, 1, 0, 2, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0
INVAR-1, Run: 051, P, 0, 6, 1, 1, 3, 12, 11, 1, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1
INVAR-1, Run: 052, P, 0, 18, 1, 0, 3, 18, 25, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 3, 1, 0, 0, 0
INVAR-1, Run: 053, P, 0, 21, 1, 1, 4, 21, 20, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 054, P, 0, 26, 1, 1, 8, 38, 33, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 4, 1, 1, 2, 0
INVAR-1, Run: 055, P, 0, 21, 1, 1, 2, 20, 20, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 3, 4, 2, 0, 0
INVAR-1, Run: 056, P, 0, 15, 1, 0, 0, 17, 16, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 3, 2, 0, 1
INVAR-1, Run: 057, P, 0, 23, 1, 0, 8, 34, 36, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 2, 2, 0, 0, 1, 1
INVAR-1, Run: 058, P, 0, 23, 1, 0, 4, 18, 21, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3, 1, 0, 0, 0
INVAR-1, Run: 059, P, 0, 18, 1, 1, 3, 17, 15, 1, 3, 0, 4, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0
INVAR-1, Run: 060, P, 0, 23, 1, 1, 3, 28, 27, 1, 1, 0, 1, 1, 0, 2, 0, 1, 2, 0, 0, 1, 1, 0, 3, 0, 0, 0, 0
INVAR-1, Run: 061, P, 0, 13, 1, 2, 0, 17, 19, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 062, P, 0, 22, 1, 1, 2, 22, 19, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0
INVAR-1, Run: 063, P, 0, 15, 1, 0, 6, 30, 26, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0
INVAR-1, Run: 064, P, 0, 18, 1, 2, 2, 19, 20, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 2, 2, 2, 2, 0, 1
